[-94.5, -23.0, -40.5625]
[-65.8125, -3.625, -23.375]
[-65.8125, -3.625, -23.375]
[-65.8125, -3.625, -23.375]
[-40.0, 19.9375, -5.125]
[-40.0, 19.9375, -5.125]
[-40.0, 19.9375, -5.125]
[-44.9375, 25.6875, 0.25]
[-44.9375, 25.6875, 0.25]
[-48.9375, 35.625, 2.25]
[-47.625, 43.375, 2.8125]
[-47.625, 43.375, 2.8125]
[-47.625, 43.375, 2.8125]
[-43.0625, 40.9375, 1.9375]
[-43.0625, 40.9375, 1.9375]
[-30.6875, 32.25, -1.375]
[-26.1875, 21.375, -1.0]
[-26.1875, 21.375, -1.0]
[-26.1875, 21.375, -1.0]
[-32.9375, 16.0625, 6.125]
[-32.9375, 16.0625, 6.125]
[-21.0625, 19.1875, 11.8125]
[-5.25, 20.125, 10.0625]
[-5.25, 20.125, 10.0625]
[-5.25, 20.125, 10.0625]
[-0.0625, 19.1875, 2.5625]
[-0.0625, 19.1875, 2.5625]
[-3.625, 16.3125, -5.1875]
[-3.625, 16.3125, -5.1875]
[-8.3125, 11.1875, -8.9375]
[-8.3125, 11.1875, -8.9375]
[-3.375, 7.5, -9.0625]
[-3.375, 7.5, -9.0625]
[-3.375, 7.5, -9.0625]
[13.5, -0.5, -4.25]
[13.5, -0.5, -4.25]
[13.5, -0.5, -4.25]
[20.6875, -3.125, -3.125]
[20.6875, -3.125, -3.125]
[26.6875, -3.5625, -2.625]
[25.8125, 2.125, -2.5]
[25.8125, 2.125, -2.5]
[23.5, 11.9375, -1.75]
[23.5, 11.9375, -1.75]
[23.5, 11.9375, -1.75]
[18.4375, 16.25, -0.25]
[18.4375, 16.25, -0.25]
[14.3125, 15.4375, 2.5625]
[14.3125, 15.4375, 2.5625]
[18.5625, 13.5, 3.3125]
[18.5625, 13.5, 3.3125]
[18.5625, 13.5, 3.3125]
[64.3125, 29.125, 23.875]
[64.3125, 29.125, 23.875]
[80.125, 39.75, 42.625]
[80.125, 39.75, 42.625]
[80.125, 39.75, 42.625]
[81.6875, 51.9375, 70.75]
[81.6875, 51.9375, 70.75]
[98.5, 69.375, 109.6875]
[98.5, 69.375, 109.6875]
[125.6875, 96.125, 137.5]
[125.6875, 96.125, 137.5]
[132.4375, 116.8125, 145.875]
[132.4375, 116.8125, 145.875]
[123.5625, 126.875, 156.9375]
[122.8125, 134.875, 176.4375]
[122.8125, 134.875, 176.4375]
[123.5, 149.375, 191.75]
[123.5, 149.375, 191.75]
[123.0, 162.0, 194.125]
[123.0, 162.0, 194.125]
[104.0, 172.375, 190.125]
[104.0, 172.375, 190.125]
[90.0625, 184.1875, 181.875]
[90.0625, 184.1875, 181.875]
[75.4375, 191.875, 169.0625]
[75.4375, 191.875, 169.0625]
[36.125, 186.875, 160.125]
[36.125, 186.875, 160.125]
[8.5625, 171.0625, 156.75]
[4.6875, 162.375, 144.9375]
[4.6875, 162.375, 144.9375]
[4.6875, 162.375, 144.9375]
[4.9375, 148.8125, 130.0625]
[4.9375, 148.8125, 130.0625]
[5.8125, 127.0, 115.6875]
[5.8125, 127.0, 115.6875]
[5.8125, 127.0, 115.6875]
[-7.8125, 100.5, 102.5]
[-28.375, 75.625, 92.8125]
[-28.375, 75.625, 92.8125]
[-29.625, 57.3125, 82.375]
[-29.625, 57.3125, 82.375]
[-29.625, 57.3125, 82.375]
[-5.625, 27.25, 64.0]
[-5.625, 27.25, 64.0]
[-5.625, 27.25, 64.0]
[-3.3125, 16.1875, 64.6875]
[-3.3125, 16.1875, 64.6875]
[-9.9375, 2.6875, 67.8125]
[-12.6875, -6.3125, 73.1875]
[-12.6875, -6.3125, 73.1875]
[-12.6875, -6.3125, 73.1875]
[-13.6875, -11.5, 78.8125]
[-13.6875, -11.5, 78.8125]
[-7.3125, -15.375, 80.75]
[-7.3125, -15.375, 80.75]
[-7.3125, -15.375, 80.75]
[7.1875, 1.9375, 67.0]
[7.1875, 1.9375, 67.0]
[-5.5, 25.625, 50.25]
[-5.5, 25.625, 50.25]
[-42.125, 21.0, 32.625]
[-42.125, 21.0, 32.625]
[-42.125, 21.0, 32.625]
[-45.625, -10.125, 69.625]
[-45.625, -10.125, 69.625]
[-11.5625, -29.875, 119.8125]
[-11.5625, -29.875, 119.8125]
[135.25, -27.875, 93.625]
[135.25, -27.875, 93.625]
[-6.0625, -25.5625, 5.6875]
[-6.0625, -25.5625, 5.6875]
[-6.0625, -25.5625, 5.6875]
[-6.0625, -25.5625, 5.6875]
[9.4375, -10.0625, -26.0625]
[9.4375, -10.0625, -26.0625]
[20.8125, -7.75, -11.625]
[20.8125, -7.75, -11.625]
[-5.6875, -8.0, -11.875]
[6.125, 3.3125, -16.4375]
[6.125, 3.3125, -16.4375]
[6.6875, 8.75, -13.9375]
[6.6875, 8.75, -13.9375]
[6.6875, 8.75, -13.9375]
[-0.125, 8.5, -9.25]
[-0.125, 8.5, -9.25]
[8.5625, 10.625, -3.0]
[8.5625, 10.625, -3.0]
[8.5625, 10.625, -3.0]
[8.5625, 10.625, -3.0]
[6.3125, 1.375, -10.5]
[6.3125, 1.375, -10.5]
[4.1875, -3.75, -15.125]
[4.1875, -3.75, -15.125]
[-6.4375, -8.875, -21.625]
[-6.4375, -8.875, -21.625]
[-10.4375, -14.5625, -26.875]
[-10.4375, -14.5625, -26.875]
[-10.4375, -14.5625, -26.875]
[-5.5, -22.3125, -31.5]
[5.4375, -40.3125, -40.9375]
[5.4375, -40.3125, -40.9375]
[5.4375, -40.3125, -40.9375]
