(-4, 2, 2, 7, 7, 17, 55, 6, 0)
(1, 11, 1, -3, -4, -7, -14, -2, 0)
(-2, -13, 1, -5, -4, 9, -12, -1, 0)
(-5, -4, -4, -4, -1, -9, -37, -4, 0)
(0, -3, 0, 0, 1, 8, 9, 3, 0)
(0, -3, 0, 0, 1, 8, 9, 3, 0)
(0, -3, 0, 0, 1, 8, 9, 3, 0)
(-2, -7, -6, -4, 2, 13, 67, 1, 0)
(-2, -7, -6, -4, 2, 13, 67, 1, 0)
(-2, -7, -6, -4, 2, 13, 67, 1, 0)
(1, 6, 1, -2, -6, 0, 64, 4, 0)
(1, 6, 1, -2, -6, 0, 64, 4, 0)
(0, 7, -1, 0, -3, -11, -93, -6, 0)
(1, -3, 1, -1, -1, 2, 20, 2, 0)
(0, -1, 0, 1, -4, 3, 16, 1, 0)
(0, -1, 0, 1, -4, 3, 16, 1, 0)
(0, 1, -1, 1, 0, -10, -33, -2, 0)
(0, 1, -1, 1, 0, -10, -33, -2, 0)
(-6, 4, -3, -10, -6, -10, -22, -7, 0)
(4, -6, -3, 1, -1, -6, 49, -2, 0)
(2, -9, 0, 2, 2, 2, -16, 4, 0)
(2, -9, 0, 2, 2, 2, -16, 4, 0)
(1, 2, -4, -1, 0, 2, 12, 0, 0)
(1, 2, -4, -1, 0, 2, 12, 0, 0)
(-1, 3, 1, -1, 0, 1, -2, -2, 0)
(-2, -5, -5, -6, -11, -32, -91, -10, 0)
(5, 1, 0, -1, -1, 1, 39, -1, 0)
(-10, -3, -1, -2, -2, -7, -39, -2, 0)
(3, -1, 0, 5, 4, 6, 40, 2, 0)
(-1, 0, -2, 0, 0, -1, -20, 2, 0)
(-4, -5, 3, 3, -1, -3, -7, 2, 0)
(-3, 2, -1, -3, -6, -18, 1, -5, 0)
(-4, -2, 0, -2, 0, 2, -19, 0, 0)
(-4, -2, 0, -2, 0, 2, -19, 0, 0)
(5, 2, 4, 1, 15, 61, 34, 22, 0)
(0, -1, 1, 0, -2, -15, -36, 0, 0)
(-2, -2, -2, 4, 3, 19, 0, 5, 0)
(-1, 5, 4, 5, 1, -3, 9, -2, 0)
(-3, -2, -1, 1, -1, -11, -36, -4, 0)
(-3, -5, -3, -6, -3, -6, -27, -2, 0)
(-1, 3, 5, -2, 1, 6, 7, 2, 0)
(1, -2, 2, 1, -2, 7, 15, 2, 0)
(-3, 0, 0, 0, -4, -8, -11, -3, 0)
(-3, 0, 0, 0, -4, -8, -11, -3, 0)
(-3, 0, 0, 0, -4, -8, -11, -3, 0)
(-2, -3, -2, -5, -1, 1, 2, 0, 0)
(4, 1, -2, 1, 2, 0, 9, 0, 0)
