(3, 0, 4, 9, 24, 19, -1, 5, 0)
(4, 4, -5, 6, 4, 18, 8, 5, 0)
(1, -5, -2, -4, -2, 6, 109, -2, 0)
(-3, -7, -9, -13, -10, -28, -48, -9, 0)
(3, 0, -4, 3, -4, -16, -106, 0, 0)
(-5, 5, -4, -6, -3, -7, -16, -2, 0)
(5, -7, 3, 5, 7, 53, 44, 12, 0)
(3, 3, 4, 1, -4, -10, -82, -5, 0)
(-7, -3, -1, -1, 2, -1, 30, -3, 0)
(-5, -5, 0, 1, 1, -2, -29, -1, 0)
(4, 2, 1, 1, 6, 28, 123, 6, 0)
(0, -5, 0, -4, 4, 20, -41, 1, 0)
(-4, -6, -2, -7, -8, -20, -55, -8, 0)
(1, -5, 2, 8, 10, 24, 94, 17, 0)
(5, 15, -1, -3, 0, -5, -25, 1, 0)
(1, -13, -9, -2, 4, 23, 29, 7, 0)
(1, -13, -9, -2, 4, 23, 29, 7, 0)
(-6, -3, -9, -7, -10, -24, -37, -8, 0)
(-3, 4, -1, -2, -6, -30, -73, -11, 0)
(-6, -7, -2, 0, -2, 1, -7, -2, 0)
(1, -1, 2, -1, -4, -12, -55, 1, 0)
(0, 2, 5, 1, -3, 5, 71, 1, 0)
(0, 0, 1, 0, -2, 1, 55, 0, 0)
(-2, -4, -4, 1, 5, 7, 6, -1, 0)
(-2, -6, 0, -6, -3, -3, -18, -1, 0)
(-2, -2, 0, -9, -8, -2, 6, -4, 0)
(6, -4, 0, -1, 5, 15, 31, 5, 0)
(-5, -1, -1, -1, -2, -20, -46, -4, 0)
(-10, -2, 3, 4, 2, 6, 30, 0, 0)
(-1, 2, -5, -1, -1, -9, -14, -2, 0)
(-1, 2, -5, -1, -1, -9, -14, -2, 0)
(-1, -5, -6, -7, -4, 6, 24, 1, 0)
(-5, -6, -2, -1, -1, -2, 1, -3, 0)
(3, 5, -4, -2, -1, 1, 2, -3, 0)
(3, 5, -4, -2, -1, 1, 2, -3, 0)
(0, 6, -2, 1, -5, -4, -9, -1, 0)
(0, 6, -2, 1, -5, -4, -9, -1, 0)
(2, -4, 1, -10, -14, -3, 0, 0, 0)
(2, -4, 1, -10, -14, -3, 0, 0, 0)
(2, 0, -1, 28, 51, 12, -1, 0, 0)
(-3, 2, -10, 7, 18, 8, 3, 1, 0)
(-3, 2, -10, 7, 18, 8, 3, 1, 0)
(-6, 2, 5, 10, -6, -3, 0, -3, 0)
(3, -2, -28, 10, -13, -8, -5, -2, 0)
(3, -2, -28, 10, -13, -8, -5, -2, 0)
(-5, -1, -27, -14, -4, 5, 38, 3, 0)
(-5, -22, -79, 1, -12, 1, -1, 0, 0)
(2, -6, -16, 26, 21, 0, 34, 11, 0)
(6, 20, 9, -28, -8, 6, -1, -7, 0)
(-11, -21, 17, -21, -36, -1, -12, 0, 0)
(6, 2, 12, 21, -8, -14, -14, -11, 0)
(-6, -4, -7, -18, 22, 9, 58, 9, 0)
(-19, -8, -17, 9, -6, -7, -7, -11, 0)
(29, 9, 50, 37, 33, 36, 69, 89, 0)
(-18, -3, -4, -20, -4, -5, -21, -20, 0)
(-6, -15, -46, -63, -50, -9, -13, 2, 0)
(0, -1, 68, 34, 3, 11, -2, -4, 0)
(23, 6, -12, 9, -20, 12, -28, 20, 0)
(-13, -2, -8, 30, -31, -33, 9, -9, 0)
(-13, -2, -8, 30, -31, -33, 9, -9, 0)
(4, 9, 38, -26, 50, 3, -29, -7, 0)
(-29, -15, -7, -104, -35, -9, 1, -126, 0)
(-29, -15, -7, -104, -35, -9, 1, -126, 0)
(4, 4, 16, -26, -52, -7, -37, 15, 0)
(4, 4, 16, -26, -52, -7, -37, 15, 0)
(-9, -16, -25, 0, 16, 6, -76, -1, 0)
(1, 1, -36, 40, 46, 0, -9, 13, 0)
(-6, -3, 8, 52, 74, 14, 26, -25, 0)
(-6, -3, 8, 52, 74, 14, 26, -25, 0)
(14, -16, 55, -38, -5, 7, 39, -14, 0)
(-18, 3, -66, 36, -2, -3, 39, 13, 0)
(13, 7, -6, 38, 34, 8, -26, 1, 0)
(6, 7, -19, 15, 9, -1, 19, -2, 0)
(-7, -11, -16, 4, 8, 9, 18, 0, 0)
(-7, -11, -16, 4, 8, 9, 18, 0, 0)
(4, 8, 20, 8, -19, -9, -5, -6, 0)
(-9, -13, -31, -17, -17, -5, -9, -12, 0)
(-9, -13, -31, -17, -17, -5, -9, -12, 0)
(-11, -17, -15, 6, -1, 3, -3, -9, 0)
(-13, 23, 49, 3, -13, -1, 2, -14, 0)
(-13, 23, 49, 3, -13, -1, 2, -14, 0)
(13, 25, 3, 31, 6, -3, -18, 0, 0)
(13, 25, 3, 31, 6, -3, -18, 0, 0)
(8, -3, 3, 14, -7, -4, -30, 5, 0)
(-10, -6, -7, -4, -7, -2, 11, -2, 0)
(-6, 2, 23, -23, -5, -5, 1, -5, 0)
(-6, 0, 6, 1, -14, -5, -2, -2, 0)
(-8, -5, -4, 1, 16, -1, -18, -13, 0)
(14, 16, -4, 0, -6, -4, 11, 4, 0)
(-16, -17, 10, -3, -18, -4, 16, -20, 0)
(3, 2, 5, 6, 9, 3, -6, 9, 0)
(-4, 3, 2, 7, -7, -1, 3, -1, 0)
(4, 8, -1, -6, -6, -2, 6, 2, 0)
(-7, -5, 4, 3, 8, 2, -4, -13, 0)
(13, -2, -1, 3, 1, 1, 25, 20, 0)
(-30, -11, -8, -5, -7, -4, -8, -19, 0)
(2, 2, 4, 3, 2, -3, -13, -9, 0)
(-14, -5, -8, -7, -1, 5, 19, -4, 0)
(-13, 2, -15, -6, -8, -5, -9, -8, 0)
(9, 5, -12, 1, 0, -4, 2, 1, 0)
(-33, 24, 12, 0, 1, 1, 9, 3, 0)
(-33, 24, 12, 0, 1, 1, 9, 3, 0)
(-17, 29, -51, 11, 6, 6, -13, -7, 0)
(-17, 29, -51, 11, 6, 6, -13, -7, 0)
(-4, -51, -20, -15, -8, -5, -32, 3, 0)
(-4, -51, -20, -15, -8, -5, -32, 3, 0)
(43, 16, 16, -1, 4, 3, -63, 16, 0)
(0, -31, 5, -10, -19, -6, -25, 46, 0)
(12, 22, -42, -4, 9, 9, 39, 26, 0)
(7, 20, 59, -24, -6, -3, -10, -31, 0)
(7, 20, 59, -24, -6, -3, -10, -31, 0)
(12, 12, 4, 8, -9, -9, -15, -12, 0)
(7, -7, -13, 6, 5, 7, -9, 2, 0)
(-2, -18, 5, -6, 1, -2, -2, -11, 0)
(-2, -3, 17, 12, 8, -1, -5, -13, 0)
(-2, -3, 17, 12, 8, -1, -5, -13, 0)
(-11, -7, 16, -9, -4, -3, -26, -18, 0)
(24, 0, -8, -6, -7, -4, -3, 4, 0)
(7, 2, -32, 5, 2, 1, 12, -6, 0)
(-3, -4, 14, 6, 3, -1, 9, 4, 0)
(0, 0, -7, 4, 1, 0, 4, -2, 0)
(0, 0, -7, 4, 1, 0, 4, -2, 0)
(-6, -7, -23, 5, 4, 0, 2, -6, 0)
(-1, -5, 17, 2, -1, 1, 6, -8, 0)
(-3, -6, -2, -30, 4, -2, -11, 10, 0)
(3, -5, -3, 14, 6, 1, -5, -2, 0)
(3, -5, -3, 14, 6, 1, -5, -2, 0)
(-3, 5, -23, 11, -1, -2, -4, -1, 0)
(-2, -2, -14, -1, 3, -1, 2, -1, 0)
(-4, 2, 3, 2, -1, -4, -6, 2, 0)
(-5, 3, 5, 3, 1, 5, 37, 1, 0)
(-7, -2, 27, -6, -4, -4, 7, -1, 0)
(-4, -1, -7, 3, 0, -1, 3, 1, 0)
(-1, -4, 2, -5, -2, -1, 2, 2, 0)
(2, 1, 3, 4, 1, 2, -7, 1, 0)
(-4, -4, -17, -29, -4, -4, -21, 1, 0)
(0, 0, 4, 19, 0, 10, 17, -1, 0)
(-2, 0, -7, -9, -6, -2, 19, -1, 0)
(-2, 0, 1, -5, 0, -6, -8, -1, 0)
(1, 2, 6, 8, 3, 0, 1, 3, 0)
(-1, -3, -36, -19, -4, -1, -3, -3, 0)
(-3, -5, -31, -19, -4, -3, -6, -3, 0)
(-1, 2, 15, -3, -1, -1, -4, -1, 0)
(1, 1, -1, 7, 0, 1, 8, 0, 0)
(-5, -6, 20, 1, -3, -6, -18, -1, 0)
(1, -1, -27, -13, -8, -1, 31, 1, 0)
(0, -1, 7, 5, 0, -2, -22, 0, 0)
(0, -1, 7, 6, -6, -9, -3, -2, 0)
(-2, 0, -9, -7, 3, -1, -2, -2, 0)
(1, -1, -10, 9, -1, 4, 1, 1, 0)
(0, -1, -4, 4, -4, 0, 1, -2, 0)
(-2, -3, 7, -9, -7, -5, -1, 0, 0)
(1, 1, 3, 1, 0, 3, 14, 0, 0)
(-3, -4, -1, -8, -6, -2, -3, -1, 0)
(0, 2, -16, 4, -1, -12, -37, -3, 0)
(-1, -4, 4, 4, -5, -10, -23, -2, 0)
(-1, -4, 4, 4, -5, -10, -23, -2, 0)
(-2, -2, -7, -14, -3, 0, 1, 4, 0)
(0, 2, 1, 8, 3, 7, 1, 1, 0)
(0, -3, -8, 4, 6, 10, 34, -1, 0)
(-1, -4, -20, -8, -5, -6, -20, -3, 0)
(1, 4, 9, -6, -6, -3, 32, -2, 0)
(-1, 3, -2, 5, 7, 2, 8, -2, 0)
(-1, -2, -2, 5, 0, -3, 0, -1, 0)
(3, 3, 4, 5, 7, 5, 4, 0, 0)
