(5, -2, 0, -1, -9, -20, 0, -10, 0)
(-1, 11, 4, 7, 3, 34, 61, 5, 0)
(-1, 11, 4, 7, 3, 34, 61, 5, 0)
(-3, 1, -4, -5, -2, 9, 52, -2, 0)
(-1, 2, 0, -1, -2, -12, 7, 5, 0)
(-3, -2, -2, -4, -5, -16, -27, -5, 0)
(-5, 2, 3, 1, 2, 11, 103, -9, 0)
(8, 6, 2, 6, 13, 43, 45, 14, 0)
(-2, -10, -1, -1, -2, -24, -128, -4, 0)
(-4, -5, -4, -7, -3, -4, -30, -2, 0)
(0, -5, 2, -1, 0, -2, -32, 3, 0)
(-3, -5, -2, 1, 3, 5, -4, -2, 0)
(3, -9, -2, -6, 10, 44, 91, 18, 0)
(-2, 8, 1, 1, -6, -19, -15, -8, 0)
(-2, 8, 1, 1, -6, -19, -15, -8, 0)
(3, 1, -3, -4, -2, -2, -8, -2, 0)
(-1, 3, 0, 1, 1, 1, -64, -1, 0)
(0, 3, 1, 2, -1, -4, -4, -2, 0)
(4, 4, -1, 2, 1, 4, 91, 0, 0)
(-12, 1, -4, -4, -5, -19, -69, -4, 0)
(-12, 1, -4, -4, -5, -19, -69, -4, 0)
(-3, 2, -1, -7, -8, -19, -16, -4, 0)
(-3, 2, -1, -7, -8, -19, -16, -4, 0)
(-3, 2, -1, -7, -8, -19, -16, -4, 0)
(-3, -9, -1, -2, -1, -5, 13, -1, 0)
(-3, -9, -1, -2, -1, -5, 13, -1, 0)
(-3, 0, -2, -1, 0, -5, -7, -4, 0)
(5, -1, 1, -1, -1, 8, -8, 2, 0)
(4, -3, -2, -2, -3, 1, -40, -2, 0)
(4, -3, -2, -2, -3, 1, -40, -2, 0)
(0, -4, 1, -2, 0, 6, 14, -1, 0)
(0, -4, 1, -2, 0, 6, 14, -1, 0)
(1, 2, 4, 2, -1, -5, -34, -1, 0)
(1, 2, 4, 2, -1, -5, -34, -1, 0)
(15, 5, 0, 1, 1, 5, 0, 1, 0)
(1, -3, -2, 2, 2, -1, -35, -1, 0)
(-5, 2, -3, -3, -2, -5, 1, -2, 0)
(0, -3, 1, 2, 1, 5, 5, 3, 0)
(-2, -1, -5, -4, 2, 1, 12, -1, 0)
(-3, -2, 2, 2, -1, 1, -13, 2, 0)
(0, 0, 1, 1, 2, 4, 14, 2, 0)
(-4, -3, -3, -2, -4, -2, 0, -4, 0)
(-4, -3, -3, -2, -4, -2, 0, -4, 0)
(-1, -3, -3, 9, -1, -3, -10, -2, 0)
(0, -2, 0, 0, 5, 10, 28, 1, 0)
(-1, 0, -3, 3, -1, -3, -6, -2, 0)
(1, -1, -2, -1, 2, 3, 9, 1, 0)
(-3, -4, 2, 9, -4, -9, -1, -4, 0)
(-3, -4, 2, 9, -4, -9, -1, -4, 0)
(1, 1, -2, -2, -4, -2, -2, 0, 0)
(-4, 1, 3, -1, 2, 2, 8, -2, 0)
(-4, 1, 3, -1, 2, 2, 8, -2, 0)
(5, 3, 1, 10, 17, 9, 9, 5, 0)
(-5, -4, -3, -8, 12, 0, -4, -4, 0)
(-5, -4, -3, -8, 12, 0, -4, -4, 0)
(-2, -3, -4, 3, -6, -3, -9, -1, 0)
(-4, -1, -2, -4, -12, -1, 0, -2, 0)
(-8, -4, 3, -13, 1, -1, 1, 0, 0)
(9, 6, -1, 23, 1, 2, 2, 2, 0)
(-3, -7, -3, -10, -4, -1, 2, 0, 0)
(-3, -7, -3, -10, -4, -1, 2, 0, 0)
(-4, -3, 0, 20, -2, -1, 0, -1, 0)
(2, 4, 1, 7, 2, 1, 0, -1, 0)
(2, 4, 1, 7, 2, 1, 0, -1, 0)
(0, 0, -2, 7, -14, -2, -2, 1, 0)
(-2, -2, -1, 2, -1, -1, -1, 1, 0)
(-1, -1, -1, -2, -6, -4, -8, -2, 0)
(2, 2, -1, 21, 2, 18, 23, 4, 0)
(2, 2, -1, 21, 2, 18, 23, 4, 0)
(1, -2, -2, 4, -1, -8, -15, -2, 0)
(3, 0, -2, -3, 1, -2, -5, -1, 0)
(-4, -5, -2, -4, -3, -5, -4, -2, 0)
(3, 2, -1, -2, -1, 3, 9, 4, 0)
(-1, -6, 2, 7, -3, -5, -6, -2, 0)
(-1, -6, 2, 7, -3, -5, -6, -2, 0)
(7, 6, -2, -12, -3, -2, 8, 1, 0)
(-3, 2, -1, -5, -5, -5, -6, -3, 0)
(0, -2, -1, 5, 8, 4, 5, 1, 0)
(-2, 0, 1, -12, -1, 0, 0, -4, 0)
(6, -5, 0, -3, -6, -5, -4, 7, 0)
(6, -5, 0, -3, -6, -5, -4, 7, 0)
(7, 5, -3, -7, -4, -3, -3, -2, 0)
(7, 5, -3, -7, -4, -3, -3, -2, 0)
(7, 5, -3, -7, -4, -3, -3, -2, 0)
(7, 10, 3, 4, 0, 1, 4, 2, 0)
(-7, 1, -1, -1, 5, 3, 2, -3, 0)
(-21, 5, 0, 5, 1, 0, -1, -6, 0)
(7, -7, -13, 3, 8, 24, 22, 34, 0)
(7, -7, -13, 3, 8, 24, 22, 34, 0)
(37, -20, -22, 8, 3, 2, 36, -78, 0)
(70, 14, 1, 12, 7, -14, -26, -80, 0)
(-23, 16, -25, 10, 19, 27, -22, -25, 0)
(-23, 16, -25, 10, 19, 27, -22, -25, 0)
(-23, 16, -25, 10, 19, 27, -22, -25, 0)
(-23, 16, -25, 10, 19, 27, -22, -25, 0)
(-23, 16, -25, 10, 19, 27, -22, -25, 0)
(69, -30, -41, -18, -14, -6, -26, 127, 0)
(30, 20, 36, -26, -20, -14, 66, -105, 0)
(-6, 1, 8, 12, 7, 48, 9, -36, 0)
(37, -10, -17, -16, -9, -54, -81, 101, 0)
(5, -3, -28, -3, -9, 7, 43, 73, 0)
