[-28.5625, 25.125, -16.0]
[-18.9375, 20.5625, -15.375]
[-18.9375, 20.5625, -15.375]
[-14.75, 14.5, -15.1875]
[-14.75, 14.5, -15.1875]
[-10.8125, 9.1875, -14.125]
[-6.875, 5.4375, -13.625]
[-6.875, 5.4375, -13.625]
[-4.4375, 1.9375, -13.0625]
[-4.4375, 1.9375, -13.0625]
[-4.4375, 1.9375, -13.0625]
[-1.0, -0.3125, -11.0]
[1.25, -2.375, -9.3125]
[1.25, -2.375, -9.3125]
[4.0, -4.5625, -7.25]
[4.0, -4.5625, -7.25]
[7.125, -7.375, -3.3125]
[7.125, -7.375, -3.3125]
[8.5625, -10.4375, 0.4375]
[8.5625, -10.4375, 0.4375]
[16.5, -13.0, 5.9375]
[16.5, -13.0, 5.9375]
[23.0, -15.875, 10.0625]
[23.0, -15.875, 10.0625]
[25.8125, -18.6875, 14.0]
[25.8125, -18.6875, 14.0]
[29.25, -20.3125, 16.125]
[29.25, -20.3125, 16.125]
[33.4375, -20.9375, 18.25]
[33.4375, -20.9375, 18.25]
[38.25, -21.8125, 22.1875]
[38.25, -21.8125, 22.1875]
[43.5, -26.5, 27.875]
[43.5, -26.5, 27.875]
[52.8125, -32.25, 34.0625]
[52.8125, -32.25, 34.0625]
[63.6875, -37.25, 40.875]
[63.6875, -37.25, 40.875]
[76.6875, -41.125, 50.25]
[76.6875, -41.125, 50.25]
[89.125, -44.4375, 60.3125]
[99.9375, -44.625, 72.375]
[99.9375, -44.625, 72.375]
[99.9375, -44.625, 72.375]
[111.0625, -42.1875, 90.375]
[111.0625, -42.1875, 90.375]
[129.875, -34.5, 109.75]
[150.5, -21.6875, 128.3125]
[150.5, -21.6875, 128.3125]
[150.5, -21.6875, 128.3125]
[153.6875, -8.4375, 152.0]
[153.6875, -8.4375, 152.0]
[157.3125, 9.8125, 172.875]
[148.3125, 27.75, 192.0]
[148.3125, 27.75, 192.0]
[148.3125, 27.75, 192.0]
[126.8125, 40.125, 204.8125]
[126.8125, 40.125, 204.8125]
[111.0625, 53.875, 213.375]
[91.1875, 65.1875, 218.625]
[91.1875, 65.1875, 218.625]
[91.1875, 65.1875, 218.625]
[86.3125, 80.625, 224.625]
[86.3125, 80.625, 224.625]
[91.625, 90.75, 219.0]
[84.5, 90.5625, 210.5625]
[84.5, 90.5625, 210.5625]
[84.5, 90.5625, 210.5625]
[80.0625, 91.0, 195.75]
[80.0625, 91.0, 195.75]
[80.0625, 91.0, 195.75]
[70.1875, 85.875, 169.375]
[69.1875, 78.0625, 149.0625]
[69.1875, 78.0625, 149.0625]
[51.625, 65.1875, 124.0625]
[51.625, 65.1875, 124.0625]
[29.25, 46.5, 101.0]
[23.75, 32.625, 80.5625]
[23.75, 32.625, 80.5625]
[13.125, 19.0, 58.25]
[13.125, 19.0, 58.25]
[13.125, 19.0, 58.25]
[-3.375, 5.5, 41.6875]
[-20.6875, -7.0625, 23.125]
[-20.6875, -7.0625, 23.125]
[-28.5, -15.0625, 9.1875]
[-28.5, -15.0625, 9.1875]
[-28.5, -15.0625, 9.1875]
[-32.375, -15.5, -2.0]
[-41.875, -15.875, -13.0]
[-41.875, -15.875, -13.0]
[-50.1875, -17.375, -25.625]
[-50.1875, -17.375, -25.625]
[-50.1875, -17.375, -25.625]
[-50.1875, -17.375, -25.625]
[-57.0625, -18.25, -43.25]
[-57.0625, -18.25, -43.25]
[-67.5625, -19.75, -66.625]
[-67.5625, -19.75, -66.625]
[-67.5625, -19.75, -66.625]
[-85.75, -30.0625, -96.125]
[-163.625, -95.5625, -238.3125]
[-163.625, -95.5625, -238.3125]
[-196.625, -103.75, -289.1875]
[-196.625, -103.75, -289.1875]
[-196.625, -103.75, -289.1875]
[-247.625, -81.625, -336.6875]
[-247.625, -81.625, -336.6875]
[-247.625, -81.625, -336.6875]
[-203.1875, -43.3125, -301.75]
[-203.1875, -43.3125, -301.75]
[-144.125, -22.4375, -273.8125]
[-144.125, -22.4375, -273.8125]
[-109.75, -59.5, -298.75]
[-109.75, -59.5, -298.75]
[-0.5625, -44.25, -194.9375]
[-0.5625, -44.25, -194.9375]
[-0.5625, -44.25, -194.9375]
[6.1875, -24.375, -75.75]
[6.1875, -24.375, -75.75]
[6.1875, -24.375, -75.75]
[11.3125, -4.9375, -28.1875]
[11.3125, -4.9375, -28.1875]
[11.3125, -4.9375, -28.1875]
[12.75, 7.5, 0.8125]
[9.8125, 13.375, 21.0]
[9.8125, 13.375, 21.0]
[9.0625, 18.4375, 32.8125]
[14.1875, 20.5, 33.0]
[14.1875, 20.5, 33.0]
[16.625, 22.0625, 32.3125]
[16.625, 22.0625, 32.3125]
[16.625, 22.0625, 32.3125]
[16.625, 22.0625, 32.3125]
[11.5, 24.25, 30.0625]
[11.5, 24.25, 30.0625]
[8.375, 31.9375, 20.625]
[8.375, 31.9375, 20.625]
[9.5625, 31.8125, 19.75]
[9.5625, 31.8125, 19.75]
[15.8125, 27.625, 20.1875]
[15.8125, 27.625, 20.1875]
[22.5625, 23.6875, 22.3125]
[22.5625, 23.6875, 22.3125]
[22.5625, 23.6875, 22.3125]
[34.0625, 23.625, 21.125]
[34.0625, 23.625, 21.125]
[52.875, 21.5, 13.5]
[56.875, 18.0625, 10.125]
[56.875, 18.0625, 10.125]
[53.875, 13.9375, 8.375]
[53.875, 13.9375, 8.375]
[53.875, 13.9375, 8.375]
[38.75, 8.25, 4.6875]
[28.9375, 3.1875, -1.375]
[28.9375, 3.1875, -1.375]
[23.125, -1.1875, -12.0]
[23.125, -1.1875, -12.0]
[2.3125, -6.375, -22.125]
[-18.6875, -2.75, -34.25]
[-18.6875, -2.75, -34.25]
[-23.9375, -0.8125, -37.9375]
[-23.9375, -0.8125, -37.9375]
[-23.9375, -0.8125, -37.9375]
[-24.4375, 0.25, -40.75]
[-24.4375, 0.25, -40.75]
[-37.5625, 1.0625, -47.3125]
[-37.5625, 1.0625, -47.3125]
[-42.875, 5.4375, -46.1875]
[-42.875, 5.4375, -46.1875]
[-40.4375, 13.3125, -45.25]
[-46.0625, 15.5625, -45.0]
[-46.0625, 15.5625, -45.0]
[-46.0625, 15.5625, -45.0]
[-48.5625, 16.4375, -44.625]
[-48.5625, 16.4375, -44.625]
[-46.8125, 22.3125, -41.4375]
[-46.8125, 22.3125, -41.4375]
[-48.875, 25.5, -33.375]
[-47.8125, 26.875, -27.1875]
[-47.8125, 26.875, -27.1875]
[-48.125, 24.4375, -22.75]
[-48.125, 24.4375, -22.75]
[-48.125, 24.4375, -22.75]
[-45.4375, 25.6875, -18.8125]
[-45.4375, 25.6875, -18.8125]
[-44.125, 28.3125, -15.375]
[-44.125, 28.3125, -15.375]
[-44.125, 28.3125, -15.375]
[-44.125, 28.3125, -15.375]
[-40.625, 28.1875, -3.375]
[-42.75, 27.5, -0.5625]
[-42.75, 27.5, -0.5625]
[-40.5, 30.0625, -0.6875]
[-40.5, 30.0625, -0.6875]
[-37.0625, 31.6875, -3.375]
[-37.0625, 31.6875, -3.375]
[-37.0625, 27.5625, -3.0625]
[-37.0625, 27.5625, -3.0625]
[-36.5625, 22.625, -1.5625]
[-36.5625, 22.625, -1.5625]
[-30.75, 19.5, -1.5]
[-23.6875, 16.8125, -3.5625]
[-23.6875, 16.8125, -3.5625]
[-23.6875, 16.8125, -3.5625]
[-19.25, 13.875, -3.5]
[-19.25, 13.875, -3.5]
[-15.3125, 8.9375, -1.1875]
[-15.3125, 8.9375, -1.1875]
[-9.6875, 5.8125, 0.75]
[-9.6875, 5.8125, 0.75]
[-3.9375, 3.9375, -0.125]
[-3.9375, 3.9375, -0.125]
[-3.9375, 3.9375, -0.125]
[0.0625, 2.3125, -1.625]
[-0.3125, -0.375, -2.25]
[-0.3125, -0.375, -2.25]
[-0.3125, -0.375, -2.25]
[-0.3125, -0.375, -2.25]
[2.5625, -4.625, 0.3125]
[2.5625, -4.625, 0.3125]
[5.625, -5.5, -0.25]
[5.625, -5.5, -0.25]
[5.9375, -6.25, -0.9375]
[5.9375, -6.25, -0.9375]
[9.8125, -9.625, 0.25]
[9.8125, -9.625, 0.25]
[14.375, -13.625, 1.9375]
[14.375, -13.625, 1.9375]
[21.875, -15.9375, 2.25]
[21.875, -15.9375, 2.25]
[28.25, -16.75, 1.375]
[28.25, -16.75, 1.375]
[32.5625, -19.0, 1.4375]
[32.5625, -19.0, 1.4375]
[34.1875, -22.0625, 1.4375]
[34.1875, -22.0625, 1.4375]
[34.1875, -22.0625, 1.4375]
[34.75, -24.875, -0.3125]
