[-15.25, -230.8125, -125.25]
[-11.0625, -207.4375, -101.1875]
[-11.0625, -207.4375, -101.1875]
[-11.0625, -207.4375, -101.1875]
[-9.1875, -184.1875, -77.25]
[-9.1875, -184.1875, -77.25]
[-9.1875, -184.1875, -77.25]
[-7.1875, -154.5, -60.9375]
[-7.1875, -154.5, -60.9375]
[-5.75, -122.9375, -45.3125]
[-5.75, -122.9375, -45.3125]
[-5.75, -122.9375, -45.3125]
[-4.75, -43.5, 1.875]
[-4.75, -43.5, 1.875]
[-9.5, -35.375, 9.9375]
[-6.75, -26.0625, 12.9375]
[-6.75, -26.0625, 12.9375]
[-6.75, -26.0625, 12.9375]
[-6.75, -15.0625, 11.25]
[-6.75, -15.0625, 11.25]
[-6.75, -15.0625, 11.25]
[0.0625, -4.0, 9.5625]
[4.3125, -3.375, 3.0]
[0.625, -7.75, 0.375]
[0.625, -7.75, 0.375]
[-1.5, -10.8125, -0.375]
[-1.5, -10.8125, -0.375]
[-1.5, -10.8125, -0.375]
[2.5, -11.875, -1.0]
[2.5, -11.875, -1.0]
[11.1875, -11.3125, -1.125]
[11.1875, -11.3125, -1.125]
[11.1875, -11.3125, -1.125]
[11.1875, -11.3125, -1.125]
[10.9375, -9.8125, -0.4375]
[10.9375, -9.8125, -0.4375]
[10.875, -7.75, 1.1875]
[10.875, -7.375, 0.25]
[10.875, -7.375, 0.25]
[14.1875, -6.8125, -0.3125]
[14.1875, -6.8125, -0.3125]
[14.8125, -9.5, 0.625]
[18.4375, -12.625, 0.875]
[18.4375, -12.625, 0.875]
[18.4375, -12.625, 0.875]
[21.125, -14.5625, 0.875]
[21.125, -14.5625, 0.875]
[21.125, -14.5625, 0.875]
[25.75, -14.6875, 0.5]
[25.75, -14.6875, 0.5]
[29.9375, -14.25, -0.125]
[29.9375, -14.25, -0.125]
[28.3125, -15.375, -0.0625]
[31.0625, -16.8125, 2.25]
[31.0625, -16.8125, 2.25]
[33.0625, -13.25, 13.875]
[33.0625, -13.25, 13.875]
[43.5625, 4.625, 43.125]
[43.5625, 4.625, 43.125]
[43.5625, 4.625, 43.125]
[74.0, 34.125, 89.375]
[74.0, 34.125, 89.375]
[74.0, 34.125, 89.375]
[134.9375, 107.625, 186.3125]
[134.9375, 107.625, 186.3125]
[134.9375, 107.625, 186.3125]
[134.9375, 107.625, 186.3125]
[174.625, 169.8125, 246.5625]
[208.6875, 190.1875, 250.8125]
[208.6875, 190.1875, 250.8125]
[208.6875, 190.1875, 250.8125]
[227.6875, 205.625, 253.125]
[227.6875, 205.625, 253.125]
[224.125, 214.875, 244.5625]
[193.4375, 212.0, 226.6875]
[193.4375, 212.0, 226.6875]
[193.4375, 212.0, 226.6875]
[155.9375, 196.8125, 208.9375]
[155.9375, 196.8125, 208.9375]
[129.8125, 175.8125, 191.0]
[129.8125, 175.8125, 191.0]
[117.4375, 153.9375, 173.3125]
[117.4375, 153.9375, 173.3125]
[102.3125, 132.125, 149.1875]
[79.75, 110.9375, 115.4375]
[79.75, 110.9375, 115.4375]
[57.1875, 83.375, 94.25]
[57.1875, 83.375, 94.25]
[30.375, 56.6875, 80.0]
[30.375, 56.6875, 80.0]
[19.0, 41.5, 66.125]
[19.0, 41.5, 66.125]
[23.0, 35.125, 46.875]
[23.0, 35.125, 46.875]
[26.0625, 28.0625, 34.125]
[26.0625, 28.0625, 34.125]
[18.0, 17.375, 22.8125]
[18.0, 17.375, 22.8125]
[6.0625, 5.5, 12.1875]
[6.0625, 5.5, 12.1875]
[5.4375, -0.4375, -2.5]
[5.4375, -0.4375, -2.5]
[3.375, 1.375, -19.125]
[3.375, 1.375, -19.125]
[-0.375, 5.3125, -26.0]
[-0.375, 5.3125, -26.0]
[15.3125, 17.8125, -25.3125]
[15.3125, 17.8125, -25.3125]
[22.875, 38.5, -34.375]
[22.875, 38.5, -34.375]
[22.875, 38.5, -34.375]
[29.25, 61.5, -46.4375]
[29.25, 61.5, -46.4375]
[31.625, 73.3125, -49.5625]
[31.625, 73.3125, -49.5625]
[31.625, 73.3125, -49.5625]
[41.625, 74.6875, -55.75]
[41.625, 74.6875, -55.75]
[67.5625, 81.9375, -57.125]
[67.5625, 81.9375, -57.125]
[90.0, 81.0, -73.5]
[90.0, 81.0, -73.5]
[100.0625, 68.6875, -84.0]
[100.0625, 68.6875, -84.0]
[118.1875, 60.875, -77.9375]
[118.1875, 60.875, -77.9375]
[146.125, 64.75, -64.875]
[146.125, 64.75, -64.875]
[178.6875, 87.75, -56.625]
[178.6875, 87.75, -56.625]
[179.5625, 90.5, -60.25]
[179.5625, 90.5, -60.25]
[194.3125, 100.125, -69.5625]
[205.25, 94.5625, -95.375]
[205.25, 94.5625, -95.375]
[205.25, 94.5625, -95.375]
[182.1875, 79.1875, -136.9375]
[182.1875, 79.1875, -136.9375]
[119.625, 41.125, -186.5]
[30.125, -8.625, -198.375]
[30.125, -8.625, -198.375]
[-29.625, -11.6875, -155.4375]
[-29.625, -11.6875, -155.4375]
[-29.625, -11.6875, -155.4375]
[33.5625, 14.25, -60.5]
[33.5625, 14.25, -60.5]
[61.4375, 10.1875, 38.125]
[1.8125, -10.3125, 85.75]
[1.8125, -10.3125, 85.75]
[-23.0, -41.8125, 82.375]
[-23.0, -41.8125, 82.375]
[-23.0, -41.8125, 82.375]
[-50.75, -73.625, 56.875]
[-58.4375, -87.9375, 14.1875]
[-58.4375, -87.9375, 14.1875]
[-72.25, -103.375, -55.5]
[-72.25, -103.375, -55.5]
[-72.25, -103.375, -55.5]
[-105.125, -82.6875, -89.875]
[-80.75, -42.6875, -129.1875]
[-80.75, -42.6875, -129.1875]
[-44.125, -3.1875, -149.0]
[-44.125, -3.1875, -149.0]
[-44.125, -3.1875, -149.0]
[-31.6875, 13.75, -158.5625]
[-31.6875, 13.75, -158.5625]
[-22.1875, 5.125, -143.5625]
[-11.5, -18.25, -107.375]
[-11.5, -18.25, -107.375]
[-11.5, -18.25, -107.375]
[-12.5, -93.4375, -22.75]
[-12.5, -93.4375, -22.75]
[-30.8125, -135.375, 3.25]
[-30.8125, -135.375, 3.25]
[-30.8125, -135.375, 3.25]
[-30.8125, -135.375, 3.25]
[-87.25, -208.125, 8.125]
[-87.25, -208.125, 8.125]
[-108.5, -227.0, 1.5625]
[-108.5, -227.0, 1.5625]
[-108.5, -227.0, 1.5625]
[-108.5, -227.0, 1.5625]
[-148.8125, -257.6875, -34.375]
[-148.8125, -257.6875, -34.375]
[-151.5, -267.375, -57.875]
[-151.5, -267.375, -57.875]
[-151.5, -267.375, -57.875]
[-151.5, -267.375, -57.875]
[-178.3125, -290.5625, -135.4375]
[-178.3125, -290.5625, -135.4375]
[-164.5, -294.75, -169.9375]
[-164.5, -294.75, -169.9375]
[-164.5, -294.75, -169.9375]
[-164.5, -294.75, -169.9375]
[-55.3125, -249.0625, -158.5]
[-55.3125, -249.0625, -158.5]
[-26.5, -231.5, -148.8125]
[-26.5, -231.5, -148.8125]
[-26.5, -231.5, -148.8125]
[-0.375, -182.25, -113.5]
[-0.375, -182.25, -113.5]
[-0.375, -182.25, -113.5]
[-9.3125, -150.4375, -74.625]
[-9.3125, -150.4375, -74.625]
[-9.3125, -150.4375, -74.625]
[-35.1875, -88.4375, -24.5]
[-35.1875, -88.4375, -24.5]
[-35.1875, -88.4375, -24.5]
[-13.875, -61.5, -5.875]
[-13.875, -61.5, -5.875]
[-13.875, -61.5, -5.875]
[-13.875, -61.5, -5.875]
[-13.875, -61.5, -5.875]
[-14.0625, -17.375, 13.875]
[-14.0625, -17.375, 13.875]
[-14.0625, -17.375, 13.875]
[-14.0625, -17.375, 13.875]
[-14.0625, -17.375, 13.875]
[0.9375, 6.375, 9.125]
[0.9375, 6.375, 9.125]
[0.1875, 2.5625, 0.0]
[0.1875, 2.5625, 0.0]
[0.1875, 2.5625, 0.0]
[-3.0625, -4.4375, -0.375]
[-3.0625, -4.4375, -0.375]
[4.9375, -5.9375, 3.875]
[4.9375, -5.9375, 3.875]
[4.9375, -5.9375, 3.875]
[4.9375, -5.9375, 3.875]
[14.3125, -7.0, 2.5625]
[13.75, -3.625, 0.3125]
[13.75, -3.625, 0.3125]
[13.75, -3.625, 0.3125]
[13.75, -3.625, 0.3125]
[13.75, -3.625, 0.3125]
[3.6875, -4.9375, 0.625]
[3.6875, -4.9375, 0.625]
[4.75, -6.9375, -1.75]
[4.75, -6.9375, -1.75]
[4.75, -6.9375, -1.75]
[14.125, -10.375, -2.1875]
[14.125, -10.375, -2.1875]
[14.125, -10.375, -2.1875]
[15.25, -13.6875, -0.5]
[15.25, -13.6875, -0.5]
[15.25, -13.6875, -0.5]
[15.25, -13.6875, -0.5]
[31.9375, -15.0625, -1.1875]
[31.9375, -15.0625, -1.1875]
[31.9375, -15.0625, -1.1875]
[32.6875, -21.125, 2.3125]
[32.6875, -21.125, 2.3125]
[32.6875, -21.125, 2.3125]
[58.4375, -5.125, 35.5]
[58.4375, -5.125, 35.5]
[58.4375, -5.125, 35.5]
[58.4375, -5.125, 35.5]
[58.4375, -5.125, 35.5]
[58.4375, -5.125, 35.5]
[140.4375, 106.0, 156.75]
[140.4375, 106.0, 156.75]
[152.5, 141.1875, 205.875]
[152.5, 141.1875, 205.875]
[152.5, 141.1875, 205.875]
[152.5, 141.1875, 205.875]
[206.9375, 194.625, 248.125]
[227.5625, 206.5, 239.9375]
[227.5625, 206.5, 239.9375]
[227.5625, 206.5, 239.9375]
[227.5625, 206.5, 239.9375]
[216.9375, 210.0625, 212.5625]
[216.9375, 210.0625, 212.5625]
[179.25, 208.0, 190.6875]
[179.25, 208.0, 190.6875]
[179.25, 208.0, 190.6875]
[179.25, 208.0, 190.6875]
[179.25, 208.0, 190.6875]
[134.625, 168.4375, 149.75]
