[-38.75, 25.1875, -2.875]
[-32.4375, 21.375, -0.1875]
[-32.4375, 21.375, -0.1875]
[-22.375, 16.625, 1.5]
[-22.375, 16.625, 1.5]
[-16.25, 16.625, 2.0]
[-16.25, 16.625, 2.0]
[-16.25, 16.625, 2.0]
[-26.5625, 15.5, -2.1875]
[-26.5625, 15.5, -2.1875]
[-26.5625, 15.5, -2.1875]
[-17.5, 10.9375, -1.4375]
[-17.5, 10.9375, -1.4375]
[-12.0, 8.8125, -0.625]
[-4.375, 5.25, -0.625]
[-4.375, 5.25, -0.625]
[-4.375, 5.25, -0.625]
[5.75, -2.25, 0.375]
[5.75, -2.25, 0.375]
[17.125, -9.625, 0.3125]
[29.375, -17.125, -1.3125]
[29.375, -17.125, -1.3125]
[38.75, -25.0, -3.0]
[38.75, -25.0, -3.0]
[38.75, -25.0, -3.0]
[48.375, -28.875, -3.75]
[57.3125, -31.9375, -3.875]
[57.3125, -31.9375, -3.875]
[64.0625, -31.3125, -4.1875]
[64.0625, -31.3125, -4.1875]
[72.1875, -18.9375, -1.625]
[72.1875, -18.9375, -1.625]
[72.1875, -18.9375, -1.625]
[86.1875, 6.1875, 6.0625]
[86.1875, 6.1875, 6.0625]
[97.125, 41.375, 17.5]
[97.125, 41.375, 17.5]
[131.625, 76.0625, 38.875]
[167.375, 111.375, 64.625]
[191.6875, 137.1875, 77.4375]
[191.6875, 137.1875, 77.4375]
[191.6875, 137.1875, 77.4375]
[198.75, 153.3125, 81.4375]
[198.75, 153.3125, 81.4375]
[198.75, 153.3125, 81.4375]
[208.0, 158.1875, 84.4375]
[216.1875, 156.75, 86.875]
[216.1875, 156.75, 86.875]
[216.1875, 156.75, 86.875]
[216.1875, 156.75, 86.875]
[228.8125, 159.5, 61.625]
[212.9375, 145.125, 40.8125]
[212.9375, 145.125, 40.8125]
[212.9375, 145.125, 40.8125]
[172.3125, 120.0, 25.75]
[172.3125, 120.0, 25.75]
[172.3125, 120.0, 25.75]
[123.0625, 92.625, 20.4375]
[123.0625, 92.625, 20.4375]
[101.125, 72.125, 9.6875]
[101.125, 72.125, 9.6875]
[92.5625, 48.4375, 0.125]
[92.5625, 48.4375, 0.125]
[92.5625, 48.4375, 0.125]
[92.5625, 48.4375, 0.125]
[63.8125, 9.25, -21.3125]
[63.8125, 9.25, -21.3125]
[57.75, 4.3125, -19.4375]
[57.75, 4.3125, -19.4375]
[57.75, 4.3125, -19.4375]
[48.875, -6.875, -7.6875]
[48.875, -6.875, -7.6875]
[21.0625, -19.6875, -11.1875]
[21.0625, -19.6875, -11.1875]
[21.0625, -19.6875, -11.1875]
[11.0625, -21.0625, -14.9375]
[-0.25, -15.0625, -20.9375]
[-0.25, -15.0625, -20.9375]
[-18.125, -2.875, -31.625]
[-18.125, -2.875, -31.625]
[-50.75, 15.3125, -49.9375]
