(-1, -3, -3, 2, 1, 4, 46, 2, 0)
(1, 4, -3, -9, 0, 1, 22, 2, 0)
(1, 4, -3, -9, 0, 1, 22, 2, 0)
(-3, -3, -3, -2, -4, -5, 6, -4, 0)
(-3, -3, -3, -2, -4, -5, 6, -4, 0)
(-4, -7, -3, -3, -5, -17, -72, -2, 0)
(0, 0, 1, 2, -1, -2, 15, 0, 0)
(2, 1, 3, 0, -3, -1, -27, 0, 0)
(2, 1, 3, 0, -3, -1, -27, 0, 0)
(-6, -2, -2, -1, -2, -6, 13, -5, 0)
(-6, -2, -2, -1, -2, -6, 13, -5, 0)
(0, 5, 0, 2, 1, 3, 32, 0, 0)
(-1, 0, 0, -1, -1, -6, -16, 0, 0)
(2, 0, 0, -1, 2, 4, 56, 1, 0)
(0, 0, 3, 1, 3, 22, 0, 10, 0)
(0, -1, -1, 0, 2, -7, -58, -1, 0)
(0, -1, -1, 0, 2, -7, -58, -1, 0)
(3, 4, 0, -1, 1, 14, 14, 6, 0)
(-4, -2, -4, -7, -1, -7, -28, -4, 0)
(3, -5, -2, -1, -1, -4, 7, -5, 0)
(-1, -2, -2, -1, 0, -5, -46, -1, 0)
(0, 2, 0, 0, 0, 6, 20, 2, 0)
(-13, 0, -2, 0, 4, 9, -1, 1, 0)
(-13, 0, -2, 0, 4, 9, -1, 1, 0)
(1, 0, 1, 2, -1, 0, -2, 2, 0)
(2, -1, -1, -2, -5, -9, -46, -5, 0)
(-2, 6, 1, 1, 3, 5, 34, -2, 0)
(0, -3, -2, -2, -6, -6, 16, -3, 0)
(0, -3, -2, -2, -6, -6, 16, -3, 0)
(1, -2, -3, 1, 3, -4, 4, -2, 0)
(0, 2, -1, -2, 1, 4, 22, 2, 0)
(-1, -4, 1, -5, 0, 6, 20, 2, 0)
(-1, -4, 1, -5, 0, 6, 20, 2, 0)
(3, 1, 3, 10, 1, -2, 2, -1, 0)
(-2, 1, -3, 2, -1, 0, 17, 1, 0)
(0, 3, -1, -5, -6, -5, 6, -2, 0)
(-1, -1, -3, -4, -5, -6, 4, 0, 0)
(-4, -4, -2, -3, -1, -2, -3, -3, 0)
(3, 2, -2, -8, -1, 0, 4, 0, 0)
(2, -2, 1, 4, -3, -3, -2, 0, 0)
(1, 1, 2, 5, 6, 5, 22, -1, 0)
(-3, 1, -1, 6, 2, 0, -5, -5, 0)
(0, -3, -4, -6, -6, -8, -26, -3, 0)
(-3, -2, -3, -5, 8, 14, 4, 0, 0)
(-6, 0, -2, 10, 2, -2, -7, -4, 0)
(8, 2, 0, 3, -12, -13, -2, 1, 0)
(8, 2, 0, 3, -12, -13, -2, 1, 0)
(7, 6, 1, 2, 4, 1, 7, 5, 0)
(-1, -2, 1, 0, -2, -4, 3, -1, 0)
(-6, -7, -5, -22, 4, 5, -1, -5, 0)
(-6, -7, -5, -22, 4, 5, -1, -5, 0)
(4, 5, 4, 8, -2, -5, 6, 5, 0)
(-10, -4, -5, 0, -11, -16, -43, -4, 0)
(-10, -4, -5, 0, -11, -16, -43, -4, 0)
(-4, -1, 0, -8, -8, -20, -33, -7, 0)
(-4, -1, 0, -8, -8, -20, -33, -7, 0)
(-7, -4, -4, -3, -1, 4, -1, -4, 0)
(-7, -4, -4, -3, -1, 4, -1, -4, 0)
(3, 0, 2, 10, 8, -1, 5, 0, 0)
(3, 0, 2, 10, 8, -1, 5, 0, 0)
(6, 0, -8, -9, -25, -17, -17, -2, 0)
(4, 8, 2, -1, 9, 5, -3, -2, 0)
(-4, -5, 4, 7, 12, -2, 10, 1, 0)
(2, 13, 7, -4, -6, -4, -2, -1, 0)
(0, 1, 7, -8, -10, -9, -8, -1, 0)
(2, 7, 4, -2, -2, -5, -7, 0, 0)
(-3, 2, 7, 13, 7, 7, -2, 2, 0)
(-11, -15, -7, 4, 7, 11, 11, -1, 0)
(-11, -15, -7, 4, 7, 11, 11, -1, 0)
(3, 7, -1, 4, 10, 10, 14, 4, 0)
(3, 7, -1, 4, 10, 10, 14, 4, 0)
(3, 7, -1, 4, 10, 10, 14, 4, 0)
(-6, -15, -10, -4, -10, -9, -4, -5, 0)
(9, 13, 7, 2, -4, -6, -1, 1, 0)
(-3, -9, 2, 1, 15, 15, 10, 1, 0)
(3, -1, 5, -2, -4, -4, -3, 1, 0)
(-9, -16, -1, -1, -9, -6, -6, -4, 0)
(-9, -16, -1, -1, -9, -6, -6, -4, 0)
(3, 3, -4, 2, 5, 7, 4, 4, 0)
(1, 13, 8, -5, -3, -5, -6, -5, 0)
(-10, -12, -8, -3, -1, -4, -5, -6, 0)
(1, 13, 0, -3, -7, -5, -4, 0, 0)
(2, 17, 6, -13, -11, -9, -8, -4, 0)
(2, 17, 6, -13, -11, -9, -8, -4, 0)
(0, 7, 13, 13, 19, 5, 6, 2, 0)
(0, 7, 13, 13, 19, 5, 6, 2, 0)
(-8, -11, -8, -8, 2, 0, 2, -2, 0)
(-1, -14, 3, 0, -10, -4, -7, -3, 0)
(-9, -14, -10, -6, -4, 2, 1, -2, 0)
(-9, -14, -10, -6, -4, 2, 1, -2, 0)
(-8, 12, 20, -12, -13, -12, -6, -8, 0)
(4, 1, -8, 4, 4, 5, 4, 3, 0)
(19, 19, -3, -7, -3, -1, -3, -3, 0)
(-12, -12, -2, -7, -7, -4, -4, -7, 0)
(-9, 40, -32, -8, -5, -5, -6, -4, 0)
(-9, 40, -32, -8, -5, -5, -6, -4, 0)
(28, -6, 17, 7, 2, -1, 2, 16, 0)
(28, -6, 17, 7, 2, -1, 2, 16, 0)
(-65, -16, -7, -6, 1, 2, -2, 5, 0)
(43, 0, -3, -3, -6, -6, -5, -17, 0)
(43, 0, -3, -3, -6, -6, -5, -17, 0)
(-33, -6, 2, 6, 7, -2, -6, 8, 0)
(-33, -6, 2, 6, 7, -2, -6, 8, 0)
(-23, 5, 24, 11, 3, -3, -2, 23, 0)
(-59, -1, 6, 3, 8, 48, 58, -34, 0)
(9, 7, -2, -4, -8, -6, -11, -5, 0)
(13, -9, 9, 4, 4, 5, 10, 1, 0)
(-7, -16, -20, 0, 4, 5, 10, 3, 0)
(1, -12, -2, -3, 0, -5, -3, 5, 0)
(1, -12, -2, -3, 0, -5, -3, 5, 0)
(-12, -7, 2, 4, 3, 6, 1, -4, 0)
(4, -6, -5, -7, -7, -1, 0, 2, 0)
(-3, 11, 2, -2, 3, -7, -4, 4, 0)
(-13, 1, 8, 4, 1, 0, 8, -2, 0)
(4, 7, 2, -3, -3, -5, -5, 2, 0)
(5, 2, -11, -2, -2, -1, 1, 3, 0)
(-8, -7, -8, -6, -3, 1, 1, 4, 0)
(-4, -4, 0, 2, 1, -2, -3, -3, 0)
(-4, -4, 0, 2, 1, -2, -3, -3, 0)
(-1, 13, 2, 3, 1, 3, 4, -10, 0)
(-7, 4, 6, 1, 0, -2, -4, -4, 0)
(-7, 4, 6, 1, 0, -2, -4, -4, 0)
(8, 1, 3, 2, 0, -5, -4, 4, 0)
(-1, -4, -2, 1, 2, 5, 2, 0, 0)
(-1, -4, -2, 1, 2, 5, 2, 0, 0)
(-3, -10, -9, -7, -5, -6, -6, 3, 0)
(-7, -13, -4, 0, -2, -1, 4, 0, 0)
(6, 2, 5, 4, 2, 10, -11, -17, 0)
(-5, -1, 0, -8, -8, -7, -21, -7, 0)
(2, -7, 1, 5, 7, 10, 18, 9, 0)
(2, -7, 1, 5, 7, 10, 18, 9, 0)
(-15, -2, -4, 2, 0, -14, -36, 3, 0)
(14, 2, 1, 0, 7, 51, 59, 13, 0)
(14, 2, 1, 0, 7, 51, 59, 13, 0)
(-5, 7, 3, 12, 23, 9, -3, 7, 0)
(10, 8, -4, -2, -8, -30, -38, 2, 0)
(10, 8, -4, -2, -8, -30, -38, 2, 0)
(0, 14, 1, -1, -2, -14, -47, -1, 0)
(6, 5, 3, 4, 8, 40, 22, 8, 0)
(6, 5, 3, 4, 8, 40, 22, 8, 0)
