(3, 1, 1, -2, 1, 4, -17, 5, 0)
(-1, -1, 1, 2, -2, -2, -45, 0, 0)
(-1, -4, -1, 0, 1, 8, 19, 1, 0)
(-1, -4, -1, 0, 1, 8, 19, 1, 0)
(-5, -4, 2, -3, 0, 5, 59, -2, 0)
(0, 1, 2, 2, -4, -1, 7, -3, 0)
(-1, 0, -3, 4, -1, -3, -17, -1, 0)
(-1, 0, -3, 4, -1, -3, -17, -1, 0)
(-2, -3, 0, 1, 1, -9, -82, -1, 0)
(0, 0, -2, -1, 1, 12, 42, 6, 0)
(2, 2, 2, 0, -1, 6, -16, 4, 0)
(-2, -2, 1, -5, -4, -7, 21, -3, 0)
(-4, -5, -2, 4, 2, 13, 30, -3, 0)
(-4, -5, -2, 4, 2, 13, 30, -3, 0)
(-4, -3, 0, -2, -1, -11, -14, -3, 0)
(-3, -5, -1, -2, 1, 5, 12, 0, 0)
(1, 6, 0, -4, -6, -15, -47, -3, 0)
(0, -7, 1, 1, -1, 11, 24, 3, 0)
(-3, -1, -1, 1, 2, 0, -26, 0, 0)
(-3, -1, -1, 1, 2, 0, -26, 0, 0)
(2, 4, 1, -4, -3, -15, -64, 0, 0)
(5, 4, 1, 0, 4, 27, 85, 9, 0)
(0, 2, -1, -2, 3, 6, 26, 2, 0)
(0, 2, -1, -2, 3, 6, 26, 2, 0)
(0, -1, -3, 3, 6, 10, 29, 0, 0)
(0, -1, -3, 3, 6, 10, 29, 0, 0)
(-3, -3, 2, -1, -3, 2, 40, 0, 0)
(-6, -8, -3, -2, 0, -3, -6, -2, 0)
(0, -1, -2, -11, -12, -5, 20, -1, 0)
(1, 11, -1, -4, -20, -7, -17, -3, 0)
(-4, -8, -1, -5, -24, -6, 16, -3, 0)
(-4, -8, -1, -5, -24, -6, 16, -3, 0)
(1, -5, -4, 0, 5, 5, 8, -2, 0)
(6, -7, 2, -7, 5, 8, 9, 2, 0)
(-7, 19, 0, 1, -6, -4, -1, -4, 0)
(-7, -15, -2, 10, -14, -4, -6, -7, 0)
(0, -1, -2, 0, 6, 0, -8, -4, 0)
(0, -1, -2, 0, 6, 0, -8, -4, 0)
(0, -1, -2, 0, 6, 0, -8, -4, 0)
(-2, -3, -4, 5, 6, 2, 5, 0, 0)
(1, -6, -2, 26, 39, 10, 5, 3, 0)
(1, -6, -2, 26, 39, 10, 5, 3, 0)
(-2, -2, -2, -19, -17, -7, -4, -1, 0)
(-2, -2, -2, -19, -17, -7, -4, -1, 0)
(3, 7, 3, -4, 4, 0, -1, -1, 0)
(3, 7, 3, -4, 4, 0, -1, -1, 0)
(3, -4, -8, 7, 12, 6, 13, 5, 0)
(3, -4, -8, 7, 12, 6, 13, 5, 0)
(0, 6, -2, -8, -7, 1, -2, 0, 0)
(2, 6, 1, 8, -6, 4, 6, 0, 0)
(8, 24, 8, 4, 0, 17, 19, 8, 0)
(8, 24, 8, 4, 0, 17, 19, 8, 0)
(2, -16, -14, -10, 2, 4, -6, 14, 0)
(2, -16, -14, -10, 2, 4, -6, 14, 0)
(34, -11, -8, -18, -5, -6, 27, 7, 0)
(34, -11, -8, -18, -5, -6, 27, 7, 0)
(-58, -1, -6, -13, -6, 4, -15, 7, 0)
(-11, -3, -11, -5, -14, -22, -18, -20, 0)
(23, -6, 2, 12, 2, 2, 1, 1, 0)
(-3, -9, 6, 11, 2, -5, 5, 2, 0)
(-1, 12, 6, 8, 6, -1, -9, 4, 0)
(-14, -4, 9, -2, -4, -10, -18, -10, 0)
(7, 14, 1, 6, 4, -1, -3, 6, 0)
(13, 10, -1, -8, -3, -1, -5, -2, 0)
(-40, 1, 2, -6, -6, -7, -6, -6, 0)
(-15, -4, 5, 3, 0, -7, -7, -1, 0)
(-3, -6, 5, 17, -2, -2, -2, 0, 0)
(6, 1, 3, -15, -8, 1, 0, -2, 0)
(14, -6, -4, 3, 21, 4, 2, 0, 0)
(-9, -8, -1, 17, 5, 5, 2, 5, 0)
(14, 5, 4, -17, -10, -8, -7, 2, 0)
(-12, -10, 4, -1, 2, 3, -2, -5, 0)
(0, -13, 2, 1, 11, 7, 4, 1, 0)
(-2, 1, -3, 0, -7, -3, -4, -3, 0)
