(-4, 2, 1, -3, -4, -6, -20, -3, 0)
(-7, -8, -7, -9, -6, -30, -52, -8, 0)
(-7, -8, -7, -9, -6, -30, -52, -8, 0)
(0, -14, 0, -1, -2, -1, 1, -4, 0)
(0, -14, 0, -1, -2, -1, 1, -4, 0)
(3, 4, -3, 0, 0, 12, 95, 2, 0)
(-1, 6, -4, 0, 6, 19, 7, 8, 0)
(1, 6, 2, 2, 4, 25, 119, 2, 0)
(1, 6, 2, 2, 4, 25, 119, 2, 0)
(1, 6, 2, 2, 4, 25, 119, 2, 0)
(-2, -1, -2, -4, -9, -32, -72, -8, 0)
(1, 4, 0, -3, 5, 30, 20, 13, 0)
(1, -1, 1, 0, 6, 9, -8, 5, 0)
(6, 4, -2, -1, 4, 28, 61, 6, 0)
(6, 4, -2, -1, 4, 28, 61, 6, 0)
(4, -4, 0, -1, 1, -3, -24, -2, 0)
(-5, -2, -3, 6, -2, 10, 44, 1, 0)
(3, -9, -5, 0, -2, 4, 37, 0, 0)
(-2, -5, 0, -2, 3, 12, 56, 4, 0)
(-3, 2, 1, -1, -4, -8, -19, -6, 0)
(-1, -2, 0, -2, -6, -15, -43, -5, 0)
(-6, -1, 0, 1, 1, 2, 56, -1, 0)
(2, 7, -5, 1, 0, -1, -29, 2, 0)
(6, 5, 1, 0, 2, 8, -10, 3, 0)
(-10, -9, -1, -3, 0, 1, 29, -2, 0)
(-1, -4, -1, -11, -10, -15, -82, -5, 0)
(0, -2, -1, 2, 0, 0, -6, 0, 0)
(-2, 0, -6, -7, -6, -30, 1, -11, 0)
(-2, 0, -6, -7, -6, -30, 1, -11, 0)
(1, -1, -2, 1, 1, -3, 26, -2, 0)
(-2, -2, 0, 2, 4, 15, 67, 2, 0)
(3, 2, 0, 7, 3, 6, -32, 1, 0)
(-1, 1, 1, -1, 1, 14, 10, -1, 0)
(0, -1, 2, 7, 3, 9, -2, 1, 0)
(0, -1, 2, 7, 3, 9, -2, 1, 0)
(-1, -6, -3, 1, 1, 1, -6, -1, 0)
(1, 2, -1, -4, 0, 1, 30, -2, 0)
(0, 2, -1, -1, -4, -10, -21, -2, 0)
(3, 2, -1, 1, 7, 32, 79, 6, 0)
(3, 2, -1, 1, 7, 32, 79, 6, 0)
(3, -1, 0, 0, -2, 2, 0, 1, 0)
(0, 1, 0, -3, -5, -9, -18, -5, 0)
(0, 1, 0, -3, -5, -9, -18, -5, 0)
(-1, -1, -2, -3, -3, -10, -60, -3, 0)
(0, 0, -1, 1, 4, 6, 38, 2, 0)
(-2, -3, -3, 2, -1, -5, -3, -1, 0)
(-2, -3, -4, -3, 1, 1, -4, 1, 0)
(0, -1, 2, 2, -2, -2, -1, -1, 0)
(0, -1, 2, 2, -2, -2, -1, -1, 0)
(-3, -3, -2, -4, -1, -1, 13, 2, 0)
(0, 1, 2, -2, -16, -7, 4, -2, 0)
(0, -8, -1, 20, 18, 7, 5, 1, 0)
(0, -8, -1, 20, 18, 7, 5, 1, 0)
(-4, 1, 2, 14, 40, 8, 2, -1, 0)
(-4, 1, 2, 14, 40, 8, 2, -1, 0)
(1, 0, 1, -25, -28, -7, -4, -3, 0)
(-3, -1, -6, 8, -3, 0, 5, -3, 0)
(5, 4, 2, 16, -12, -1, 1, 2, 0)
(5, 4, 2, 16, -12, -1, 1, 2, 0)
(-5, -7, 5, -20, -17, -8, 1, -1, 0)
(-5, -7, 5, -20, -17, -8, 1, -1, 0)
(0, 4, -15, -41, -22, 2, 1, 1, 0)
(1, 7, 10, 32, 17, -2, -1, 0, 0)
(1, -4, -3, -15, -9, -6, -2, -2, 0)
(1, -4, -3, -15, -9, -6, -2, -2, 0)
(-3, 0, -5, 3, -3, -3, -1, 1, 0)
(-3, 0, -5, 3, -3, -3, -1, 1, 0)
(-3, 0, -5, 3, -3, -3, -1, 1, 0)
(1, 1, -17, -5, -3, -2, -2, -1, 0)
(2, -2, -7, 8, 6, -2, -2, 0, 0)
(2, -2, -7, 8, 6, -2, -2, 0, 0)
(-1, -3, 8, 4, 4, -7, -22, -2, 0)
(-1, -3, 8, 4, 4, -7, -22, -2, 0)
(-3, -3, 11, -2, -2, 2, 2, 0, 0)
(-2, -14, -4, -4, -6, -10, -5, -2, 0)
(-2, -14, -4, -4, -6, -10, -5, -2, 0)
(-2, -14, -4, -4, -6, -10, -5, -2, 0)
(-2, -4, -15, -3, -5, 6, 29, -1, 0)
(-2, -4, -15, -3, -5, 6, 29, -1, 0)
(-2, 2, -15, -9, -4, -4, -13, -3, 0)
(-1, -8, -3, -16, -9, -6, -8, -2, 0)
(0, -1, 10, 6, 2, 3, 2, -1, 0)
(-3, -11, -25, -21, -2, 0, -3, -1, 0)
(-2, -10, -34, -11, 16, 2, 0, 2, 0)
(-2, -10, -34, -11, 16, 2, 0, 2, 0)
(-1, -2, -5, -8, -8, -1, 1, 0, 0)
(-2, -14, -37, -32, -24, -5, -2, -1, 0)
(2, -6, 8, 26, 39, 5, -3, 0, 0)
(-2, 3, 0, -3, -18, -9, -5, -3, 0)
(-3, 3, 5, -6, -22, -5, -5, -3, 0)
(-3, 3, 5, -6, -22, -5, -5, -3, 0)
(2, 10, -2, -3, 14, -7, -2, 1, 0)
(-2, -5, -11, -16, -1, 0, 4, -2, 0)
(-2, 0, -1, 6, -12, 1, 6, -2, 0)
(-2, 0, -1, 6, -12, 1, 6, -2, 0)
(0, 9, -22, 5, -6, 2, 0, 0, 0)
