[-55.4375, 23.3125, -32.5625]
[-48.9375, 32.0625, -4.3125]
[-48.9375, 32.0625, -4.3125]
[-48.9375, 32.0625, -4.3125]
[-35.6875, 34.625, 1.5]
[-35.6875, 34.625, 1.5]
[-35.6875, 34.625, 1.5]
[-27.1875, 24.0, 7.4375]
[-14.375, 16.125, 15.3125]
[-14.375, 16.125, 15.3125]
[-11.125, 16.1875, 19.3125]
[-11.125, 16.1875, 19.3125]
[-6.1875, 16.125, 20.5]
[2.9375, 14.0625, 17.375]
[2.9375, 14.0625, 17.375]
[2.9375, 14.0625, 17.375]
[0.5, 5.9375, 9.6875]
[0.5, 5.9375, 9.6875]
[-1.3125, 1.3125, 2.625]
[-3.9375, -2.0, -1.3125]
[-3.9375, -2.0, -1.3125]
[-3.9375, -2.0, -1.3125]
[-0.5, -2.9375, -1.8125]
[-0.5, -2.9375, -1.8125]
[4.9375, -1.4375, -1.0625]
[6.5, -0.9375, -1.6875]
[6.5, -0.9375, -1.6875]
[7.125, -0.5625, -2.8125]
[7.125, -0.5625, -2.8125]
[6.5, -1.5625, -4.4375]
[6.5, -1.5625, -4.4375]
[4.8125, -3.4375, -6.6875]
[4.8125, -3.4375, -6.6875]
[4.8125, -3.4375, -6.6875]
[4.8125, -3.4375, -6.6875]
[12.0, -9.8125, -6.25]
[17.375, -10.875, -4.625]
[17.375, -10.875, -4.625]
[19.4375, -11.8125, -4.8125]
[19.4375, -11.8125, -4.8125]
[19.4375, -11.8125, -4.8125]
[16.9375, -12.25, -5.5]
[16.9375, -12.25, -5.5]
[16.9375, -12.25, -5.5]
[16.9375, -12.25, -5.5]
[16.9375, -12.25, -5.5]
[19.0, -6.8125, -3.3125]
[22.25, -5.0, 2.875]
[22.25, -5.0, 2.875]
[22.25, -5.0, 2.875]
[24.875, -3.1875, 13.375]
[24.875, -3.1875, 13.375]
[57.9375, 2.1875, 25.4375]
[57.9375, 2.1875, 25.4375]
[91.625, 0.9375, 44.75]
[99.5625, -3.5, 68.9375]
[99.5625, -3.5, 68.9375]
[104.75, -0.6875, 86.4375]
[104.75, -0.6875, 86.4375]
[110.6875, 8.0, 99.0625]
[110.6875, 8.0, 99.0625]
[113.75, 15.0, 106.4375]
[113.75, 15.0, 106.4375]
[104.875, 16.4375, 112.8125]
[90.5625, 14.5625, 118.8125]
[90.5625, 14.5625, 118.8125]
[90.5625, 14.5625, 118.8125]
[85.6875, 17.5, 125.25]
[85.6875, 17.5, 125.25]
[90.625, 21.6875, 129.5]
[83.125, 19.75, 131.1875]
[83.125, 19.75, 131.1875]
[83.125, 19.75, 131.1875]
[66.4375, 15.5, 131.6875]
[66.4375, 15.5, 131.6875]
[58.8125, 13.125, 130.0]
[63.875, 9.1875, 127.0625]
[63.875, 9.1875, 127.0625]
[63.875, 9.1875, 127.0625]
[60.5, 3.5, 119.75]
[60.5, 3.5, 119.75]
[60.5, 3.5, 119.75]
[53.6875, -5.125, 117.5625]
[42.6875, -6.6875, 115.625]
[42.6875, -6.6875, 115.625]
[38.875, -1.8125, 111.0]
[38.875, -1.8125, 111.0]
[33.8125, 1.0625, 106.1875]
[30.3125, 0.0, 104.5625]
[30.3125, 0.0, 104.5625]
[30.3125, 0.0, 104.5625]
[18.0625, -0.4375, 103.0]
[18.0625, -0.4375, 103.0]
[18.0625, -0.4375, 103.0]
[6.6875, 4.75, 95.3125]
[2.6875, 11.625, 77.375]
[2.6875, 11.625, 77.375]
[-2.9375, 10.4375, 55.75]
[-2.9375, 10.4375, 55.75]
[-16.75, 3.875, 37.125]
[-16.75, 3.875, 37.125]
[-30.5625, -1.3125, 20.4375]
[-30.5625, -1.3125, 20.4375]
[-33.5, -2.9375, 6.875]
[-33.5, -2.9375, 6.875]
[-29.625, -5.0625, -4.4375]
[-29.625, -5.0625, -4.4375]
[-26.75, -7.6875, -12.375]
[-28.0, -8.75, -18.4375]
[-28.0, -8.75, -18.4375]
[-28.0, -8.75, -18.4375]
[-26.375, -10.125, -22.8125]
[-26.375, -10.125, -22.8125]
[-23.9375, -9.0, -24.625]
[-15.5625, -6.6875, -21.5625]
[-15.5625, -6.6875, -21.5625]
[-15.5625, -6.6875, -21.5625]
[-9.1875, -6.9375, -17.8125]
[-9.1875, -6.9375, -17.8125]
[-7.5625, -6.9375, -12.6875]
[-7.5625, -6.9375, -12.6875]
[-4.4375, -4.3125, -7.75]
[-4.4375, -4.3125, -7.75]
[-1.6875, -3.25, -3.0625]
[-1.6875, -3.25, -3.0625]
[-1.6875, -3.25, -3.0625]
[-1.875, -0.5, 0.625]
[-1.875, -0.5, 0.625]
[-1.875, -0.5, 0.625]
[-3.375, 1.125, 1.125]
[-3.375, 1.125, 1.125]
[-2.0, 1.4375, 2.1875]
[-2.75, 0.25, 1.5625]
[-2.75, 0.25, 1.5625]
[-2.75, 0.25, 1.5625]
[-3.0, -0.75, 0.8125]
[-3.0, -0.75, 0.8125]
[-3.0, -0.75, 0.8125]
[-5.4375, -3.125, 0.375]
[-5.875, -4.125, -0.125]
[-5.875, -4.125, -0.125]
[-5.875, -4.125, -0.125]
[-5.875, -4.125, -0.125]
[-5.9375, -7.625, -5.1875]
[-10.4375, -8.5, -10.625]
[-10.4375, -8.5, -10.625]
[-10.4375, -8.5, -10.625]
[-16.1875, -8.3125, -16.625]
[-16.1875, -8.3125, -16.625]
[-16.1875, -8.3125, -16.625]
[-27.125, -4.4375, -23.6875]
[-27.125, -4.4375, -23.6875]
[-24.8125, -3.3125, -36.3125]
[-17.4375, -5.125, -49.125]
[-17.4375, -5.125, -49.125]
[-17.4375, -5.125, -49.125]
[-21.25, -8.875, -66.875]
[-40.125, -13.1875, -83.5625]
[-40.125, -13.1875, -83.5625]
[-40.875, -10.1875, -103.8125]
[-40.875, -10.1875, -103.8125]
[-44.5625, -6.625, -122.25]
[-44.5625, -6.625, -122.25]
[-53.4375, -3.625, -140.9375]
[-53.4375, -3.625, -140.9375]
[-61.1875, -0.75, -160.875]
[-61.1875, -0.75, -160.875]
[-61.1875, -0.75, -160.875]
[-79.75, -3.0625, -174.4375]
[-79.75, -3.0625, -174.4375]
[-91.8125, 0.375, -179.5625]
[-80.1875, 9.125, -180.125]
[-80.1875, 9.125, -180.125]
[-71.25, 12.25, -177.8125]
[-71.25, 12.25, -177.8125]
[-71.25, 12.25, -177.8125]
[-77.25, 8.375, -170.5625]
[-77.25, 8.375, -170.5625]
[-77.25, 8.375, -170.5625]
[-83.25, 7.5625, -157.9375]
[-83.25, 7.5625, -157.9375]
[-83.25, 7.5625, -157.9375]
[-83.25, 7.5625, -157.9375]
[-67.625, 14.9375, -130.1875]
[-68.0, 16.0625, -115.125]
[-71.375, 15.4375, -98.8125]
[-71.375, 15.4375, -98.8125]
[-69.625, 16.4375, -81.9375]
[-59.8125, 21.5625, -64.375]
[-59.8125, 21.5625, -64.375]
[-54.6875, 19.9375, -49.3125]
[-54.6875, 19.9375, -49.3125]
[-55.1875, 6.8125, -37.125]
[-55.1875, 6.8125, -37.125]
[-52.5625, -5.5625, -22.0]
[-52.5625, -5.5625, -22.0]
[-52.5625, -5.5625, -22.0]
[-37.8125, -3.25, -0.4375]
[-37.8125, -3.25, -0.4375]
[-19.4375, 19.25, 18.375]
[-19.4375, 19.25, 18.375]
[-0.9375, 29.25, 19.1875]
[-10.6875, 22.1875, 13.625]
[-10.6875, 22.1875, 13.625]
[-12.9375, 16.0, 8.1875]
