[-14.375, 4.5625, 2.3125]
[3.0625, 14.3125, 5.5]
[3.0625, 14.3125, 5.5]
[3.0625, 14.3125, 5.5]
[3.0625, 14.3125, 5.5]
[3.0625, 14.3125, 5.5]
[3.0625, 14.3125, 5.5]
[13.0, -7.0625, 4.0625]
[13.0, -7.0625, 4.0625]
[13.0, -7.0625, 4.0625]
[8.8125, -7.625, 5.3125]
[8.8125, -7.625, 5.3125]
[8.8125, -7.625, 5.3125]
[3.6875, -3.4375, 0.4375]
[3.6875, -3.4375, 0.4375]
[0.25, -3.6875, -1.3125]
[0.25, -3.6875, -1.3125]
[0.25, -3.6875, -1.3125]
[0.25, -3.6875, -1.3125]
[5.0, -3.3125, 0.6875]
[5.0, -3.3125, 0.6875]
[5.0, -3.3125, 0.6875]
[6.25, -2.375, 0.0]
[6.25, -2.375, 0.0]
[6.25, -2.375, 0.0]
[6.25, -2.375, 0.0]
[6.25, -2.375, 0.0]
[0.0625, 12.0625, -2.125]
[0.0625, 12.0625, -2.125]
[0.0625, 12.0625, -2.125]
[0.0625, 12.0625, -2.125]
[-6.375, 11.375, -0.6875]
[-6.375, 11.375, -0.6875]
[1.6875, 14.9375, 2.6875]
[1.6875, 14.9375, 2.6875]
[1.6875, 14.9375, 2.6875]
[16.4375, 18.0, 19.5]
[16.4375, 18.0, 19.5]
[16.4375, 18.0, 19.5]
[16.4375, 18.0, 19.5]
[15.0625, 18.75, 30.6875]
[15.0625, 18.75, 30.6875]
[15.0625, 18.75, 30.6875]
[54.6875, 37.8125, 66.5]
[54.6875, 37.8125, 66.5]
[78.0625, 51.5625, 81.1875]
[78.0625, 51.5625, 81.1875]
[78.0625, 51.5625, 81.1875]
[61.4375, 61.9375, 92.25]
[61.4375, 61.9375, 92.25]
[61.4375, 61.9375, 92.25]
[59.8125, 65.5, 101.0625]
[59.8125, 65.5, 101.0625]
[59.8125, 65.5, 101.0625]
[76.6875, 84.625, 109.75]
[76.6875, 84.625, 109.75]
[76.6875, 84.625, 109.75]
[77.1875, 92.3125, 103.125]
[77.1875, 92.3125, 103.125]
[77.1875, 92.3125, 103.125]
[61.375, 95.3125, 91.5]
