[-20.6875, -90.5625, 23.5]
[-20.6875, -90.5625, 23.5]
[-20.6875, -90.5625, 23.5]
[-13.5, -76.5625, 11.0]
[-13.5, -76.5625, 11.0]
[-16.9375, -64.4375, 4.625]
[-36.875, -54.8125, 2.125]
[-36.875, -54.8125, 2.125]
[-36.875, -54.8125, 2.125]
[-38.75, -45.0, 0.1875]
[-38.75, -45.0, 0.1875]
[-35.375, -36.375, -1.4375]
[-38.1875, -27.6875, -3.75]
[-38.1875, -27.6875, -3.75]
[-38.1875, -27.6875, -3.75]
[-34.3125, -18.25, -3.9375]
[-34.3125, -18.25, -3.9375]
[-27.875, -11.1875, -2.3125]
[-27.875, -11.1875, -2.3125]
[-27.9375, -5.9375, -4.75]
[-27.9375, -5.9375, -4.75]
[-31.0625, -3.25, -3.5625]
[-31.0625, -3.25, -3.5625]
[-30.6875, 2.1875, 0.5625]
[-20.25, 11.25, 5.3125]
[-20.25, 11.25, 5.3125]
[-12.0, 15.0, 4.0]
[-12.0, 15.0, 4.0]
[-15.8125, 12.5, -0.5]
[-15.8125, 12.5, -0.5]
[-16.125, 8.3125, -0.1875]
[-16.125, 8.3125, -0.1875]
[-16.125, 8.3125, -0.1875]
[-8.875, 7.5625, 1.75]
[0.6875, 8.0, 2.75]
[0.6875, 8.0, 2.75]
[3.875, 4.8125, 0.875]
[3.875, 4.8125, 0.875]
[0.9375, 2.4375, -1.125]
[0.9375, 2.4375, -1.125]
[0.9375, 2.4375, -1.125]
[0.9375, 2.4375, -1.125]
[0.6875, 0.125, -0.8125]
[0.6875, 0.125, -0.8125]
[0.6875, 0.125, -0.8125]
[10.6875, -1.8125, 0.3125]
[10.6875, -1.8125, 0.3125]
[10.6875, -1.8125, 0.3125]
[10.6875, -1.8125, 0.3125]
[8.6875, 0.125, -3.4375]
[3.5625, 8.1875, -6.125]
[3.5625, 8.1875, -6.125]
[3.5625, 8.1875, -6.125]
[3.5625, 8.1875, -6.125]
[3.5625, 8.1875, -6.125]
[1.4375, 19.5625, -14.875]
[1.4375, 19.5625, -14.875]
[7.375, 28.1875, -20.6875]
[17.125, 42.0, -19.125]
[17.125, 42.0, -19.125]
[45.9375, 61.0625, -3.4375]
[45.9375, 61.0625, -3.4375]
[93.1875, 79.9375, 18.9375]
[93.1875, 79.9375, 18.9375]
[93.1875, 79.9375, 18.9375]
[114.375, 92.4375, 57.5]
[114.375, 92.4375, 57.5]
[108.8125, 103.125, 112.0]
[117.9375, 127.625, 185.875]
[117.9375, 127.625, 185.875]
[135.875, 154.5625, 253.8125]
[135.875, 154.5625, 253.8125]
[167.3125, 170.6875, 287.1875]
[167.3125, 170.6875, 287.1875]
[167.3125, 170.6875, 287.1875]
[167.3125, 170.6875, 287.1875]
[219.8125, 187.3125, 295.125]
[219.8125, 187.3125, 295.125]
[214.9375, 191.75, 287.6875]
[214.9375, 191.75, 287.6875]
[167.3125, 175.0625, 248.6875]
[167.3125, 175.0625, 248.6875]
[162.75, 162.75, 218.125]
[162.75, 162.75, 218.125]
[162.75, 162.75, 218.125]
[162.75, 162.75, 218.125]
[119.8125, 129.0, 164.4375]
[119.8125, 129.0, 164.4375]
[102.3125, 106.6875, 136.6875]
[102.3125, 106.6875, 136.6875]
[102.3125, 106.6875, 136.6875]
[102.3125, 106.6875, 136.6875]
[65.4375, 65.75, 75.4375]
[65.4375, 65.75, 75.4375]
[42.9375, 45.25, 45.125]
[42.9375, 45.25, 45.125]
[42.9375, 45.25, 45.125]
[42.9375, 45.25, 45.125]
[20.3125, 11.4375, -9.0625]
[20.3125, 11.4375, -9.0625]
[1.4375, -6.375, -41.3125]
[1.4375, -6.375, -41.3125]
[1.4375, -6.375, -41.3125]
[1.4375, -6.375, -41.3125]
