[-50.4375, 56.625, -2.0]
[-35.3125, 37.0625, -3.5625]
[-35.3125, 37.0625, -3.5625]
[-5.25, 19.3125, -2.125]
[-5.25, 19.3125, -2.125]
[3.5, 2.625, -0.1875]
[3.5, 2.625, -0.1875]
[4.0, -9.0, 0.0]
[4.0, -9.0, 0.0]
[2.25, -11.8125, 0.8125]
[2.25, -11.8125, 0.8125]
[3.0625, -11.0625, 2.75]
[3.0625, -11.0625, 2.75]
[4.75, -11.125, 5.0625]
[9.25, -12.4375, 3.0]
[9.25, -12.4375, 3.0]
[9.25, -12.4375, 3.0]
[13.125, -12.1875, 0.375]
[13.125, -12.1875, 0.375]
[11.6875, -12.5625, -0.625]
[11.6875, -12.5625, -0.625]
[10.875, -13.0625, -1.625]
[10.875, -13.0625, -1.625]
[10.875, -13.0625, -1.625]
[16.0625, -10.3125, -0.25]
[16.0625, -10.3125, -0.25]
[16.0625, -10.3125, -0.25]
[13.875, -9.3125, 0.3125]
[13.875, -9.3125, 0.3125]
[13.875, -9.3125, 0.3125]
[13.1875, -10.8125, -0.6875]
[15.5, -13.6875, -1.375]
[15.5, -13.6875, -1.375]
[19.25, -15.9375, -2.0625]
[24.6875, -17.25, -1.5625]
[24.6875, -17.25, -1.5625]
[27.5625, -20.5, 0.1875]
[27.5625, -20.5, 0.1875]
[33.0625, -21.1875, 2.1875]
[33.0625, -21.1875, 2.1875]
[41.625, -20.625, 4.5625]
[41.625, -20.625, 4.5625]
[46.9375, -22.4375, 6.8125]
[46.9375, -22.4375, 6.8125]
[53.9375, -21.6875, 10.9375]
[53.9375, -21.6875, 10.9375]
[61.1875, -20.1875, 14.75]
[61.1875, -20.1875, 14.75]
[65.875, -17.5625, 17.3125]
[65.875, -17.5625, 17.3125]
[75.875, -10.625, 20.4375]
[75.875, -10.625, 20.4375]
[92.875, 0.625, 30.125]
[92.875, 0.625, 30.125]
[92.875, 0.625, 30.125]
[92.875, 0.625, 30.125]
[102.25, 35.5625, 59.5]
[102.25, 35.5625, 59.5]
[102.25, 60.4375, 77.4375]
[102.25, 60.4375, 77.4375]
[102.25, 60.4375, 77.4375]
[144.75, 124.0625, 98.4375]
[144.75, 124.0625, 98.4375]
