[-45.5, -10.125, -13.375]
[-43.875, -3.625, -10.1875]
[-45.9375, -1.8125, -8.375]
[-45.9375, -1.8125, -8.375]
[-42.125, -0.125, -6.375]
[-42.125, -0.125, -6.375]
[-42.125, -0.125, -6.375]
[-36.75, 0.9375, -4.5625]
[-36.3125, 0.6875, -5.125]
[-36.3125, 0.6875, -5.125]
[-35.8125, 0.75, -5.0]
[-35.8125, 0.75, -5.0]
[-30.4375, 3.1875, -5.3125]
[-30.4375, 3.1875, -5.3125]
[-30.4375, 3.1875, -5.3125]
[-18.375, -0.25, -1.25]
[-18.375, -0.25, -1.25]
[-18.375, -0.25, -1.25]
[-12.375, -6.0625, 0.1875]
[-12.375, -6.0625, 0.1875]
[-5.3125, -7.75, 2.25]
[-0.625, -6.5, 6.25]
[-0.625, -6.5, 6.25]
[-0.625, -6.5, 6.25]
[-0.625, -6.5, 6.25]
[2.3125, -3.875, 6.8125]
[4.1875, -2.1875, 2.6875]
[3.0625, -2.875, 0.375]
[3.0625, -2.875, 0.375]
[3.0625, -2.875, 0.375]
[2.75, -7.125, -0.375]
[2.75, -7.125, -0.375]
[9.375, -9.4375, -1.4375]
[12.75, -10.5625, -0.625]
[12.75, -10.5625, -0.625]
[12.75, -10.5625, -0.625]
[18.5, -11.4375, 1.3125]
[18.5, -11.4375, 1.3125]
[26.3125, -11.0, 3.4375]
[26.3125, -11.0, 3.4375]
[29.75, -10.1875, 4.4375]
[29.75, -10.1875, 4.4375]
[30.25, -9.75, 4.875]
[30.25, -9.75, 4.875]
[31.1875, -8.6875, 5.75]
[31.1875, -8.6875, 5.75]
[34.5625, -1.4375, 8.4375]
[34.5625, -1.4375, 8.4375]
[46.375, 14.0, 14.6875]
[46.375, 14.0, 14.6875]
[57.9375, 35.625, 22.0625]
[57.9375, 35.625, 22.0625]
[59.5, 60.3125, 30.4375]
[58.75, 84.5, 37.25]
[58.75, 84.5, 37.25]
[58.75, 84.5, 37.25]
[77.1875, 104.875, 47.3125]
[77.1875, 104.875, 47.3125]
[101.6875, 117.1875, 64.25]
[120.4375, 125.3125, 93.875]
[120.4375, 125.3125, 93.875]
[120.4375, 125.3125, 93.875]
[80.4375, 141.375, 118.0]
[80.4375, 141.375, 118.0]
[55.9375, 167.3125, 131.75]
[62.9375, 188.8125, 149.4375]
[62.9375, 188.8125, 149.4375]
[62.9375, 188.8125, 149.4375]
[88.875, 197.0625, 164.3125]
[105.5, 198.0, 178.5625]
[105.5, 198.0, 178.5625]
[87.5625, 189.6875, 180.9375]
[87.5625, 189.6875, 180.9375]
[69.8125, 177.3125, 172.875]
[69.8125, 177.3125, 172.875]
[65.9375, 160.5625, 162.1875]
[65.9375, 160.5625, 162.1875]
[66.375, 142.1875, 145.625]
[66.375, 142.1875, 145.625]
[52.6875, 119.8125, 123.5625]
[52.6875, 119.8125, 123.5625]
[31.9375, 94.6875, 103.8125]
[31.9375, 94.6875, 103.8125]
[13.75, 70.8125, 79.1875]
[13.75, 70.8125, 79.1875]
[10.875, 57.625, 55.375]
[10.875, 57.625, 55.375]
[10.875, 57.625, 55.375]
[13.5625, 43.3125, 26.875]
[2.1875, 24.25, -6.5625]
[2.1875, 24.25, -6.5625]
[-13.1875, 7.5, -40.3125]
[-13.1875, 7.5, -40.3125]
[-25.1875, -7.75, -73.0]
[-25.1875, -7.75, -73.0]
[-33.3125, -25.375, -105.125]
[-33.3125, -25.375, -105.125]
[-41.875, -45.6875, -142.25]
[-41.875, -45.6875, -142.25]
[-63.0625, -68.9375, -184.25]
[-79.6875, -86.875, -213.625]
[-79.6875, -86.875, -213.625]
[-79.6875, -86.875, -213.625]
[-107.125, -103.125, -230.875]
[-107.125, -103.125, -230.875]
[-158.9375, -113.3125, -229.5625]
[-198.1875, -108.3125, -216.3125]
[-198.1875, -108.3125, -216.3125]
[-157.25, -78.4375, -206.5]
[-157.25, -78.4375, -206.5]
[-157.25, -78.4375, -206.5]
[-76.3125, -47.0, -204.3125]
[-1.875, -28.5625, -153.0]
[-1.875, -28.5625, -153.0]
[-1.875, -28.5625, -153.0]
[55.5, -15.1875, -90.9375]
[55.5, -15.1875, -90.9375]
[8.0625, -9.3125, -42.1875]
[-81.4375, -6.375, -6.0625]
[-81.4375, -6.375, -6.0625]
[-62.125, 4.5, 5.3125]
[-62.125, 4.5, 5.3125]
[-62.125, 4.5, 5.3125]
[15.9375, 13.375, 13.5625]
