[-18.6875, 21.125, 6.75]
[-18.9375, 10.3125, -10.8125]
[-18.9375, 10.3125, -10.8125]
[-7.5, 0.5625, -8.6875]
[-7.5, 0.5625, -8.6875]
[-7.5, 0.5625, -8.6875]
[6.375, -11.25, -3.1875]
[6.375, -11.25, -3.1875]
[0.8125, -11.875, -2.5625]
[0.8125, -11.875, -2.5625]
[0.8125, -11.875, -2.5625]
[0.8125, -11.875, -2.5625]
[-1.0625, -12.75, 1.6875]
[-1.0625, -12.75, 1.6875]
[0.625, -13.1875, 1.125]
[0.625, -13.1875, 1.125]
[0.625, -13.1875, 1.125]
[0.625, -13.1875, 1.125]
[9.0625, -15.8125, 1.75]
[9.0625, -15.8125, 1.75]
[9.0625, -15.8125, 1.75]
[8.6875, -16.75, 3.25]
[8.6875, -16.75, 3.25]
[8.6875, -16.75, 3.25]
[11.875, -13.1875, 4.0625]
[11.875, -13.1875, 4.0625]
[10.8125, -10.4375, 0.25]
[10.8125, -10.4375, 0.25]
[10.8125, -10.4375, 0.25]
[12.9375, -10.5, -6.1875]
[12.9375, -10.5, -6.1875]
[12.9375, -10.5, -6.1875]
[18.9375, -8.75, -7.4375]
[18.9375, -8.75, -7.4375]
[18.9375, -8.75, -7.4375]
[18.9375, -8.75, -7.4375]
[27.875, -1.375, -2.8125]
[27.875, -1.375, -2.8125]
[34.625, -2.0625, -3.9375]
[34.625, -2.0625, -3.9375]
[34.625, -2.0625, -3.9375]
[44.25, 17.875, -7.1875]
[44.25, 17.875, -7.1875]
[44.25, 17.875, -7.1875]
[44.5625, 46.6875, -9.6875]
[44.5625, 46.6875, -9.6875]
[44.5625, 46.6875, -9.6875]
[40.25, 108.9375, -21.625]
[40.25, 108.9375, -21.625]
[40.25, 108.9375, -21.625]
[46.0625, 143.8125, -21.5]
[46.0625, 143.8125, -21.5]
[46.0625, 143.8125, -21.5]
[46.0625, 143.8125, -21.5]
[46.0625, 143.8125, -21.5]
[52.875, 266.4375, -16.8125]
[52.875, 266.4375, -16.8125]
[52.875, 266.4375, -16.8125]
[52.875, 266.4375, -16.8125]
[68.25, 330.9375, 17.125]
[68.25, 330.9375, 17.125]
[100.0625, 360.0, 23.5]
[100.0625, 360.0, 23.5]
[100.0625, 360.0, 23.5]
[100.0625, 360.0, 23.5]
[93.9375, 400.875, 25.0]
[93.9375, 400.875, 25.0]
[94.625, 410.8125, 34.875]
[94.625, 410.8125, 34.875]
[94.625, 410.8125, 34.875]
[94.625, 410.8125, 34.875]
[94.625, 410.8125, 34.875]
[78.5625, 398.875, 48.8125]
[78.5625, 398.875, 48.8125]
[78.5625, 398.875, 48.8125]
[64.25, 368.8125, 50.3125]
[38.5, 332.9375, 54.0]
[38.5, 332.9375, 54.0]
[38.5, 332.9375, 54.0]
[38.5, 332.9375, 54.0]
[-24.25, 263.5625, 67.0]
[-24.25, 263.5625, 67.0]
[-22.9375, 236.9375, 73.4375]
[-22.9375, 236.9375, 73.4375]
[-22.9375, 236.9375, 73.4375]
[-28.4375, 171.3125, 66.6875]
[-28.4375, 171.3125, 66.6875]
[-28.4375, 171.3125, 66.6875]
[-58.9375, 139.3125, 65.6875]
[-58.9375, 139.3125, 65.6875]
[-58.9375, 139.3125, 65.6875]
[-52.375, 57.1875, 94.375]
[-52.375, 57.1875, 94.375]
[-52.375, 57.1875, 94.375]
[-41.375, 11.5625, 125.5]
[-41.375, 11.5625, 125.5]
[-41.375, 11.5625, 125.5]
[-41.375, 11.5625, 125.5]
[-41.375, 11.5625, 125.5]
[-41.375, 11.5625, 125.5]
[64.125, -63.75, 225.25]
[95.9375, -105.5625, 246.5625]
[95.9375, -105.5625, 246.5625]
[95.9375, -105.5625, 246.5625]
[181.0625, -157.375, 288.8125]
[181.0625, -157.375, 288.8125]
[195.0, -139.6875, 281.6875]
[195.0, -139.6875, 281.6875]
[195.0, -139.6875, 281.6875]
[195.0, -139.6875, 281.6875]
[151.6875, -56.3125, 167.5625]
[151.6875, -56.3125, 167.5625]
[89.8125, -43.75, 63.9375]
[89.8125, -43.75, 63.9375]
[89.8125, -43.75, 63.9375]
[-45.875, 78.875, -101.75]
[-45.875, 78.875, -101.75]
[-45.875, 78.875, -101.75]
[-176.6875, 91.25, -187.4375]
[-176.6875, 91.25, -187.4375]
[-176.6875, 91.25, -187.4375]
[-176.6875, 91.25, -187.4375]
[-221.625, 21.9375, -55.375]
[37.0625, 37.25, 7.25]
[37.0625, 37.25, 7.25]
[37.0625, 37.25, 7.25]
[37.0625, 37.25, 7.25]
[32.0625, -94.1875, 74.1875]
[32.0625, -94.1875, 74.1875]
[32.0625, -94.1875, 74.1875]
[32.0625, -94.1875, 74.1875]
[191.625, -94.75, 89.625]
[191.625, -94.75, 89.625]
[191.625, -94.75, 89.625]
[3.5, -52.375, 24.5]
[-42.75, -62.6875, -20.4375]
[-42.75, -62.6875, -20.4375]
