[-47.0625, 17.0625, -8.4375]
[-35.6875, 22.0625, -5.3125]
[-35.6875, 22.0625, -5.3125]
[-35.6875, 22.0625, -5.3125]
[-32.125, 22.375, -3.875]
[-32.125, 22.375, -3.875]
[-32.125, 22.375, -3.875]
[-18.4375, 18.8125, 3.375]
[-18.4375, 18.8125, 3.375]
[-18.4375, 18.8125, 3.375]
[-13.6875, 9.6875, 7.875]
[-13.6875, 9.6875, 7.875]
[-13.6875, 9.6875, 7.875]
[-3.75, -4.1875, 10.9375]
[-3.75, -4.1875, 10.9375]
[-0.625, -7.3125, 11.4375]
[-0.625, -7.3125, 11.4375]
[-0.625, -7.3125, 11.4375]
[-0.625, -7.3125, 11.4375]
[3.5, -2.6875, 3.875]
[3.5, -2.6875, 3.875]
[5.0625, -2.6875, -0.375]
[5.0625, -2.6875, -0.375]
[5.0625, -2.6875, -0.375]
[5.0625, -2.6875, -0.375]
[5.875, -6.125, -3.4375]
[5.875, -6.125, -3.4375]
[5.875, -6.125, -3.4375]
[9.3125, -6.8125, -2.625]
[9.3125, -6.8125, -2.625]
[9.3125, -6.8125, -2.625]
[9.3125, -6.8125, -2.625]
[16.5, -9.75, -0.4375]
[20.875, -12.0625, -0.5625]
[20.875, -12.0625, -0.5625]
[20.875, -12.0625, -0.5625]
[20.875, -12.0625, -0.5625]
[35.1875, -14.125, 1.0]
[35.1875, -14.125, 1.0]
[43.25, -9.375, 3.75]
[43.25, -9.375, 3.75]
[43.25, -9.375, 3.75]
[43.25, -9.375, 3.75]
[60.6875, 11.9375, 18.3125]
[60.6875, 11.9375, 18.3125]
[60.6875, 11.9375, 18.3125]
[79.4375, 27.1875, 30.8125]
[79.4375, 27.1875, 30.8125]
[79.4375, 27.1875, 30.8125]
[114.3125, 70.125, 51.9375]
[114.3125, 70.125, 51.9375]
[114.3125, 70.125, 51.9375]
[129.5625, 98.625, 63.25]
[129.5625, 98.625, 63.25]
[129.5625, 98.625, 63.25]
[129.5625, 98.625, 63.25]
[129.5625, 98.625, 63.25]
[129.5625, 98.625, 63.25]
[151.25, 146.125, 64.0625]
[146.0, 149.25, 58.0]
[146.0, 149.25, 58.0]
[141.375, 148.25, 49.75]
[141.375, 148.25, 49.75]
[132.5625, 142.25, 42.5625]
[130.875, 135.3125, 39.375]
[130.875, 135.3125, 39.375]
[142.3125, 125.3125, 31.1875]
[142.3125, 125.3125, 31.1875]
[125.4375, 106.625, 22.0625]
[125.4375, 106.625, 22.0625]
[98.375, 89.5, 13.0]
[98.375, 89.5, 13.0]
[74.6875, 73.4375, 6.3125]
[74.6875, 73.4375, 6.3125]
[74.6875, 73.4375, 6.3125]
[69.0625, 60.0, 0.9375]
[69.0625, 60.0, 0.9375]
[69.0625, 60.0, 0.9375]
[61.375, 36.3125, -1.1875]
[61.375, 36.3125, -1.1875]
[61.375, 36.3125, -1.1875]
[42.3125, 24.8125, -2.4375]
[42.3125, 24.8125, -2.4375]
[42.3125, 24.8125, -2.4375]
[30.375, 17.6875, -7.0]
[22.875, 12.0625, -8.6875]
[22.875, 12.0625, -8.6875]
[17.1875, 8.1875, -9.4375]
[17.1875, 8.1875, -9.4375]
[17.1875, 9.375, -8.75]
[17.1875, 9.375, -8.75]
[5.25, 10.5625, -11.5625]
[5.25, 10.5625, -11.5625]
[-18.625, 13.375, -18.75]
[-18.625, 13.375, -18.75]
[-53.125, 18.1875, -28.4375]
[-53.125, 18.1875, -28.4375]
[-83.5625, 26.1875, -40.75]
[-83.5625, 26.1875, -40.75]
[-83.5625, 26.1875, -40.75]
[-112.6875, 38.25, -58.4375]
[-148.25, 53.5, -78.125]
[-148.25, 53.5, -78.125]
[-148.25, 53.5, -78.125]
[-217.0625, 57.625, -95.8125]
[-303.875, 49.875, -97.1875]
[-303.875, 49.875, -97.1875]
[-382.125, 46.8125, -73.3125]
[-382.125, 46.8125, -73.3125]
[-382.125, 46.8125, -73.3125]
[-332.6875, 93.125, 1.0625]
[-332.6875, 93.125, 1.0625]
[-447.0, 125.75, 17.5625]
[-447.0, 125.75, 17.5625]
[-447.0, 125.75, 17.5625]
[-377.125, 103.0625, -15.75]
[7.9375, 99.5625, -66.375]
[7.9375, 99.5625, -66.375]
[7.9375, 99.5625, -66.375]
[107.9375, 65.3125, -55.6875]
[107.9375, 65.3125, -55.6875]
[-24.5625, -1.4375, -39.4375]
[-24.5625, -1.4375, -39.4375]
[-23.9375, -7.0, -35.375]
[48.125, 2.1875, -38.125]
[48.125, 2.1875, -38.125]
[44.5, -0.375, -29.4375]
[44.5, -0.375, -29.4375]
[25.125, -4.625, -20.0]
[25.125, -4.625, -20.0]
[22.8125, -3.6875, -11.5625]
[22.8125, -3.6875, -11.5625]
[29.0, -2.6875, -6.5]
[42.6875, -6.5, -3.875]
[42.6875, -6.5, -3.875]
[42.6875, -6.5, -3.875]
[53.9375, -12.25, -0.9375]
[53.9375, -12.25, -0.9375]
[57.625, -21.125, -3.25]
[73.8125, -32.8125, -10.6875]
[73.8125, -32.8125, -10.6875]
[73.8125, -32.8125, -10.6875]
[97.0625, -43.5625, -13.3125]
[97.0625, -43.5625, -13.3125]
[112.5, -59.1875, -14.25]
[117.125, -81.6875, -17.625]
[117.125, -81.6875, -17.625]
[117.125, -81.6875, -17.625]
[113.5, -102.9375, -19.1875]
[113.5, -102.9375, -19.1875]
[113.5, -102.9375, -19.1875]
[116.125, -118.0625, -17.75]
[123.75, -129.1875, -16.4375]
[123.75, -129.1875, -16.4375]
[125.0, -141.625, -13.1875]
[125.0, -141.625, -13.1875]
[109.875, -158.5, -10.75]
[88.125, -171.8125, -10.0625]
[88.125, -171.8125, -10.0625]
[88.125, -171.8125, -10.0625]
[69.0625, -171.875, -11.9375]
[69.0625, -171.875, -11.9375]
[58.3125, -167.9375, -14.1875]
[46.9375, -164.8125, -17.125]
[46.9375, -164.8125, -17.125]
[46.9375, -164.8125, -17.125]
[26.0625, -159.4375, -20.4375]
[26.0625, -159.4375, -20.4375]
[6.0, -152.9375, -21.5]
[0.1875, -142.375, -24.75]
[0.1875, -142.375, -24.75]
[-10.5625, -131.0, -24.0]
[-10.5625, -131.0, -24.0]
[-10.5625, -131.0, -24.0]
[-20.0, -118.6875, -19.5]
[-34.1875, -105.3125, -16.75]
[-34.1875, -105.3125, -16.75]
[-46.0, -90.0, -15.75]
[-46.0, -90.0, -15.75]
[-46.0, -90.0, -15.75]
[-50.0, -73.25, -15.5]
[-50.0, -73.25, -15.5]
[-53.375, -57.5, -14.375]
[-57.0625, -45.875, -15.5625]
[-57.0625, -45.875, -15.5625]
[-57.0625, -45.875, -15.5625]
[-57.25, -33.6875, -19.6875]
[-57.25, -33.6875, -19.6875]
[-73.8125, -25.6875, -22.5625]
[-81.9375, -19.1875, -21.1875]
[-81.9375, -19.1875, -21.1875]
[-81.9375, -19.1875, -21.1875]
[-62.625, -14.3125, -14.6875]
[-62.625, -14.3125, -14.6875]
[-59.875, -11.875, -12.1875]
[-62.5625, -9.6875, -11.875]
[-62.5625, -9.6875, -11.875]
[-54.125, -5.5, -6.75]
[-54.125, -5.5, -6.75]
[-54.125, -5.5, -6.75]
[-47.875, -0.1875, -3.5]
[-39.0, 6.125, 0.625]
[-39.0, 6.125, 0.625]
[-27.5625, 7.375, 1.5625]
[-27.5625, 7.375, 1.5625]
[-24.125, 8.1875, 1.1875]
[-24.125, 8.1875, 1.1875]
[-24.5625, 5.3125, 6.875]
[-24.5625, 5.3125, 6.875]
[-24.5625, 5.3125, 6.875]
[-18.3125, 1.375, 11.75]
[-18.3125, 1.375, 11.75]
[-0.625, 0.375, 14.0]
[-0.625, 0.375, 14.0]
[9.1875, 1.3125, 9.5]
[9.1875, 1.3125, 9.5]
[6.625, -0.625, 3.6875]
[5.75, -4.3125, 2.625]
[5.75, -4.3125, 2.625]
[10.875, -7.875, 3.75]
[10.875, -7.875, 3.75]
[13.75, -9.25, 3.75]
[13.75, -9.25, 3.75]
[22.1875, -9.0, 2.375]
[22.1875, -9.0, 2.375]
[23.0, -8.8125, 2.5]
[23.0, -8.8125, 2.5]
[26.0, -8.4375, 3.5]
[26.0, -8.4375, 3.5]
[28.8125, -7.0, 4.25]
[28.8125, -7.0, 4.25]
[31.4375, -5.8125, 4.875]
[31.4375, -5.8125, 4.875]
[32.1875, -0.625, 4.125]
[32.1875, -0.625, 4.125]
[21.625, 8.1875, 2.1875]
[21.625, 8.1875, 2.1875]
[4.1875, 28.4375, 6.3125]
[4.1875, 28.4375, 6.3125]
[8.0625, 59.1875, 19.25]
[8.0625, 59.1875, 19.25]
[8.0625, 59.1875, 19.25]
[38.9375, 91.1875, 34.375]
[38.9375, 91.1875, 34.375]
[51.75, 109.5625, 44.1875]
[51.75, 109.5625, 44.1875]
[51.75, 109.5625, 44.1875]
[48.375, 123.5625, 54.8125]
[48.375, 123.5625, 54.8125]
[61.1875, 136.25, 67.875]
[83.0, 148.8125, 76.3125]
[83.0, 148.8125, 76.3125]
[99.8125, 154.0625, 78.6875]
[99.8125, 154.0625, 78.6875]
[117.5625, 153.625, 78.6875]
[126.375, 151.5, 77.75]
[126.375, 151.5, 77.75]
[126.375, 151.5, 77.75]
[139.5625, 148.8125, 78.875]
[152.25, 145.9375, 77.875]
[152.25, 145.9375, 77.875]
[158.875, 134.9375, 73.6875]
[158.875, 134.9375, 73.6875]
[143.0, 118.625, 68.3125]
[143.0, 118.625, 68.3125]
[114.375, 100.8125, 65.1875]
[114.375, 100.8125, 65.1875]
[99.6875, 86.125, 66.1875]
[99.6875, 86.125, 66.1875]
[88.125, 68.875, 67.625]
[88.125, 68.875, 67.625]
[73.8125, 53.125, 65.8125]
[73.8125, 53.125, 65.8125]
[78.6875, 40.625, 63.125]
[78.6875, 40.625, 63.125]
[78.6875, 40.625, 63.125]
[87.5, 32.3125, 58.75]
[87.5, 32.3125, 58.75]
[81.625, 24.3125, 52.75]
[81.625, 24.3125, 52.75]
[81.625, 24.3125, 52.75]
[54.125, 8.6875, 39.25]
[54.125, 8.6875, 39.25]
[54.125, 8.6875, 39.25]
[47.5, 3.8125, 29.75]
[47.5, 3.8125, 29.75]
[47.5, 3.8125, 29.75]
[41.1875, 1.125, 17.6875]
[41.1875, 1.125, 17.6875]
[28.5625, -0.5625, 3.1875]
[10.8125, 1.375, -13.8125]
[-15.5, 5.4375, -32.3125]
[-15.5, 5.4375, -32.3125]
[-37.375, 12.75, -53.5]
[-37.375, 12.75, -53.5]
[-37.375, 12.75, -53.5]
[-56.0625, 26.375, -77.75]
[-56.0625, 26.375, -77.75]
[-98.6875, 42.0625, -112.5]
[-98.6875, 42.0625, -112.5]
[-181.0, 45.0, -140.25]
[-181.0, 45.0, -140.25]
[-181.0, 45.0, -140.25]
[-181.0, 45.0, -140.25]
[-359.9375, 34.6875, -123.875]
[-359.9375, 34.6875, -123.875]
[-362.75, 45.875, -98.25]
[-362.75, 45.875, -98.25]
[-334.3125, 62.9375, -84.75]
[-334.3125, 62.9375, -84.75]
[-394.9375, 88.9375, -26.625]
[-410.9375, 110.625, -15.5625]
[-410.9375, 110.625, -15.5625]
[-98.6875, 90.25, -65.1875]
[-98.6875, 90.25, -65.1875]
[112.0, 94.0625, -43.3125]
[112.0, 94.0625, -43.3125]
[-53.4375, 23.0, -28.9375]
[-53.4375, 23.0, -28.9375]
[-53.4375, 23.0, -28.9375]
[-86.4375, -1.0625, -10.75]
[-86.4375, -1.0625, -10.75]
[-86.4375, -1.0625, -10.75]
[22.9375, 17.375, -13.0]
[22.9375, 17.375, -13.0]
[22.9375, 17.375, -13.0]
[-18.8125, 15.1875, -3.9375]
[-16.0625, 17.5, 1.75]
[-16.0625, 17.5, 1.75]
[18.0, 16.4375, 3.3125]
[18.0, 16.4375, 3.3125]
[26.25, 8.4375, 7.6875]
[26.25, 8.4375, 7.6875]
[26.25, 8.4375, 7.6875]
[13.0625, 1.5625, 12.625]
[21.9375, -5.0625, 10.6875]
[21.9375, -5.0625, 10.6875]
[21.9375, -5.0625, 10.6875]
[68.4375, -7.625, 10.9375]
[106.125, -19.0625, 14.0]
[106.125, -19.0625, 14.0]
[127.9375, -39.1875, 11.4375]
[127.9375, -39.1875, 11.4375]
[138.6875, -62.5625, 7.75]
[138.6875, -62.5625, 7.75]
[137.5, -85.0, 1.5625]
[137.5, -85.0, 1.5625]
[131.125, -105.1875, -1.5]
[131.125, -105.1875, -1.5]
[127.6875, -123.0, -6.0625]
[127.6875, -123.0, -6.0625]
[128.125, -138.4375, -11.9375]
[128.125, -138.4375, -11.9375]
[130.625, -154.8125, -15.0]
[130.625, -154.8125, -15.0]
[120.5, -173.3125, -14.625]
[120.5, -173.3125, -14.625]
[120.5, -173.3125, -14.625]
[77.6875, -189.1875, -19.625]
[77.6875, -189.1875, -19.625]
[77.6875, -189.1875, -19.625]
[76.5625, -192.9375, -22.1875]
[76.5625, -192.9375, -22.1875]
[76.5625, -192.9375, -22.1875]
[61.6875, -197.5625, -22.125]
[32.875, -196.625, -22.0625]
[32.875, -196.625, -22.0625]
[32.875, -196.625, -22.0625]
[20.1875, -191.5625, -21.5625]
[18.75, -186.4375, -21.6875]
[12.125, -179.25, -20.8125]
[12.125, -179.25, -20.8125]
[3.6875, -164.4375, -16.625]
[3.6875, -164.4375, -16.625]
[-6.3125, -148.6875, -11.0]
[-6.3125, -148.6875, -11.0]
[-20.0625, -132.125, -8.5]
[-20.0625, -132.125, -8.5]
[-30.875, -115.9375, -6.5]
[-30.875, -115.9375, -6.5]
[-43.9375, -94.8125, -3.625]
[-43.9375, -94.8125, -3.625]
[-50.75, -74.3125, -1.25]
[-47.375, -55.8125, -1.5625]
[-47.375, -55.8125, -1.5625]
[-47.375, -55.8125, -1.5625]
[-49.0625, -41.5, -3.1875]
[-49.0625, -41.5, -3.1875]
[-54.75, -30.1875, -3.5]
[-61.75, -23.0625, -2.375]
[-61.75, -23.0625, -2.375]
[-61.75, -23.0625, -2.375]
