[-28.0625, -27.625, -20.9375]
[-10.8125, 10.5625, -13.4375]
[-88.5, -29.1875, -85.0625]
[1.5, -12.25, 6.125]
[4.4375, -10.5, 5.5]
[4.4375, -10.5, 5.5]
[4.4375, -10.5, 5.5]
[7.5625, -8.8125, 5.1875]
[8.75, -7.3125, 5.125]
[8.75, -7.3125, 5.125]
[5.125, -5.8125, 4.375]
[5.125, -5.8125, 4.375]
[5.125, -5.8125, 4.375]
[3.8125, -5.9375, 2.4375]
[9.0, -9.125, 1.25]
[9.0, -9.125, 1.25]
[16.3125, -10.375, 4.3125]
[16.3125, -10.375, 4.3125]
[16.3125, -10.375, 4.3125]
[22.3125, -8.8125, 11.375]
[22.3125, -8.8125, 11.375]
[32.0625, -7.4375, 19.875]
[46.375, -6.5625, 36.8125]
[46.375, -6.5625, 36.8125]
[46.375, -6.5625, 36.8125]
[70.375, 1.9375, 59.5]
[70.375, 1.9375, 59.5]
[70.375, 1.9375, 59.5]
[107.875, 19.1875, 86.375]
[107.875, 19.1875, 86.375]
[135.0, 30.375, 110.3125]
[146.5625, 33.125, 137.5]
[146.5625, 33.125, 137.5]
[150.8125, 33.375, 159.125]
[150.8125, 33.375, 159.125]
[142.875, 38.3125, 166.5]
[132.0625, 48.75, 166.4375]
[132.0625, 48.75, 166.4375]
[132.0625, 48.75, 166.4375]
[121.375, 55.6875, 163.75]
[121.375, 55.6875, 163.75]
[116.875, 55.3125, 159.75]
[116.875, 55.3125, 159.75]
[104.9375, 48.375, 153.625]
[104.9375, 48.375, 153.625]
[84.1875, 43.4375, 145.0625]
[69.3125, 41.75, 132.875]
[69.3125, 41.75, 132.875]
[69.3125, 41.75, 132.875]
[69.3125, 41.75, 132.875]
[53.4375, 39.1875, 120.75]
[53.4375, 39.1875, 120.75]
[32.3125, 35.375, 106.25]
[32.3125, 35.375, 106.25]
[22.875, 29.0625, 91.375]
[16.625, 22.875, 74.875]
[16.625, 22.875, 74.875]
[11.5625, 14.625, 56.5]
[11.5625, 14.625, 56.5]
[0.3125, 7.8125, 41.8125]
[0.3125, 7.8125, 41.8125]
[0.3125, 7.8125, 41.8125]
[-8.375, -3.125, 31.0625]
[-8.375, -3.125, 31.0625]
[-8.375, -3.125, 31.0625]
[-7.5, -11.875, 8.75]
[-18.375, -12.5625, -0.1875]
[-18.375, -12.5625, -0.1875]
[-18.375, -12.5625, -0.1875]
[-22.1875, -11.8125, -6.3125]
[-22.1875, -11.8125, -6.3125]
[-27.3125, -11.9375, -13.25]
[-27.3125, -11.9375, -13.25]
[-17.9375, -10.875, -14.625]
[-14.8125, -15.0625, -14.1875]
[-14.8125, -15.0625, -14.1875]
[-23.6875, -18.625, -13.4375]
[-23.6875, -18.625, -13.4375]
[-23.6875, -18.625, -13.4375]
[-15.625, -17.125, -9.75]
[-15.625, -17.125, -9.75]
[-15.625, -17.125, -9.75]
[-13.3125, -10.5, -10.5625]
[-13.3125, -10.5, -10.5625]
[-13.3125, -10.5, -10.5625]
[-18.75, 1.375, -6.375]
[-18.75, 1.375, -6.375]
[-14.0625, 6.6875, -5.9375]
[-14.0625, 6.6875, -5.9375]
[-14.0625, 6.6875, -5.9375]
[-14.0625, 6.6875, -5.9375]
[-17.75, 8.4375, -5.5]
[-11.75, 10.1875, -5.4375]
[-11.75, 10.1875, -5.4375]
[-11.75, 10.1875, -5.4375]
[-0.4375, 4.75, 4.4375]
[-0.4375, 4.75, 4.4375]
[-4.25, 4.3125, 4.0625]
[-4.25, 4.3125, 4.0625]
[-0.6875, 3.625, 6.125]
[-0.6875, 3.625, 6.125]
[-3.6875, 1.0, 5.875]
[-3.6875, 1.0, 5.875]
[-5.8125, 0.625, 3.5]
[-5.8125, 0.625, 3.5]
[-8.375, 0.8125, -0.0625]
[-12.1875, 3.1875, -5.125]
[-12.1875, 3.1875, -5.125]
[-12.75, 6.375, -12.8125]
[-12.75, 6.375, -12.8125]
[-12.75, 6.375, -12.8125]
[-12.75, 6.375, -12.8125]
[-9.0, 7.0, -23.75]
[-9.0, 7.0, -23.75]
[-5.5625, 4.1875, -37.9375]
[-5.5625, 4.1875, -37.9375]
[-9.9375, -16.0625, -65.6875]
[-9.9375, -16.0625, -65.6875]
[-12.5, -27.125, -81.75]
[-12.5, -27.125, -81.75]
[-6.6875, -37.0625, -94.8125]
[-6.6875, -37.0625, -94.8125]
[-2.6875, -45.375, -109.8125]
[-2.6875, -45.375, -109.8125]
[-7.6875, -56.6875, -126.625]
[-7.6875, -56.6875, -126.625]
[-40.4375, -68.125, -140.625]
[-40.4375, -68.125, -140.625]
[-66.125, -70.3125, -149.5]
[-66.125, -70.3125, -149.5]
[-56.9375, -65.3125, -153.0625]
[-56.9375, -65.3125, -153.0625]
[-44.625, -62.0625, -154.5625]
[-44.625, -62.0625, -154.5625]
[-49.25, -60.625, -149.625]
[-49.25, -60.625, -149.625]
[-66.3125, -53.625, -145.375]
[-66.3125, -53.625, -145.375]
[-71.25, -40.5625, -137.375]
[-71.25, -40.5625, -137.375]
[-65.5625, -29.5, -124.875]
[-65.5625, -29.5, -124.875]
[-69.0625, -23.3125, -109.0625]
[-69.0625, -23.3125, -109.0625]
[-67.0, -15.1875, -91.4375]
[-67.0, -15.1875, -91.4375]
[-62.9375, -7.8125, -76.75]
[-62.9375, -7.8125, -76.75]
[-60.125, -2.625, -60.25]
[-60.125, -2.625, -60.25]
[-63.5, 0.6875, -43.8125]
[-63.5, 0.6875, -43.8125]
[-50.25, 6.5625, -28.5625]
[-50.25, 6.5625, -28.5625]
[-37.9375, 9.8125, -18.5625]
[-37.9375, 9.8125, -18.5625]
[-38.25, 10.0, -12.8125]
[-38.25, 10.0, -12.8125]
[-34.3125, 14.0625, -6.1875]
[-34.3125, 14.0625, -6.1875]
[-28.375, 17.5, -2.4375]
[-28.375, 17.5, -2.4375]
[-27.1875, 16.5, -0.25]
[-27.1875, 16.5, -0.25]
[-25.0, 13.875, 2.75]
[-25.0, 13.875, 2.75]
[-22.0, 10.0, 3.6875]
[-22.0, 10.0, 3.6875]
[-22.0, 10.0, 3.6875]
[-19.9375, 7.6875, 2.375]
[-22.4375, 6.875, 3.9375]
[-22.4375, 6.875, 3.9375]
[-21.4375, 5.625, 6.0625]
[-21.4375, 5.625, 6.0625]
[-15.75, 5.0625, 7.1875]
[-15.75, 5.0625, 7.1875]
[-10.6875, 7.8125, 6.25]
[-10.6875, 7.8125, 6.25]
[-10.25, 9.4375, 3.0]
[-10.25, 9.4375, 3.0]
[-13.1875, 9.1875, 0.0625]
[-13.1875, 9.1875, 0.0625]
[-9.6875, 9.25, -0.4375]
[-9.6875, 9.25, -0.4375]
[-5.25, 8.0625, 1.75]
[-5.25, 8.0625, 1.75]
[-3.1875, 5.5625, 2.5]
[-3.1875, 5.5625, 2.5]
[-2.375, 2.75, 2.375]
[-2.375, 2.75, 2.375]
[-0.875, 2.0, 2.0]
[-0.875, 2.0, 2.0]
[2.625, 0.9375, 2.125]
[2.625, 0.9375, 2.125]
[4.8125, -1.25, 2.1875]
[4.8125, -1.25, 2.1875]
[5.75, -4.375, 1.8125]
[5.75, -4.375, 1.8125]
[8.1875, -6.1875, 2.25]
[8.1875, -6.1875, 2.25]
[8.75, -5.0, 2.5]
[8.75, -5.0, 2.5]
[8.75, -5.0, 2.5]
[8.75, -5.0, 2.5]
[1.0, -3.875, 4.9375]
[1.0, -3.875, 4.9375]
[2.6875, -2.25, 9.75]
[2.6875, -2.25, 9.75]
[2.6875, -2.25, 9.75]
[2.6875, -2.25, 9.75]
[15.5625, 2.3125, 18.125]
[15.5625, 2.3125, 18.125]
[19.0625, 5.4375, 23.6875]
[19.0625, 5.4375, 23.6875]
[19.1875, 8.125, 34.1875]
[19.1875, 8.125, 34.1875]
[32.9375, 12.5625, 44.125]
[32.9375, 12.5625, 44.125]
[54.75, 12.1875, 55.1875]
[54.75, 12.1875, 55.1875]
[68.4375, 9.625, 66.75]
[68.4375, 9.625, 66.75]
[78.1875, 8.8125, 78.4375]
[87.125, 11.0625, 89.0625]
[87.125, 11.0625, 89.0625]
[87.125, 11.0625, 89.0625]
[90.5, 13.4375, 100.9375]
[90.5, 13.4375, 100.9375]
[84.1875, 18.0625, 108.25]
[89.75, 26.75, 116.0]
[89.75, 26.75, 116.0]
[89.75, 26.75, 116.0]
[89.75, 26.75, 116.0]
[95.3125, 34.9375, 121.1875]
[95.3125, 34.9375, 121.1875]
[88.5, 37.5, 125.9375]
[88.5, 37.5, 125.9375]
[76.125, 39.0625, 125.875]
[69.8125, 43.5625, 123.3125]
[69.8125, 43.5625, 123.3125]
[66.9375, 46.0, 119.625]
[66.9375, 46.0, 119.625]
[61.75, 44.75, 115.9375]
[61.75, 44.75, 115.9375]
[52.0, 40.5, 110.1875]
[52.0, 40.5, 110.1875]
[52.0, 40.5, 110.1875]
[42.4375, 35.0, 94.8125]
[42.4375, 35.0, 94.8125]
[42.4375, 35.0, 94.8125]
[37.1875, 29.1875, 90.4375]
[37.1875, 29.1875, 90.4375]
[37.1875, 29.1875, 90.4375]
[31.125, 23.6875, 83.3125]
[26.3125, 18.75, 76.375]
[26.3125, 18.75, 76.375]
[17.875, 17.5625, 72.0625]
[17.875, 17.5625, 72.0625]
[11.4375, 18.625, 66.8125]
[12.4375, 19.4375, 59.75]
[12.4375, 19.4375, 59.75]
[12.4375, 19.4375, 59.75]
[6.5, 13.4375, 52.1875]
[6.5, 13.4375, 52.1875]
[6.5, 13.4375, 52.1875]
[-5.9375, 3.375, 48.3125]
[-5.9375, 3.375, 48.3125]
[-6.0625, 3.3125, 49.9375]
[-4.9375, 7.5625, 45.6875]
[-4.9375, 7.5625, 45.6875]
[-16.5625, 6.3125, 40.0]
[-16.5625, 6.3125, 40.0]
[-16.5625, 6.3125, 40.0]
[-17.5, -0.25, 37.375]
[-14.5, 0.4375, 33.625]
[-14.5, 0.4375, 33.625]
[-14.5, 0.4375, 33.625]
[-14.5, 0.4375, 33.625]
[-15.25, -1.5, 22.5625]
[-9.9375, 0.75, 15.375]
[-9.9375, 0.75, 15.375]
[-9.9375, 0.75, 15.375]
[-12.5, 1.75, 9.4375]
[-12.5, 1.75, 9.4375]
[-12.5, 1.75, 9.4375]
[-15.875, 3.125, 4.5625]
[-12.9375, 3.6875, 0.5]
[-12.9375, 3.6875, 0.5]
[-7.3125, 4.625, -1.625]
[-7.3125, 3.75, -2.625]
[-7.3125, 3.75, -2.625]
[-7.3125, 3.75, -2.625]
[-11.3125, 3.625, -1.625]
[-11.3125, 3.625, -1.625]
[-11.3125, 3.625, -1.625]
[-7.75, 6.9375, -0.0625]
[-7.75, 6.9375, -0.0625]
[-7.75, 6.9375, -0.0625]
[3.8125, 3.375, 3.125]
[3.8125, 3.375, 3.125]
[3.8125, 3.375, 3.125]
[-7.5625, 4.1875, -1.5625]
[-7.5625, 4.1875, -1.5625]
[-7.5625, 4.1875, -1.5625]
[-3.1875, 3.5, -1.6875]
[-3.1875, 3.5, -1.6875]
[-7.125, 1.8125, -3.375]
[-7.125, 1.8125, -3.375]
[-10.5, -0.4375, -8.625]
[-12.1875, -1.6875, -15.9375]
[-12.1875, -1.6875, -15.9375]
[-12.1875, -1.6875, -15.9375]
[-10.9375, -2.875, -27.0]
[-10.9375, -2.875, -27.0]
[-10.9375, -2.875, -27.0]
[-8.75, -8.4375, -38.875]
[-6.5, -13.1875, -58.1875]
[-6.5, -13.1875, -58.1875]
[5.9375, -21.5, -78.9375]
[5.9375, -21.5, -78.9375]
[5.9375, -21.5, -78.9375]
[-29.3125, -53.1875, -124.5625]
[-29.3125, -53.1875, -124.5625]
[-29.3125, -53.1875, -124.5625]
[-29.3125, -53.1875, -124.5625]
[-53.0, -64.6875, -148.5]
[-53.0, -64.6875, -148.5]
[-53.0, -64.6875, -148.5]
[-53.0, -64.6875, -148.5]
[-62.25, -70.0625, -170.9375]
[-64.8125, -72.25, -186.25]
[-64.8125, -72.25, -186.25]
[-64.125, -72.125, -188.9375]
[-88.5625, -64.5, -181.625]
[-88.5625, -64.5, -181.625]
[-60.875, -56.8125, -161.125]
[-60.875, -56.8125, -161.125]
[-60.875, -56.8125, -161.125]
[-49.1875, -51.0, -139.9375]
[-72.3125, -43.4375, -125.75]
[-72.3125, -43.4375, -125.75]
[-80.375, -31.0, -107.375]
[-80.375, -31.0, -107.375]
[-80.375, -31.0, -107.375]
[-64.8125, -18.125, -90.75]
[-64.8125, -18.125, -90.75]
[-49.8125, -11.9375, -76.125]
[-49.8125, -11.9375, -76.125]
[-51.0, -6.4375, -61.4375]
[-51.0, -6.4375, -61.4375]
[-51.0, -6.4375, -61.4375]
[-50.125, 5.9375, -42.6875]
[-50.125, 5.9375, -42.6875]
[-50.125, 5.9375, -42.6875]
[-42.5625, 7.8125, -36.8125]
[-42.5625, 7.8125, -36.8125]
[-43.1875, 9.4375, -32.9375]
[-39.125, 13.125, -30.3125]
[-39.125, 13.125, -30.3125]
[-39.125, 13.125, -30.3125]
[-33.0625, 18.125, -22.75]
[-33.0625, 18.125, -22.75]
[-32.875, 17.4375, -13.9375]
[-32.5625, 19.8125, -3.9375]
[-32.5625, 19.8125, -3.9375]
[-26.375, 26.6875, 4.0625]
[-26.375, 26.6875, 4.0625]
[-26.375, 26.6875, 4.0625]
[-21.1875, 26.1875, 7.0625]
[-21.1875, 26.1875, 7.0625]
[-14.375, 16.8125, 8.4375]
[-7.5625, 10.625, 8.875]
[-7.5625, 10.625, 8.875]
[-7.5625, 10.625, 8.875]
[-10.625, 9.625, 5.0]
[-10.625, 9.625, 5.0]
[-10.0625, 8.75, 1.25]
[-8.0, 7.0625, 0.625]
[-8.0, 7.0625, 0.625]
[-8.0, 7.0625, 0.625]
[-8.1875, 5.625, 0.0]
[-1.9375, 4.8125, 1.4375]
[-1.9375, 4.8125, 1.4375]
[0.625, 2.5625, 1.4375]
[0.625, 2.5625, 1.4375]
[0.625, 2.5625, 1.4375]
[0.25, 0.1875, 1.125]
[4.0, -0.125, 0.9375]
[4.0, -0.125, 0.9375]
[6.1875, -1.3125, 1.375]
[6.1875, -1.3125, 1.375]
[10.25, -3.4375, 2.5]
[10.25, -3.4375, 2.5]
[10.875, -5.875, 2.6875]
[10.875, -5.875, 2.6875]
[10.3125, -8.5625, 1.625]
[10.3125, -8.5625, 1.625]
[11.8125, -9.125, 1.8125]
[11.8125, -9.125, 1.8125]
[11.8125, -9.125, 1.8125]
[14.875, -8.5625, 3.75]
[16.125, -8.4375, 6.0]
[16.125, -8.4375, 6.0]
[17.125, -7.9375, 7.875]
[17.125, -7.9375, 7.875]
[17.125, -7.9375, 7.875]
[17.125, -7.9375, 7.875]
[17.875, -6.875, 9.375]
[20.5, -10.875, 13.25]
[20.5, -10.875, 13.25]
[25.1875, -15.25, 18.3125]
[25.1875, -15.25, 18.3125]
[25.1875, -15.25, 18.3125]
[46.3125, -15.375, 32.0]
[46.3125, -15.375, 32.0]
[37.5, -16.3125, 38.625]
[37.5, -16.3125, 38.625]
[37.5, -16.3125, 38.625]
[47.6875, -11.1875, 45.5625]
[62.0, -7.0625, 53.8125]
[62.0, -7.0625, 53.8125]
[62.0, -7.0625, 53.8125]
[60.5, -5.9375, 61.25]
[60.5, -5.9375, 61.25]
[61.8125, -0.5625, 65.8125]
[61.8125, -0.5625, 65.8125]
[63.1875, 10.5625, 69.5625]
[63.6875, 20.75, 76.0]
[63.6875, 20.75, 76.0]
[63.6875, 20.75, 76.0]
[67.5, 25.875, 80.75]
[68.9375, 22.75, 81.75]
[68.9375, 22.75, 81.75]
[67.0625, 21.0, 82.625]
[67.0625, 21.0, 82.625]
[67.0625, 21.0, 82.625]
[67.0625, 21.0, 82.625]
[70.0, 25.625, 83.375]
[70.0, 25.625, 83.375]
[69.5, 32.0, 82.8125]
[69.5, 32.0, 82.8125]
[61.4375, 35.25, 82.8125]
[61.4375, 35.25, 82.8125]
[52.625, 32.0, 80.4375]
[52.625, 32.0, 80.4375]
[52.625, 32.0, 80.4375]
[52.625, 32.0, 80.4375]
[52.625, 32.0, 80.4375]
[48.125, 29.8125, 79.5625]
[48.125, 29.8125, 79.5625]
[48.125, 29.8125, 79.5625]
[47.0, 29.75, 76.8125]
[47.0, 29.75, 76.8125]
[33.875, 25.8125, 73.3125]
[35.9375, 24.5, 71.0625]
[35.9375, 24.5, 71.0625]
[34.625, 23.5, 70.3125]
[28.0625, 24.8125, 67.6875]
[28.0625, 24.8125, 67.6875]
[28.0625, 24.8125, 67.6875]
[25.5, 26.3125, 63.9375]
[25.5, 26.3125, 63.9375]
[23.5, 25.4375, 61.5625]
[20.3125, 25.375, 58.5625]
[20.3125, 25.375, 58.5625]
[20.3125, 25.375, 58.5625]
[17.5625, 24.0625, 55.625]
[17.5625, 24.0625, 55.625]
[17.5625, 24.0625, 55.625]
[11.875, 21.4375, 49.0625]
[11.875, 21.4375, 49.0625]
[1.875, 13.1875, 46.1875]
[8.875, 10.125, 47.125]
[8.875, 10.125, 47.125]
[15.1875, 8.3125, 44.125]
[15.1875, 8.3125, 44.125]
[-3.25, 7.875, 36.5625]
[-3.25, 7.875, 36.5625]
[-5.625, 5.8125, 29.4375]
[-5.625, 5.8125, 29.4375]
[-5.625, 5.8125, 29.4375]
[0.375, 9.1875, 21.5]
[0.375, 9.1875, 21.5]
[-9.5625, 9.75, 12.3125]
[-9.5625, 9.75, 12.3125]
[-9.5625, 9.75, 12.3125]
[-11.0625, 5.4375, 9.1875]
[-6.5, 5.0, 3.875]
[-6.5, 5.0, 3.875]
[-7.125, 2.1875, 1.5]
[-7.125, 2.1875, 1.5]
[-7.125, 2.1875, 1.5]
[-8.6875, 0.375, -1.0625]
[-5.0625, -1.875, -3.3125]
[-5.0625, -1.875, -3.3125]
[-5.0625, -1.875, -3.3125]
[-7.375, -5.8125, -2.3125]
[-7.375, -5.8125, -2.3125]
[-7.375, -5.8125, -2.3125]
[-8.5, -6.0, -1.3125]
[-11.0625, -4.125, -2.0625]
[-11.0625, -4.125, -2.0625]
[-6.9375, 0.1875, -1.5]
[-6.9375, 0.1875, -1.5]
[-6.9375, 0.1875, -1.5]
[-7.9375, -1.3125, 0.8125]
[-7.9375, -1.3125, 0.8125]
[-7.9375, -1.3125, 0.8125]
[-8.0625, -1.0, -0.5625]
[-8.0625, -1.0, -0.5625]
[-9.5625, -1.0625, -4.5625]
[-9.5625, -1.0625, -4.5625]
[-12.625, -1.0625, -9.375]
[-18.4375, 1.25, -19.3125]
[-18.4375, 1.25, -19.3125]
[-13.6875, 4.0, -32.6875]
[-13.6875, 4.0, -32.6875]
[-10.125, 0.3125, -47.1875]
[-10.125, 0.3125, -47.1875]
[-6.5625, -8.875, -58.625]
[-6.5625, -8.875, -58.625]
[-4.3125, -21.8125, -70.8125]
[-4.3125, -21.8125, -70.8125]
[-19.0625, -35.9375, -85.5625]
[-19.0625, -35.9375, -85.5625]
[-28.8125, -45.3125, -100.9375]
[-28.8125, -45.3125, -100.9375]
[-28.8125, -45.3125, -100.9375]
[-28.8125, -45.3125, -100.9375]
[-33.125, -49.5, -120.75]
[-41.4375, -55.75, -139.6875]
[-41.4375, -55.75, -139.6875]
[-41.4375, -55.75, -139.6875]
[-54.5, -64.4375, -148.375]
[-54.5, -64.4375, -148.375]
[-67.1875, -55.9375, -154.5]
[-67.1875, -55.9375, -154.5]
[-61.625, -53.0625, -153.1875]
[-61.625, -53.0625, -153.1875]
[-71.5625, -54.875, -144.75]
[-71.5625, -54.875, -144.75]
[-71.9375, -50.0625, -133.375]
[-71.9375, -50.0625, -133.375]
[-71.9375, -50.0625, -133.375]
[-70.125, -44.375, -122.25]
[-70.125, -44.375, -122.25]
[-70.125, -44.375, -122.25]
[-66.5625, -41.3125, -111.0625]
[-66.5625, -41.3125, -111.0625]
[-66.5625, -41.3125, -111.0625]
[-56.125, -28.8125, -81.25]
[-56.125, -28.8125, -81.25]
[-49.625, -20.125, -71.3125]
[-49.625, -20.125, -71.3125]
[-49.625, -20.125, -71.3125]
[-49.625, -20.125, -71.3125]
[-69.0625, -14.0625, -51.875]
[-69.0625, -14.0625, -51.875]
[-53.4375, -6.0, -38.375]
[-53.4375, -6.0, -38.375]
[-53.4375, -6.0, -38.375]
[-53.4375, -6.0, -38.375]
[-29.875, -4.5, -21.6875]
[-29.875, -4.5, -21.6875]
[-29.875, -4.5, -21.6875]
[-29.875, -4.5, -21.6875]
[-29.875, -4.5, -21.6875]
[-18.125, 18.375, 1.375]
