[15.875, -98.0625, 71.1875]
[16.1875, -87.3125, 21.75]
[16.1875, -87.3125, 21.75]
[-20.9375, -92.0625, 9.9375]
[-20.9375, -92.0625, 9.9375]
[-20.9375, -92.0625, 9.9375]
[-20.9375, -92.0625, 9.9375]
[-20.9375, -92.0625, 9.9375]
[-12.8125, -75.125, -9.25]
[-12.8125, -75.125, -9.25]
[-12.8125, -75.125, -9.25]
[-12.8125, -75.125, -9.25]
[-12.625, -67.375, -10.625]
[-12.625, -67.375, -10.625]
[-12.625, -67.375, -10.625]
[-35.25, -55.3125, -13.0625]
[-35.25, -55.3125, -13.0625]
[-35.25, -55.3125, -13.0625]
[-35.25, -55.3125, -13.0625]
[-33.5625, -27.75, -15.5]
[-33.5625, -27.75, -15.5]
[-34.375, -20.5625, -15.625]
[-34.375, -20.5625, -15.625]
[-34.375, -20.5625, -15.625]
[-34.375, -20.5625, -15.625]
[-51.25, -8.125, -15.875]
[-51.25, -8.125, -15.875]
[-41.5625, -5.375, -10.875]
[-41.5625, -5.375, -10.875]
[-41.5625, -5.375, -10.875]
[-41.5625, -5.375, -10.875]
[-41.5625, -5.375, -10.875]
[-49.8125, -1.75, -12.0]
[-49.8125, -1.75, -12.0]
[-49.8125, -1.75, -12.0]
[-45.0, 2.75, -9.5625]
[-45.0, 2.75, -9.5625]
[-45.0, 2.75, -9.5625]
[-10.1875, 8.4375, 7.8125]
[-10.1875, 8.4375, 7.8125]
[-10.1875, 8.4375, 7.8125]
[-10.1875, 8.4375, 7.8125]
[-0.875, 2.4375, 7.25]
[-0.875, 2.4375, 7.25]
[-0.875, 2.4375, 7.25]
[-0.875, 2.4375, 7.25]
[-0.875, 2.4375, 7.25]
[4.125, -3.25, -3.375]
[4.125, -3.25, -3.375]
[6.75, -3.25, -3.25]
[6.75, -3.25, -3.25]
[6.75, -3.25, -3.25]
[6.75, -3.25, -3.25]
[14.375, -4.25, 3.25]
[14.375, -4.25, 3.25]
[14.9375, -2.5, 2.375]
[14.9375, -2.5, 2.375]
[14.9375, -2.5, 2.375]
[14.9375, -2.5, 2.375]
[18.5, -11.125, -1.8125]
[18.5, -11.125, -1.8125]
[23.6875, -10.8125, -4.125]
[23.6875, -10.8125, -4.125]
[23.6875, -10.8125, -4.125]
[23.6875, -10.8125, -4.125]
[18.25, 12.75, -9.1875]
[18.25, 12.75, -9.1875]
[18.25, 12.75, -9.1875]
[23.625, 30.5625, -7.0625]
[23.625, 30.5625, -7.0625]
[23.625, 30.5625, -7.0625]
[48.375, 48.4375, 17.375]
[48.375, 48.4375, 17.375]
[48.375, 48.4375, 17.375]
[66.125, 64.9375, 43.25]
[66.125, 64.9375, 43.25]
[66.125, 64.9375, 43.25]
[94.375, 111.75, 95.875]
[94.375, 111.75, 95.875]
[94.375, 111.75, 95.875]
[94.375, 111.75, 95.875]
[94.375, 111.75, 95.875]
[94.375, 111.75, 95.875]
[157.4375, 151.625, 226.6875]
[157.4375, 151.625, 226.6875]
[157.4375, 151.625, 226.6875]
[171.75, 164.9375, 251.8125]
[171.75, 164.9375, 251.8125]
[171.75, 164.9375, 251.8125]
[171.75, 164.9375, 251.8125]
[171.75, 164.9375, 251.8125]
[194.125, 174.75, 270.25]
[194.125, 174.75, 270.25]
[194.125, 174.75, 270.25]
[194.125, 174.75, 270.25]
[164.25, 161.8125, 238.625]
[164.25, 161.8125, 238.625]
[164.25, 161.8125, 238.625]
[156.0625, 149.1875, 213.25]
[156.0625, 149.1875, 213.25]
[156.0625, 149.1875, 213.25]
[98.5625, 113.4375, 153.1875]
[98.5625, 113.4375, 153.1875]
[98.5625, 113.4375, 153.1875]
[75.625, 91.3125, 124.75]
[75.625, 91.3125, 124.75]
[75.625, 91.3125, 124.75]
[31.4375, 45.375, 60.3125]
[31.4375, 45.375, 60.3125]
[31.4375, 45.375, 60.3125]
[31.4375, 45.375, 60.3125]
[31.4375, 45.375, 60.3125]
[31.4375, 45.375, 60.3125]
[-39.4375, -37.0, -68.3125]
[-39.4375, -37.0, -68.3125]
[-39.4375, -37.0, -68.3125]
[-59.0625, -70.75, -127.1875]
[-59.0625, -70.75, -127.1875]
[-59.0625, -70.75, -127.1875]
[-59.0625, -70.75, -127.1875]
[-112.4375, -124.875, -276.625]
[-141.625, -145.6875, -366.125]
[-141.625, -145.6875, -366.125]
[-173.75, -153.75, -461.375]
[-173.75, -153.75, -461.375]
[-173.75, -153.75, -461.375]
[-217.25, -134.625, -642.4375]
[-217.25, -134.625, -642.4375]
[-219.875, -113.5625, -698.4375]
[-219.875, -113.5625, -698.4375]
[-219.875, -113.5625, -698.4375]
[-203.875, -96.5, -729.6875]
[-203.875, -96.5, -729.6875]
[-156.8125, -91.9375, -736.25]
[-156.8125, -91.9375, -736.25]
[-156.8125, -91.9375, -736.25]
[-99.5, -105.0625, -654.6875]
[-20.8125, -91.125, -603.5]
[-20.8125, -91.125, -603.5]
[-112.8125, -100.6875, -548.5625]
[-112.8125, -100.6875, -548.5625]
[-112.8125, -100.6875, -548.5625]
[-77.5625, -26.375, -346.25]
[-77.5625, -26.375, -346.25]
[-136.1875, -18.375, -251.25]
[-136.1875, -18.375, -251.25]
[-126.8125, -10.0, -153.5]
[-126.8125, -10.0, -153.5]
[-73.0625, -5.625, -83.375]
[-73.0625, -5.625, -83.375]
[-23.75, 2.375, -50.9375]
[-23.75, 2.375, -50.9375]
[6.5625, 12.3125, -24.125]
[6.5625, 12.3125, -24.125]
[1.3125, 18.5, 10.875]
[1.3125, 18.5, 10.875]
[-25.1875, 22.5625, 50.375]
[-25.1875, 22.5625, 50.375]
[-46.75, 26.1875, 88.625]
[-46.75, 26.1875, 88.625]
[-52.6875, 30.25, 130.4375]
[-52.6875, 30.25, 130.4375]
[-64.5, 31.25, 170.5625]
[-64.5, 31.25, 170.5625]
[-60.9375, 25.6875, 208.1875]
[-60.9375, 25.6875, 208.1875]
[-28.0, 14.5625, 236.5625]
[-28.0, 14.5625, 236.5625]
[23.375, 6.6875, 257.5625]
[23.375, 6.6875, 257.5625]
