[-134.625, -149.4375, -74.75]
[-134.625, -149.4375, -74.75]
[-117.75, -127.375, -52.8125]
[-117.75, -127.375, -52.8125]
[-93.5, -108.375, -37.125]
[-93.5, -108.375, -37.125]
[-101.3125, -92.9375, -29.0625]
[-101.3125, -92.9375, -29.0625]
[-101.3125, -92.9375, -29.0625]
[-101.3125, -92.9375, -29.0625]
[-88.1875, -67.6875, -20.25]
[-88.1875, -67.6875, -20.25]
[-88.1875, -67.6875, -20.25]
[-56.4375, -30.0625, -2.4375]
[-56.4375, -30.0625, -2.4375]
[-47.5625, -19.75, -0.0625]
[-43.0625, -13.1875, 0.3125]
[-43.0625, -13.1875, 0.3125]
[-41.6875, -10.0625, -0.5]
[-41.6875, -10.0625, -0.5]
[-41.6875, -10.0625, -0.5]
[-28.5625, 9.125, 4.9375]
[-28.5625, 9.125, 4.9375]
[-28.5625, 9.125, 4.9375]
[-11.25, 10.875, -0.375]
[-11.25, 10.875, -0.375]
[-11.75, -1.875, 0.375]
[-11.75, -1.875, 0.375]
[-11.75, -1.875, 0.375]
[-11.75, -1.875, 0.375]
[3.625, -4.375, 3.8125]
[3.625, -4.375, 3.8125]
[7.5625, -2.3125, 6.0]
[7.5625, -2.3125, 6.0]
[6.6875, -1.375, 6.25]
[6.6875, -1.375, 6.25]
[-2.125, -2.4375, -1.8125]
[-2.125, -2.4375, -1.8125]
[-3.5, -2.625, -2.25]
[-3.5, -2.625, -2.25]
[-3.5, -2.625, -2.25]
[2.625, -4.1875, -0.625]
[2.625, -4.1875, -0.625]
[5.25, -5.125, 1.9375]
[5.25, -5.125, 1.9375]
[7.1875, -4.25, 2.625]
[7.1875, -4.25, 2.625]
[4.375, -6.4375, -0.9375]
[4.375, -6.4375, -0.9375]
[4.375, -6.4375, -0.9375]
[7.3125, -5.6875, -1.1875]
[7.3125, -5.6875, -1.1875]
[7.3125, -5.6875, -1.1875]
[9.75, -3.9375, 1.8125]
[10.5, -1.8125, 4.125]
[10.5, -1.8125, 4.125]
[13.125, -2.4375, 0.9375]
[14.125, -4.5, -2.9375]
[14.125, -4.5, -2.9375]
[17.1875, -2.4375, -5.375]
[17.1875, -2.4375, -5.375]
[17.1875, -2.4375, -5.375]
[18.625, 2.5625, -8.125]
[18.625, 2.5625, -8.125]
[18.625, 2.5625, -8.125]
[26.0625, 39.6875, -18.25]
[26.0625, 39.6875, -18.25]
[23.375, 63.5, -21.3125]
[23.375, 63.5, -21.3125]
[32.375, 87.9375, -26.0625]
[49.6875, 114.0625, -27.25]
[49.6875, 114.0625, -27.25]
[49.6875, 114.0625, -27.25]
[56.75, 140.9375, -20.625]
[56.75, 140.9375, -20.625]
[63.8125, 168.25, -12.9375]
[63.8125, 168.25, -12.9375]
[72.8125, 193.25, -7.8125]
[85.875, 214.875, 4.4375]
[85.875, 214.875, 4.4375]
[85.875, 214.875, 4.4375]
[86.6875, 227.4375, 20.1875]
[76.375, 232.75, 34.0625]
[76.375, 232.75, 34.0625]
[80.5625, 236.375, 48.3125]
[80.5625, 236.375, 48.3125]
[80.5625, 236.375, 48.3125]
[102.5, 245.875, 62.875]
[120.125, 252.5, 72.75]
[120.125, 252.5, 72.75]
[120.125, 252.5, 72.75]
[122.0625, 248.6875, 77.875]
[122.0625, 248.6875, 77.875]
