[-32.9375, 26.5, 2.25]
[-28.8125, 20.9375, 0.5]
[-28.8125, 20.9375, 0.5]
[-21.1875, 17.1875, -1.3125]
[-21.1875, 17.1875, -1.3125]
[-17.375, 12.6875, 1.25]
[-13.5625, 7.125, 2.875]
[-13.5625, 7.125, 2.875]
[-5.5625, 2.0, 2.1875]
[-5.5625, 2.0, 2.1875]
[-5.5625, 2.0, 2.1875]
[-5.5625, 2.0, 2.1875]
[-5.5625, 2.0, 2.1875]
[2.8125, -2.125, 1.1875]
[2.8125, -2.125, 1.1875]
[5.0625, -7.0, 8.0625]
[10.125, -7.9375, 8.3125]
[10.125, -7.9375, 8.3125]
[14.625, -8.375, 7.6875]
[14.625, -8.375, 7.6875]
[17.125, -9.75, 7.375]
[17.125, -9.75, 7.375]
[15.6875, -9.9375, 6.8125]
[15.6875, -9.9375, 6.8125]
[14.9375, -12.3125, 6.9375]
[14.9375, -12.3125, 6.9375]
[15.25, -13.6875, 6.625]
[15.25, -13.6875, 6.625]
[17.9375, -14.1875, 6.6875]
[17.9375, -14.1875, 6.6875]
[19.4375, -15.6875, 7.3125]
[19.4375, -15.6875, 7.3125]
[18.875, -18.5, 7.4375]
[18.875, -18.5, 7.4375]
[20.9375, -19.375, 7.8125]
[20.9375, -19.375, 7.8125]
[26.875, -18.25, 8.0625]
[30.875, -18.375, 7.875]
[30.875, -18.375, 7.875]
[30.875, -18.375, 7.875]
[33.75, -19.5, 8.1875]
[33.75, -19.5, 8.1875]
[36.0, -21.875, 8.375]
[41.4375, -22.375, 9.0625]
[41.4375, -22.375, 9.0625]
[41.4375, -22.375, 9.0625]
[46.6875, -20.6875, 9.4375]
[46.6875, -20.6875, 9.4375]
[48.125, -16.25, 12.5625]
[48.125, -12.625, 16.125]
[48.125, -12.625, 16.125]
[48.125, -12.625, 16.125]
[44.8125, -11.0625, 20.3125]
[44.8125, -11.0625, 20.3125]
[52.0625, -5.9375, 28.125]
[60.5, 1.5625, 47.8125]
[60.5, 1.5625, 47.8125]
[60.5, 1.5625, 47.8125]
[78.625, 12.125, 71.3125]
[78.625, 12.125, 71.3125]
[100.75, 27.4375, 91.6875]
[108.875, 33.4375, 121.1875]
[108.875, 33.4375, 121.1875]
[108.875, 33.4375, 121.1875]
[120.0, 38.125, 157.0625]
[120.0, 38.125, 157.0625]
[121.5625, 44.9375, 193.0]
[99.875, 48.4375, 218.4375]
[99.875, 48.4375, 218.4375]
[99.875, 48.4375, 218.4375]
[102.25, 61.4375, 238.125]
[102.25, 61.4375, 238.125]
[112.5, 76.0, 242.625]
[116.375, 84.1875, 239.375]
[116.375, 84.1875, 239.375]
[116.375, 84.1875, 239.375]
[99.4375, 77.6875, 224.625]
[99.4375, 77.6875, 224.625]
[71.4375, 56.875, 207.5625]
[49.0, 34.25, 182.6875]
[49.0, 34.25, 182.6875]
[49.0, 34.25, 182.6875]
[22.5, 12.125, 148.8125]
[22.5, 12.125, 148.8125]
[-10.9375, -4.3125, 108.75]
[-23.3125, -4.1875, 61.6875]
[-23.3125, -4.1875, 61.6875]
[-23.3125, -4.1875, 61.6875]
[-39.8125, -9.8125, 9.0]
[-39.8125, -9.8125, 9.0]
[-63.0, -30.1875, -38.25]
[-99.75, -47.6875, -84.0]
[-99.75, -47.6875, -84.0]
[-99.75, -47.6875, -84.0]
[-135.375, -56.125, -128.125]
[-135.375, -56.125, -128.125]
[-131.75, -52.3125, -174.125]
[-124.875, -51.0625, -214.9375]
[-124.875, -51.0625, -214.9375]
[-133.0625, -55.5625, -243.4375]
[-133.0625, -55.5625, -243.4375]
[-133.0625, -55.5625, -243.4375]
[-135.125, -61.5625, -246.875]
[-135.125, -61.5625, -246.875]
[-143.0625, -59.625, -246.0]
[-132.4375, -54.75, -245.875]
[-132.4375, -54.75, -245.875]
[-132.4375, -54.75, -245.875]
[-51.6875, -43.3125, -238.9375]
[-51.6875, -43.3125, -238.9375]
[-14.5, -36.625, -217.0625]
[-42.6875, -44.375, -183.875]
[-42.6875, -44.375, -183.875]
[-42.6875, -44.375, -183.875]
[-67.6875, -32.9375, -142.8125]
[-67.6875, -32.9375, -142.8125]
[-39.875, -21.5625, -120.125]
[-15.4375, -14.0, -87.9375]
[-15.4375, -14.0, -87.9375]
