[-27.3125, -62.25, 13.4375]
[-27.0, -54.25, 18.25]
[-27.0, -54.25, 18.25]
[-3.3125, -15.9375, 27.75]
[-3.3125, -15.9375, 27.75]
[25.0, 15.75, 20.9375]
[25.0, 15.75, 20.9375]
[-11.9375, 10.125, 9.125]
[-11.9375, 10.125, 9.125]
[-30.8125, -3.1875, 0.0]
[-30.8125, -3.1875, 0.0]
[-7.375, -5.6875, -1.25]
[-7.375, -5.6875, -1.25]
[11.4375, -6.9375, 1.25]
[11.4375, -6.9375, 1.25]
[3.6875, -8.0, 2.3125]
[1.0, -8.3125, 2.5625]
[1.0, -8.3125, 2.5625]
[4.0625, -7.625, 1.25]
[4.0625, -7.625, 1.25]
[2.3125, -6.8125, 0.0625]
[2.3125, -6.8125, 0.0625]
[-0.875, -6.5, -0.25]
[-0.875, -6.5, -0.25]
[0.0, -3.9375, 0.375]
[0.0, -3.9375, 0.375]
[1.5, -0.125, -0.375]
[1.5, -0.125, -0.375]
[5.3125, 1.9375, -0.25]
[5.3125, 1.9375, -0.25]
[8.4375, 2.0625, -1.625]
[8.4375, 2.0625, -1.625]
[8.0625, 4.375, -3.875]
[8.0625, 4.375, -3.875]
[8.0625, 4.375, -3.875]
[6.625, 12.9375, -5.875]
[12.5, 32.1875, -7.25]
[12.5, 32.1875, -7.25]
[12.5, 32.1875, -7.25]
[18.6875, 61.5, -6.0]
[20.875, 98.125, -3.0]
[20.875, 98.125, -3.0]
[20.0, 140.125, -2.6875]
[20.0, 140.125, -2.6875]
[20.0, 140.125, -2.6875]
[26.6875, 175.75, -3.6875]
[40.625, 206.8125, -1.6875]
[40.625, 206.8125, -1.6875]
[42.9375, 230.75, 11.25]
[42.9375, 230.75, 11.25]
[72.0, 258.875, 20.9375]
[72.0, 258.875, 20.9375]
[96.0625, 284.375, 20.625]
[96.0625, 284.375, 20.625]
[95.9375, 299.6875, 21.6875]
[95.9375, 299.6875, 21.6875]
[112.0, 318.0, 38.125]
[112.0, 318.0, 38.125]
[127.9375, 331.4375, 46.875]
[142.4375, 334.75, 44.625]
[142.4375, 334.75, 44.625]
[142.4375, 334.75, 44.625]
[149.875, 330.6875, 32.875]
[149.875, 330.6875, 32.875]
[157.75, 320.8125, 30.25]
[128.125, 312.125, 23.0625]
[128.125, 312.125, 23.0625]
[128.125, 312.125, 23.0625]
[129.5, 298.9375, 21.4375]
[112.375, 285.3125, 9.0625]
[112.375, 285.3125, 9.0625]
[110.875, 272.9375, -10.4375]
[110.875, 272.9375, -10.4375]
[91.9375, 252.375, -39.625]
[91.9375, 252.375, -39.625]
[75.375, 229.0625, -62.1875]
[75.375, 229.0625, -62.1875]
[39.8125, 200.5625, -76.8125]
[39.8125, 200.5625, -76.8125]
[3.6875, 161.9375, -88.625]
[3.6875, 161.9375, -88.625]
[-44.375, 115.3125, -83.625]
[-44.375, 115.3125, -83.625]
[-99.9375, 64.8125, -72.9375]
[-99.9375, 64.8125, -72.9375]
[-147.1875, 20.5625, -61.0625]
[-147.1875, 20.5625, -61.0625]
[-144.125, -3.0625, -28.8125]
[-144.125, -3.0625, -28.8125]
[-76.25, -28.4375, 23.5]
[-76.25, -28.4375, 23.5]
[22.3125, -76.625, 83.125]
[22.3125, -76.625, 83.125]
[93.4375, -125.5, 151.875]
[101.4375, -152.9375, 196.4375]
[101.4375, -152.9375, 196.4375]
