[-29.75, -114.4375, 15.1875]
[-29.75, -114.4375, 15.1875]
[-34.875, -96.3125, 14.0625]
[-51.0625, -82.0, 14.625]
[-51.0625, -82.0, 14.625]
[-57.5, -63.9375, 9.5]
[-57.5, -63.9375, 9.5]
[-48.5, -46.5625, 2.0]
[-44.5, -33.9375, -2.0625]
[-44.5, -33.9375, -2.0625]
[-44.5, -33.9375, -2.0625]
[-50.5, -26.125, -1.625]
[-50.5, -26.125, -1.625]
[-49.875, -24.0625, 2.8125]
[-35.625, -22.5625, 5.375]
[-35.625, -22.5625, 5.375]
[-25.125, -26.625, 0.625]
[-25.125, -26.625, 0.625]
[-25.125, -26.625, 0.625]
[-14.0, -32.8125, 0.875]
[1.3125, -23.1875, 16.25]
[1.3125, -23.1875, 16.25]
[12.6875, 7.0625, 19.5625]
[12.6875, 7.0625, 19.5625]
[12.6875, 7.0625, 19.5625]
[4.6875, 16.75, -4.125]
[-27.0625, 1.9375, -6.3125]
[-27.0625, 1.9375, -6.3125]
[-16.3125, -3.5625, -2.3125]
[-16.3125, -3.5625, -2.3125]
[-16.3125, -3.5625, -2.3125]
[7.4375, -2.1875, -3.5625]
[11.0, 0.4375, -1.375]
[11.0, 0.4375, -1.375]
[5.25, -1.875, 4.125]
[5.25, -1.875, 4.125]
[0.8125, -4.125, 6.875]
[0.875, -6.5, 6.75]
[0.875, -6.5, 6.75]
[7.0, -6.8125, 7.75]
[7.0, -6.8125, 7.75]
[7.0, -6.8125, 7.75]
[11.1875, -4.125, 6.875]
[9.125, -4.375, 6.3125]
[9.125, -4.375, 6.3125]
[9.125, -4.375, 6.3125]
[7.5625, -11.125, 8.1875]
[7.5625, -11.125, 8.1875]
[17.1875, -12.625, 7.375]
[17.1875, -12.625, 7.375]
[35.125, -6.5, 9.625]
[44.0, 9.0, 16.0625]
[44.0, 9.0, 16.0625]
[39.5625, 31.25, 23.75]
[39.5625, 31.25, 23.75]
[33.6875, 57.125, 25.5625]
[33.6875, 57.125, 25.5625]
[42.5625, 88.3125, 23.6875]
[42.5625, 88.3125, 23.6875]
[64.125, 123.125, 26.5]
[64.125, 123.125, 26.5]
[92.0, 161.875, 30.375]
[92.0, 161.875, 30.375]
[100.0, 192.375, 30.75]
[100.0, 192.375, 30.75]
[71.6875, 216.875, 28.25]
[71.6875, 216.875, 28.25]
[30.4375, 232.1875, 30.75]
[30.4375, 232.1875, 30.75]
[17.0625, 242.75, 39.4375]
[17.0625, 242.75, 39.4375]
[23.25, 254.75, 43.8125]
[23.25, 254.75, 43.8125]
[27.625, 260.3125, 46.4375]
[27.625, 260.3125, 46.4375]
[26.375, 260.0625, 45.0625]
[26.375, 260.0625, 45.0625]
[28.0625, 254.875, 40.1875]
[28.0625, 254.875, 40.1875]
[22.625, 243.0, 34.625]
[22.625, 243.0, 34.625]
[15.5625, 226.75, 28.5625]
[15.5625, 226.75, 28.5625]
[9.4375, 209.9375, 23.75]
[9.4375, 209.9375, 23.75]
[4.375, 195.0, 12.25]
[4.375, 195.0, 12.25]
[3.125, 178.4375, -1.3125]
[4.4375, 154.25, -11.375]
[4.4375, 154.25, -11.375]
[-0.875, 129.0, -17.9375]
[-0.875, 129.0, -17.9375]
[-10.75, 107.1875, -20.625]
[-10.75, 107.1875, -20.625]
[-10.375, 91.625, -26.3125]
[-10.375, 91.625, -26.3125]
[-10.375, 91.625, -26.3125]
[-2.5, 79.75, -33.3125]
[-1.0, 50.8125, -49.25]
[-1.0, 50.8125, -49.25]
[-1.0, 50.8125, -49.25]
[-10.5, 36.9375, -61.5625]
[-10.5, 36.9375, -61.5625]
[-24.625, 22.5, -73.0625]
[-31.625, 8.875, -81.75]
[-31.625, 8.875, -81.75]
[-29.1875, 1.4375, -90.4375]
[-29.1875, 1.4375, -90.4375]
[-29.1875, 1.4375, -90.4375]
[-27.9375, -9.25, -98.9375]
[-27.9375, -9.25, -98.9375]
[-31.25, -19.0625, -103.4375]
[-39.0625, -24.875, -96.625]
[-39.0625, -24.875, -96.625]
[-45.25, -8.9375, -97.25]
[-45.25, -8.9375, -97.25]
[-30.9375, -1.8125, -112.375]
[-30.9375, -1.8125, -112.375]
[17.75, 4.0, -98.4375]
[17.75, 4.0, -98.4375]
[79.0, 25.3125, -63.3125]
[79.0, 25.3125, -63.3125]
[79.0, 25.3125, -63.3125]
[27.75, 13.4375, -57.0]
[-44.25, -14.3125, -28.3125]
[-44.25, -14.3125, -28.3125]
[-58.5, -14.375, -11.625]
[-58.5, -14.375, -11.625]
[-26.3125, -9.4375, -5.125]
[-26.3125, -9.4375, -5.125]
[6.0625, -13.625, -4.375]
[6.0625, -13.625, -4.375]
[10.1875, -13.3125, 1.125]
[10.1875, -13.3125, 1.125]
[-15.625, -10.125, -6.5625]
[-20.25, -10.125, -21.3125]
[-20.25, -10.125, -21.3125]
[-20.25, -10.125, -21.3125]
[5.5, -13.625, 1.75]
[55.875, -5.5, 0.25]
[55.875, -5.5, 0.25]
[49.6875, -8.125, -1.25]
[49.6875, -8.125, -1.25]
[23.0, -15.8125, -0.625]
[23.0, -15.8125, -0.625]
[15.1875, -28.6875, 5.0]
[2.125, -43.875, 10.6875]
[2.125, -43.875, 10.6875]
[2.125, -43.875, 10.6875]
[12.5, -50.5, 6.1875]
[12.5, -50.5, 6.1875]
[40.625, -57.8125, 0.0625]
[40.625, -57.8125, 0.0625]
[58.5, -71.5625, 1.625]
[58.5, -71.5625, 1.625]
[60.875, -92.0625, 7.4375]
[60.875, -92.0625, 7.4375]
[52.6875, -114.4375, 11.8125]
[55.375, -133.5625, 13.375]
[55.375, -133.5625, 13.375]
[55.375, -133.5625, 13.375]
[72.125, -145.125, 14.1875]
[72.125, -145.125, 14.1875]
[80.5625, -150.0, 15.1875]
[77.3125, -159.5625, 19.5]
[77.3125, -159.5625, 19.5]
[68.8125, -174.25, 23.5625]
[68.8125, -174.25, 23.5625]
[65.5, -188.75, 27.75]
[65.5, -188.75, 27.75]
[61.6875, -199.625, 27.625]
[61.6875, -199.625, 27.625]
[52.9375, -206.1875, 28.1875]
[52.9375, -206.1875, 28.1875]
[52.625, -216.75, 30.0625]
[52.625, -216.75, 30.0625]
[45.6875, -223.1875, 29.0]
[35.9375, -225.5, 26.5625]
[35.9375, -225.5, 26.5625]
[35.9375, -225.5, 26.5625]
[30.0, -214.6875, 25.8125]
[30.0, -214.6875, 25.8125]
[29.0625, -196.625, 30.8125]
[29.0625, -196.625, 30.8125]
[32.5625, -179.1875, 30.0]
[32.5625, -179.1875, 30.0]
[24.75, -166.6875, 22.6875]
[24.75, -166.6875, 22.6875]
[6.9375, -150.1875, 21.0]
[6.9375, -150.1875, 21.0]
[-2.4375, -125.6875, 23.25]
[-2.4375, -125.6875, 23.25]
[-5.75, -99.125, 21.8125]
[-26.6875, -79.8125, 20.875]
[-26.6875, -79.8125, 20.875]
[-45.8125, -61.875, 18.75]
[-45.8125, -61.875, 18.75]
[-44.125, -43.6875, 12.1875]
[-44.125, -43.6875, 12.1875]
[-42.6875, -29.3125, 6.375]
[-42.6875, -29.3125, 6.375]
[-36.625, -17.8125, 4.0625]
[-36.625, -17.8125, 4.0625]
[-36.5, -14.1875, 2.3125]
[-36.5, -14.1875, 2.3125]
[-41.25, -17.1875, 3.8125]
[-41.25, -17.1875, 3.8125]
[-38.25, -19.1875, 0.4375]
[-29.4375, -24.0, -0.5625]
