[-350.3125, -363.0, -145.125]
[-321.625, -361.8125, -143.8125]
[-321.625, -361.8125, -143.8125]
[-298.5, -351.625, -165.0]
[-298.5, -351.625, -165.0]
[-224.6875, -288.1875, -171.3125]
[-224.6875, -288.1875, -171.3125]
[-149.25, -235.9375, -139.25]
[-149.25, -235.9375, -139.25]
[-145.1875, -209.1875, -106.5]
[-145.1875, -209.1875, -106.5]
[-134.8125, -175.9375, -83.0625]
[-106.8125, -134.9375, -64.0625]
[-106.8125, -134.9375, -64.0625]
[-106.8125, -134.9375, -64.0625]
[-69.3125, -93.5, -39.9375]
[-69.3125, -93.5, -39.9375]
[-52.625, -58.5, -24.375]
[-47.3125, -39.5, -13.875]
[-47.3125, -39.5, -13.875]
[-47.3125, -39.5, -13.875]
[-47.5625, -29.0625, 1.25]
[-42.5625, -23.75, 7.375]
[-42.5625, -23.75, 7.375]
[-30.9375, -22.1875, 9.4375]
[-30.9375, -22.1875, 9.4375]
[-30.9375, -22.1875, 9.4375]
[-12.9375, -10.3125, 13.0]
[3.5, 6.875, 10.25]
[3.5, 6.875, 10.25]
[2.9375, 10.5, 3.1875]
[2.9375, 10.5, 3.1875]
[-16.125, 0.3125, -4.25]
[-16.125, 0.3125, -4.25]
[-10.4375, -7.625, -4.8125]
[-10.4375, -7.625, -4.8125]
[8.0625, -9.6875, -2.8125]
[8.0625, -9.6875, -2.8125]
[18.25, -10.4375, 0.0625]
[18.25, -10.4375, 0.0625]
[17.9375, -12.875, 0.5]
[17.9375, -12.875, 0.5]
[17.625, -18.6875, 1.125]
[17.625, -18.6875, 1.125]
[32.625, -24.1875, 4.9375]
[32.625, -24.1875, 4.9375]
[48.625, -21.9375, 21.3125]
[48.625, -21.9375, 21.3125]
[73.1875, -6.25, 46.75]
[73.1875, -6.25, 46.75]
[80.8125, 23.0625, 78.25]
[80.8125, 23.0625, 78.25]
[129.8125, 68.375, 124.875]
[129.8125, 68.375, 124.875]
[182.625, 112.1875, 164.4375]
[182.625, 112.1875, 164.4375]
[195.0625, 150.375, 207.5625]
[195.0625, 150.375, 207.5625]
[239.9375, 191.875, 261.625]
[239.9375, 191.875, 261.625]
[307.6875, 231.0, 292.5]
[307.6875, 231.0, 292.5]
[369.5, 242.5625, 303.0625]
[369.5, 242.5625, 303.0625]
[378.4375, 233.625, 298.0]
[312.625, 229.5, 286.8125]
[312.625, 229.5, 286.8125]
[245.8125, 236.3125, 256.8125]
[245.8125, 236.3125, 256.8125]
[208.0625, 241.4375, 202.375]
[208.0625, 241.4375, 202.375]
[181.9375, 205.6875, 152.625]
[181.9375, 205.6875, 152.625]
[181.9375, 205.6875, 152.625]
[156.8125, 161.5, 128.0625]
[156.8125, 161.5, 128.0625]
[93.75, 109.625, 121.375]
[52.3125, 70.4375, 110.4375]
[52.3125, 70.4375, 110.4375]
[52.3125, 70.4375, 110.4375]
[56.5, 50.875, 89.125]
[56.5, 50.875, 89.125]
[63.0, 41.625, 64.5]
[63.0, 41.625, 64.5]
[36.8125, 27.875, 53.875]
[36.8125, 27.875, 53.875]
[6.875, 13.5, 45.5]
[6.875, 13.5, 45.5]
[9.125, 12.375, 35.6875]
[9.125, 12.375, 35.6875]
[23.5, 15.6875, 24.4375]
[23.5, 15.6875, 24.4375]
[17.9375, 14.4375, 12.4375]
[17.9375, 14.4375, 12.4375]
[17.9375, 14.4375, 12.4375]
[15.75, 13.875, 0.9375]
[20.4375, 17.375, -8.9375]
[23.5, 17.75, -15.25]
[23.5, 17.75, -15.25]
[33.125, 19.5625, -20.625]
[33.125, 19.5625, -20.625]
[38.5625, 29.5, -29.625]
[38.5625, 29.5, -29.625]
[49.25, 48.0625, -32.25]
[49.25, 48.0625, -32.25]
[49.25, 48.0625, -32.25]
[75.3125, 67.0, -27.625]
[89.0, 72.5625, -30.4375]
[89.0, 72.5625, -30.4375]
[96.3125, 67.4375, -27.8125]
[96.3125, 67.4375, -27.8125]
[96.3125, 67.4375, -27.8125]
[115.6875, 67.625, -28.9375]
[115.6875, 67.625, -28.9375]
[143.5, 56.5625, -37.375]
[150.625, 29.5625, -35.875]
[150.625, 29.5625, -35.875]
[149.1875, 20.0625, -34.3125]
[149.1875, 20.0625, -34.3125]
[182.4375, 39.5625, -51.8125]
[182.4375, 39.5625, -51.8125]
[214.375, 49.4375, -63.9375]
[214.375, 49.4375, -63.9375]
[219.6875, 55.875, -70.6875]
[219.6875, 55.875, -70.6875]
[191.625, 61.625, -89.3125]
[152.625, 61.1875, -120.125]
[152.625, 61.1875, -120.125]
[152.625, 61.1875, -120.125]
[121.5625, 42.3125, -153.5625]
[121.5625, 42.3125, -153.5625]
[103.0, 9.875, -188.9375]
[103.0, 9.875, -188.9375]
[82.5, -18.1875, -202.5625]
[82.5, -18.1875, -202.5625]
[22.375, -44.0, -201.25]
[-45.875, -54.0625, -160.3125]
[-45.875, -54.0625, -160.3125]
[-39.25, -21.25, -86.625]
[-39.25, -21.25, -86.625]
[-39.25, -21.25, -86.625]
[75.875, 0.6875, -6.5625]
[103.875, -7.4375, 40.5]
[103.875, -7.4375, 40.5]
[33.9375, -14.375, 61.9375]
[33.9375, -14.375, 61.9375]
