[-27.75, -38.75, -4.625]
[-27.75, -38.75, -4.625]
[-20.5625, -8.75, -5.75]
[-20.5625, -8.75, -5.75]
[-20.9375, -1.375, -5.3125]
[-20.9375, -1.375, -5.3125]
[-15.0, 6.9375, -3.6875]
[-15.0, 6.9375, -3.6875]
[-11.3125, 11.875, -2.8125]
[-11.3125, 11.875, -2.8125]
[-7.625, 11.875, -1.625]
[-7.625, 11.875, -1.625]
[-0.125, 8.3125, 0.3125]
[-0.125, 8.3125, 0.3125]
[-1.4375, 4.8125, -0.25]
[-1.4375, 4.8125, -0.25]
[-1.25, 2.375, 0.6875]
[-1.25, 2.375, 0.6875]
[0.25, 0.875, 1.0625]
[0.25, 0.875, 1.0625]
[1.4375, -0.625, 0.6875]
[1.4375, -0.625, 0.6875]
[-0.5, -0.1875, 0.0]
[-0.5, -0.1875, 0.0]
[-4.5, 0.4375, 0.0]
[-4.5, 0.4375, 0.0]
[-7.1875, 1.0, -0.875]
[-7.1875, 1.0, -0.875]
[-6.125, 1.5, -1.625]
[-6.125, 1.5, -1.625]
[-3.75, 1.8125, -1.5625]
[-3.5, 0.9375, 0.125]
[-3.5, 0.9375, 0.125]
[-3.5, 0.9375, 0.125]
[-3.25, 0.9375, 1.0]
[-3.25, 0.9375, 1.0]
[-2.5625, 0.5625, 1.0]
[-2.5625, 0.5625, 1.0]
[-0.375, 0.0625, 0.875]
[-0.375, 0.0625, 0.875]
[2.1875, -1.0, 1.125]
[2.1875, -1.0, 1.125]
[3.6875, -1.375, 1.1875]
[3.6875, -1.375, 1.1875]
[2.5625, -1.8125, 1.5625]
[2.4375, -2.4375, 1.875]
[2.4375, -2.4375, 1.875]
[2.4375, -2.4375, 1.875]
[2.6875, -2.8125, 0.875]
[0.0625, -2.625, 1.625]
[0.0625, -2.625, 1.625]
[0.1875, -4.4375, 3.3125]
[0.1875, -4.4375, 3.3125]
[5.75, -5.5625, 3.375]
[5.75, -5.5625, 3.375]
[11.75, -4.125, 2.6875]
[11.75, -4.125, 2.6875]
[12.0, 1.625, 1.5]
[12.0, 1.625, 1.5]
[10.25, 9.0, 3.8125]
[10.25, 9.0, 3.8125]
[13.4375, 17.5625, 5.8125]
[13.4375, 17.5625, 5.8125]
[19.125, 31.0, 8.625]
[19.125, 31.0, 8.625]
[26.5, 52.375, 10.6875]
[26.5, 52.375, 10.6875]
[26.3125, 78.0625, 10.625]
[21.625, 106.875, 10.125]
[21.625, 106.875, 10.125]
[21.625, 106.875, 10.125]
[22.875, 138.4375, 11.25]
[22.875, 138.4375, 11.25]
[26.1875, 168.125, 13.4375]
[26.1875, 168.125, 13.4375]
[28.125, 194.0625, 15.3125]
[24.875, 213.875, 16.0625]
[24.875, 213.875, 16.0625]
[20.6875, 230.25, 16.9375]
[20.6875, 230.25, 16.9375]
[20.6875, 230.25, 16.9375]
[9.8125, 241.875, 14.9375]
[9.8125, 241.875, 14.9375]
[0.4375, 248.4375, 15.5625]
[-4.8125, 254.0, 14.9375]
[-4.8125, 254.0, 14.9375]
[-7.3125, 254.5625, 14.125]
[-7.3125, 254.5625, 14.125]
[-11.4375, 249.375, 11.1875]
[-11.4375, 249.375, 11.1875]
[-17.375, 236.625, 6.375]
[-17.375, 236.625, 6.375]
[-22.0, 219.5625, 1.875]
[-22.0, 219.5625, 1.875]
[-24.125, 199.625, -4.125]
[-24.125, 199.625, -4.125]
[-22.5625, 180.5, -10.8125]
[-22.5625, 180.5, -10.8125]
[-22.5625, 180.5, -10.8125]
[-19.5, 164.5625, -19.0625]
[-20.0, 144.875, -25.4375]
[-20.0, 144.875, -25.4375]
[-24.5, 120.1875, -29.1875]
[-32.8125, 96.0625, -28.9375]
[-32.8125, 96.0625, -28.9375]
[-32.8125, 96.0625, -28.9375]
[-32.8125, 78.625, -24.625]
[-26.4375, 64.875, -25.75]
[-26.4375, 64.875, -25.75]
[-30.5, 44.4375, -27.625]
[-30.5, 44.4375, -27.625]
[-37.8125, 27.1875, -24.8125]
[-37.8125, 27.1875, -24.8125]
[-37.8125, 27.1875, -24.8125]
[-33.625, 15.125, -24.125]
[-28.125, 9.875, -26.8125]
[-28.125, 9.875, -26.8125]
[13.5625, 18.625, -36.9375]
[13.5625, 18.625, -36.9375]
[25.875, 2.9375, -52.875]
[25.875, 2.9375, -52.875]
[-10.375, 1.1875, -40.625]
[-10.375, 1.1875, -40.625]
[8.5, -4.5, -16.125]
[8.5, -4.5, -16.125]
[8.5, -4.5, -16.125]
[-5.625, -17.625, -14.0625]
[-26.0, -21.75, -8.875]
[-26.0, -21.75, -8.875]
[-2.3125, -12.5625, -10.875]
[-1.5, -9.125, -5.625]
[-1.5, -9.125, -5.625]
[-16.1875, -13.375, -2.75]
[-16.1875, -13.375, -2.75]
[-12.25, -14.875, 0.0]
[-12.25, -14.875, 0.0]
[-1.375, -12.75, -9.8125]
[-1.375, -12.75, -9.8125]
[-5.375, -15.25, -17.375]
[-5.375, -15.25, -17.375]
[0.375, -28.75, -13.5]
[0.375, -28.75, -13.5]
[7.25, -47.875, -5.9375]
[7.25, -47.875, -5.9375]
[11.375, -77.5, -1.75]
[11.375, -77.5, -1.75]
[18.0, -108.375, -1.75]
[18.0, -108.375, -1.75]
[32.8125, -134.9375, -2.375]
[32.8125, -134.9375, -2.375]
[44.8125, -163.6875, -4.0]
[44.8125, -163.6875, -4.0]
[53.4375, -195.0, -0.9375]
[55.375, -225.9375, 2.75]
[55.375, -225.9375, 2.75]
[55.375, -225.9375, 2.75]
[50.5625, -248.0625, 3.0]
[50.5625, -248.0625, 3.0]
[48.8125, -257.4375, -1.0]
[50.9375, -256.75, -6.3125]
[50.9375, -256.75, -6.3125]
[50.9375, -256.75, -6.3125]
[46.0625, -244.625, -5.1875]
[43.3125, -230.5, 1.3125]
[43.3125, -230.5, 1.3125]
[48.125, -220.5, 7.375]
[48.125, -220.5, 7.375]
[48.125, -220.5, 7.375]
[48.125, -220.5, 7.375]
[37.25, -214.125, 10.875]
[14.9375, -200.0, 11.75]
[1.6875, -180.6875, 13.875]
[1.6875, -180.6875, 13.875]
[8.5, -158.625, 12.0625]
[8.5, -158.625, 12.0625]
[8.5, -158.625, 12.0625]
[4.0625, -138.875, 8.375]
[-3.5625, -117.875, 6.125]
[-3.5625, -117.875, 6.125]
[-10.0, -96.3125, 5.4375]
[-10.0, -96.3125, 5.4375]
[-18.3125, -76.0, 5.5625]
[-18.3125, -76.0, 5.5625]
[-26.0, -58.5, 5.0]
[-26.0, -58.5, 5.0]
[-31.0625, -46.0625, 5.0625]
[-31.0625, -46.0625, 5.0625]
[-30.5, -35.4375, 7.5625]
[-30.5, -35.4375, 7.5625]
[-30.5, -35.4375, 7.5625]
[-23.5, -24.3125, 7.0]
