[-54.1875, -41.5, -68.625]
[-40.1875, -28.5, -55.5]
[-40.1875, -28.5, -55.5]
[-9.0625, -13.1875, -43.9375]
[-9.0625, -13.1875, -43.9375]
[-4.8125, -7.6875, -39.4375]
[-4.8125, -7.6875, -39.4375]
[-16.0, -4.875, -32.9375]
[-20.4375, -0.9375, -26.4375]
[-20.4375, -0.9375, -26.4375]
[-23.875, 3.3125, -15.5625]
[-23.875, 3.3125, -15.5625]
[-16.625, 8.5, -5.8125]
[-16.625, 8.5, -5.8125]
[-15.8125, 10.5, -1.125]
[-15.8125, 10.5, -1.125]
[-21.75, 10.1875, -1.75]
[-21.75, 10.1875, -1.75]
[-15.8125, 7.5625, -4.25]
[-6.75, 3.25, -4.4375]
[-6.75, 3.25, -4.4375]
[-5.1875, -0.3125, -2.375]
[-5.1875, -0.3125, -2.375]
[-5.1875, -0.3125, -2.375]
[-11.75, -3.0625, -1.75]
[-17.3125, -5.25, -2.75]
[-17.3125, -5.25, -2.75]
[-15.875, -4.6875, -4.1875]
[-15.875, -4.6875, -4.1875]
[-15.875, -4.6875, -4.1875]
[-12.375, -2.5, -3.8125]
[-14.5625, 0.6875, -1.6875]
[-14.5625, 0.6875, -1.6875]
[-13.6875, 1.75, 0.9375]
[-13.6875, 1.75, 0.9375]
[-4.5, 2.6875, 1.6875]
[-4.5, 2.6875, 1.6875]
[-0.0625, 2.625, 1.5625]
[-0.0625, 2.625, 1.5625]
[-1.375, 1.9375, 1.1875]
[-1.375, 1.9375, 1.1875]
[-6.3125, 3.0, 1.875]
[-6.3125, 3.0, 1.875]
[-3.1875, 4.25, 2.375]
[-3.1875, 4.25, 2.375]
[-3.1875, 4.25, 2.375]
[-1.1875, 3.5625, 4.0625]
[-2.4375, 0.5625, 3.0]
[-2.4375, 0.5625, 3.0]
[-2.4375, 0.5625, 3.0]
[2.875, 0.9375, 4.125]
[4.25, 0.25, 4.6875]
[4.25, 0.25, 4.6875]
[4.1875, -2.0, 3.125]
[4.1875, -2.0, 3.125]
[7.8125, -3.4375, 2.6875]
[7.8125, -3.4375, 2.6875]
[7.8125, -3.4375, 2.6875]
[8.4375, -3.4375, 2.3125]
[7.9375, -2.0, 3.8125]
[7.9375, -2.0, 3.8125]
[4.4375, 0.6875, 4.8125]
[4.4375, 0.6875, 4.8125]
[0.8125, 6.1875, 8.375]
[0.8125, 6.1875, 8.375]
[-0.5, 10.125, 19.75]
[-0.5, 10.125, 19.75]
[3.1875, 11.9375, 36.8125]
[3.1875, 11.9375, 36.8125]
[3.1875, 11.9375, 36.8125]
[25.4375, 24.0, 59.5]
[80.875, 43.125, 90.3125]
[80.875, 43.125, 90.3125]
[124.625, 68.1875, 104.75]
[124.625, 68.1875, 104.75]
[131.8125, 88.9375, 112.5625]
[131.8125, 88.9375, 112.5625]
[86.9375, 94.25, 128.25]
[86.9375, 94.25, 128.25]
[-9.75, 116.125, 164.9375]
[-9.75, 116.125, 164.9375]
[-94.875, 175.0625, 180.1875]
[-94.875, 175.0625, 180.1875]
[-189.25, 130.875, 126.6875]
[-189.25, 130.875, 126.6875]
[-317.3125, 15.375, 144.0]
[-317.3125, 15.375, 144.0]
[-110.1875, -6.25, 147.625]
[-110.1875, -6.25, 147.625]
[200.125, 88.125, 122.9375]
[200.125, 88.125, 122.9375]
[199.3125, 96.5, 92.4375]
[199.3125, 96.5, 92.4375]
[161.4375, 70.1875, 66.4375]
[161.4375, 70.1875, 66.4375]
[149.125, 35.8125, 15.6875]
[128.875, -1.9375, -26.9375]
[128.875, -1.9375, -26.9375]
[128.875, -1.9375, -26.9375]
[149.0, -28.4375, -32.75]
[149.0, -28.4375, -32.75]
[176.875, -43.125, -31.625]
[188.5625, -13.9375, -31.6875]
[188.5625, -13.9375, -31.6875]
[137.0, 31.625, -46.8125]
[137.0, 31.625, -46.8125]
[137.0, 31.625, -46.8125]
[-71.0, 20.0, -29.4375]
[-188.375, 14.1875, 17.0625]
[-188.375, 14.1875, 17.0625]
[-158.25, 8.625, 56.9375]
[-158.25, 8.625, 56.9375]
[-131.0, -5.75, 66.875]
[-131.0, -5.75, 66.875]
