[-30.875, 16.9375, -8.5625]
[-29.875, 16.5, -5.6875]
[-29.875, 16.5, -5.6875]
[-30.3125, 13.375, -2.0625]
[-30.3125, 13.375, -2.0625]
[-30.5, 14.0625, -2.0]
[-30.5, 14.0625, -2.0]
[-22.5625, 14.5625, 1.0]
[-22.5625, 14.5625, 1.0]
[-17.375, 10.8125, 2.3125]
[-17.375, 10.8125, 2.3125]
[-16.6875, 8.4375, -1.3125]
[-16.6875, 8.4375, -1.3125]
[-11.75, 9.125, -2.0]
[-6.75, 10.25, -2.8125]
[-6.75, 10.25, -2.8125]
[-6.75, 10.25, -2.8125]
[-3.0625, 8.5625, -1.25]
[-3.25, 4.625, 0.5]
[-3.25, 4.625, 0.5]
[-3.25, 4.625, 0.5]
[-3.375, 1.75, 0.5625]
[-3.375, 1.75, 0.5625]
[1.875, 1.75, 0.125]
[5.1875, -1.1875, 0.625]
[5.1875, -1.1875, 0.625]
[5.1875, -1.1875, 0.625]
[6.875, -5.0625, 0.9375]
[6.875, -5.0625, 0.9375]
[4.5625, -10.25, 1.375]
[4.5625, -10.25, 1.375]
[4.75, -15.4375, 2.4375]
[4.75, -15.4375, 2.4375]
[15.875, -17.375, 2.0]
[28.125, -15.75, 3.4375]
[28.125, -15.75, 3.4375]
[34.5625, -11.75, 5.875]
[34.5625, -11.75, 5.875]
[33.75, -6.8125, 9.9375]
[33.75, -6.8125, 9.9375]
[33.75, -6.8125, 9.9375]
[33.75, -6.8125, 9.9375]
[40.625, 25.5625, 22.75]
[40.625, 25.5625, 22.75]
[56.375, 50.9375, 28.0]
[56.375, 50.9375, 28.0]
[87.75, 75.4375, 33.0625]
[87.75, 75.4375, 33.0625]
[115.25, 97.0, 40.4375]
[115.25, 97.0, 40.4375]
[114.5625, 120.25, 47.5]
[114.5625, 120.25, 47.5]
[114.8125, 144.25, 48.5]
[114.8125, 144.25, 48.5]
[120.5625, 164.5, 45.6875]
[120.5625, 164.5, 45.6875]
[114.625, 175.375, 43.0625]
[114.625, 175.375, 43.0625]
[114.625, 175.375, 43.0625]
[95.0625, 180.75, 38.8125]
[64.875, 180.3125, 29.5625]
[64.875, 180.3125, 29.5625]
[43.5625, 174.6875, 16.9375]
[43.5625, 174.6875, 16.9375]
[21.625, 162.0625, 8.0625]
[21.625, 162.0625, 8.0625]
[-5.375, 146.1875, 0.5625]
[-5.375, 146.1875, 0.5625]
[-20.5, 129.9375, -4.6875]
[-20.5, 129.9375, -4.6875]
[-19.75, 118.0625, -14.6875]
[-19.75, 118.0625, -14.6875]
[-21.6875, 103.5, -21.625]
[-21.6875, 103.5, -21.625]
[-36.6875, 84.875, -20.875]
[-36.6875, 84.875, -20.875]
[-49.3125, 73.875, -16.9375]
[-49.3125, 73.875, -16.9375]
[-49.3125, 73.875, -16.9375]
[-46.9375, 64.8125, -18.1875]
[-43.8125, 56.625, -23.6875]
[-43.8125, 56.625, -23.6875]
[-42.75, 48.0, -31.125]
[-42.75, 48.0, -31.125]
[-42.75, 48.0, -31.125]
[-47.5, 37.5, -37.5625]
[-62.0625, 28.9375, -43.125]
[-62.0625, 28.9375, -43.125]
[-79.4375, 25.5, -46.375]
[-79.4375, 25.5, -46.375]
[-79.4375, 25.5, -46.375]
[-95.875, 28.8125, -50.125]
[-102.0, 30.875, -58.3125]
[-102.0, 30.875, -58.3125]
[-103.3125, 27.625, -62.1875]
[-103.3125, 27.625, -62.1875]
[-125.625, 27.9375, -69.875]
[-125.625, 27.9375, -69.875]
[-125.625, 27.9375, -69.875]
[-169.1875, 32.5625, -73.5]
[-225.625, 43.5625, -74.3125]
[-225.625, 43.5625, -74.3125]
