[-27.1875, 12.125, -0.9375]
[-36.0625, 15.5, -21.125]
[-36.0625, 15.5, -21.125]
[-35.5625, 18.25, -16.5]
[-35.5625, 18.25, -16.5]
[-40.125, 19.75, -9.0]
[-40.125, 19.75, -9.0]
[-40.125, 19.75, -9.0]
[-34.375, 20.25, -3.25]
[-34.375, 20.25, -3.25]
[-27.875, 19.125, -0.1875]
[-23.625, 16.5, 1.375]
[-23.625, 16.5, 1.375]
[-23.625, 16.5, 1.375]
[-25.875, 5.9375, 0.5625]
[-25.875, 5.9375, 0.5625]
[-25.875, 5.9375, 0.5625]
[-15.3125, 10.75, 1.125]
[-15.3125, 10.75, 1.125]
[-9.875, 14.125, 0.25]
[-9.875, 14.125, 0.25]
[-14.625, 10.0, -2.3125]
[-14.625, 10.0, -2.3125]
[-11.0, 4.75, -2.5]
[-11.0, 4.75, -2.5]
[-3.3125, 3.0, -1.25]
[0.4375, 2.0625, -0.1875]
[0.4375, 2.0625, -0.1875]
[0.4375, 2.0625, -0.1875]
[1.8125, -1.0625, 0.5]
[1.8125, -1.0625, 0.5]
[3.125, -2.375, 0.5]
[5.4375, -2.6875, 0.6875]
[5.4375, -2.6875, 0.6875]
[4.5625, -4.3125, 1.5]
[4.5625, -4.3125, 1.5]
[4.5625, -4.3125, 1.5]
[8.125, -6.0, 2.625]
[12.25, -8.4375, 3.75]
[12.25, -8.4375, 3.75]
[17.4375, -10.875, 4.0625]
[17.4375, -10.875, 4.0625]
[17.4375, -10.875, 4.0625]
[21.1875, -12.4375, 4.8125]
[23.375, -12.125, 5.5]
[23.375, -12.125, 5.5]
[23.375, -12.125, 5.5]
[25.3125, -10.25, 7.625]
[23.0, -8.5, 10.125]
[23.0, -8.5, 10.125]
[20.8125, -9.625, 16.0625]
[20.8125, -9.625, 16.0625]
[29.5625, -5.9375, 29.8125]
[29.5625, -5.9375, 29.8125]
[51.75, 3.1875, 45.25]
[51.75, 3.1875, 45.25]
[78.75, 12.6875, 64.75]
[78.75, 12.6875, 64.75]
[84.3125, 14.9375, 82.5625]
[84.3125, 14.9375, 82.5625]
[75.3125, 15.1875, 102.5625]
[75.3125, 15.1875, 102.5625]
[73.125, 25.0, 118.6875]
[73.125, 25.0, 118.6875]
[73.125, 25.0, 118.6875]
[77.375, 42.3125, 130.5]
[85.75, 58.5, 144.25]
[85.75, 58.5, 144.25]
[83.0625, 64.75, 155.0]
[83.0625, 64.75, 155.0]
[69.0625, 64.0, 161.0]
[69.0625, 64.0, 161.0]
[65.75, 63.375, 163.8125]
