[3.25, -14.5, 3.25]
[0.625, -10.875, 3.5]
[0.625, -10.875, 3.5]
[-3.1875, -7.625, 3.5]
[-3.1875, -7.625, 3.5]
[-3.1875, -7.625, 3.5]
[-8.375, -6.5, 5.25]
[-8.375, -6.5, 5.25]
[-6.3125, -5.125, 6.125]
[-5.8125, -2.8125, 6.5625]
[-5.8125, -2.8125, 6.5625]
[-2.9375, -0.5, 7.6875]
[-2.9375, -0.5, 7.6875]
[-1.8125, 2.8125, 8.9375]
[-1.8125, 2.8125, 8.9375]
[2.25, 6.3125, 9.625]
[2.25, 6.3125, 9.625]
[2.25, 6.3125, 9.625]
[2.3125, 3.875, 12.5]
[3.1875, 0.6875, 12.8125]
[3.1875, 0.6875, 12.8125]
[6.75, -0.25, 10.1875]
[6.75, -0.25, 10.1875]
[11.125, -1.8125, 7.5625]
[11.125, -1.8125, 7.5625]
[12.0625, -7.375, 6.4375]
[12.0625, -7.375, 6.4375]
[9.25, -19.0, 5.4375]
[9.25, -19.0, 5.4375]
[14.5, -28.6875, 3.6875]
[14.5, -28.6875, 3.6875]
[29.75, -28.5, 5.9375]
[29.75, -28.5, 5.9375]
[36.3125, -23.875, 13.9375]
[36.3125, -23.875, 13.9375]
[41.75, -17.875, 20.375]
[41.75, -17.875, 20.375]
[44.5625, -10.3125, 23.25]
[44.5625, -10.3125, 23.25]
[44.9375, 0.6875, 28.125]
[44.9375, 0.6875, 28.125]
[56.0, 19.8125, 37.1875]
[56.0, 19.8125, 37.1875]
[88.1875, 49.9375, 57.0]
[88.1875, 49.9375, 57.0]
[110.5, 80.5625, 85.625]
[110.5, 80.5625, 85.625]
[110.5, 80.5625, 85.625]
[122.25, 106.5, 112.25]
[122.25, 106.5, 112.25]
[121.0625, 132.6875, 137.5625]
[121.0625, 132.6875, 137.5625]
[121.6875, 158.4375, 163.1875]
[121.6875, 158.4375, 163.1875]
[114.9375, 174.1875, 180.75]
[114.9375, 174.1875, 180.75]
[106.5625, 182.875, 191.5]
[106.5625, 182.875, 191.5]
[86.1875, 189.625, 193.6875]
[86.1875, 189.625, 193.6875]
[50.5, 199.6875, 192.25]
[50.5, 199.6875, 192.25]
[29.8125, 205.5, 188.5625]
[29.8125, 205.5, 188.5625]
[26.0, 204.1875, 179.125]
[26.0, 204.1875, 179.125]
[22.0, 197.9375, 162.5625]
[22.0, 197.9375, 162.5625]
[8.75, 184.0625, 147.5]
[8.75, 184.0625, 147.5]
[1.0625, 170.4375, 130.5]
[1.0625, 170.4375, 130.5]
[-14.0625, 152.875, 108.8125]
[-14.0625, 152.875, 108.8125]
[-19.4375, 133.6875, 86.125]
[-19.4375, 133.6875, 86.125]
[-19.75, 113.625, 61.5]
[-19.75, 113.625, 61.5]
[-32.3125, 85.375, 41.25]
[-32.3125, 85.375, 41.25]
[-37.5625, 52.75, 28.4375]
[-37.5625, 52.75, 28.4375]
[-35.5625, 20.6875, 17.5625]
[-35.5625, 20.6875, 17.5625]
[-24.5625, -6.1875, 14.6875]
[-24.5625, -6.1875, 14.6875]
[-21.8125, -23.125, 9.25]
[-21.8125, -23.125, 9.25]
[-14.4375, -28.25, 1.4375]
[-14.4375, -28.25, 1.4375]
[21.6875, -19.6875, -6.5]
[2.75, -13.875, -8.9375]
[2.75, -13.875, -8.9375]
[-71.1875, -22.375, -31.875]
[-71.1875, -22.375, -31.875]
[-47.9375, -55.8125, -11.9375]
[-47.9375, -55.8125, -11.9375]
[-38.375, -89.125, 57.9375]
[-38.375, -89.125, 57.9375]
[-38.375, -89.125, 57.9375]
[66.5, -110.375, 94.1875]
[66.5, -110.375, 94.1875]
[102.75, -44.5, 53.1875]
[102.75, -44.5, 53.1875]
[-42.125, -34.1875, -2.125]
[-0.1875, -22.125, -0.625]
[-0.1875, -22.125, -0.625]
[-0.1875, -22.125, -0.625]
[36.5625, -17.25, 9.0625]
[36.5625, -17.25, 9.0625]
[-3.3125, -21.9375, 9.5]
[-3.0625, -11.8125, 0.125]
[-3.0625, -11.8125, 0.125]
[7.0625, 1.5, -4.4375]
[7.0625, 1.5, -4.4375]
[7.0625, 1.5, -4.4375]
[3.6875, 1.0625, -0.3125]
[7.8125, -1.9375, 2.6875]
[7.8125, -1.9375, 2.6875]
[1.9375, -6.0, -0.25]
[1.9375, -6.0, -0.25]
[1.9375, -6.0, -0.25]
[-3.0625, -3.4375, -11.375]
[-3.0625, -3.4375, -11.375]
[-3.0625, -3.4375, -11.375]
[-8.6875, -1.375, -16.375]
[-8.6875, -1.375, -16.375]
[-9.9375, 0.0, -20.0625]
[-9.9375, 0.0, -20.0625]
[-9.9375, 0.0, -20.0625]
[-12.0, -2.6875, -27.75]
[-11.5625, -11.0625, -36.625]
[-11.5625, -11.0625, -36.625]
[-10.875, -27.9375, -45.25]
[-10.875, -27.9375, -45.25]
[-4.5625, -45.5, -56.25]
[-4.5625, -45.5, -56.25]
[-6.3125, -68.0625, -72.75]
[-6.3125, -68.0625, -72.75]
[-12.3125, -94.875, -89.875]
[-12.3125, -94.875, -89.875]
[-19.8125, -125.5, -106.6875]
[-19.8125, -125.5, -106.6875]
[-28.375, -145.9375, -127.9375]
[-28.375, -145.9375, -127.9375]
[-45.4375, -157.5625, -152.0625]
[-45.4375, -157.5625, -152.0625]
[-61.25, -158.5, -170.5625]
[-61.25, -158.5, -170.5625]
[-66.5, -154.375, -182.75]
[-66.5, -154.375, -182.75]
[-66.6875, -154.3125, -188.25]
[-66.6875, -154.3125, -188.25]
[-78.9375, -160.4375, -190.9375]
[-78.9375, -160.4375, -190.9375]
[-89.625, -164.5625, -188.5]
[-89.625, -164.5625, -188.5]
[-80.6875, -162.25, -180.75]
[-80.6875, -162.25, -180.75]
[-53.5, -154.9375, -172.5]
[-65.9375, -144.9375, -151.75]
[-65.9375, -144.9375, -151.75]
[-65.9375, -144.9375, -151.75]
[-76.5625, -123.1875, -124.625]
[-76.5625, -123.1875, -124.625]
[-55.9375, -94.875, -107.5625]
[-37.5, -74.6875, -90.0]
[-37.5, -74.6875, -90.0]
[-37.5, -74.6875, -90.0]
[-50.8125, -60.0, -73.75]
[-64.3125, -40.25, -57.4375]
[-64.3125, -40.25, -57.4375]
[-52.3125, -13.4375, -45.375]
[-52.3125, -13.4375, -45.375]
[-48.75, 1.125, -35.0625]
[-48.75, 1.125, -35.0625]
[-44.375, 18.6875, -20.875]
[-44.375, 18.6875, -20.875]
[-53.1875, 39.9375, -5.0]
[-66.75, 55.9375, -2.875]
[-63.8125, 56.25, -7.8125]
[-63.8125, 56.25, -7.8125]
[-63.8125, 56.25, -7.8125]
[-28.875, 47.0, -0.5]
[-11.4375, 26.75, 3.8125]
[-11.4375, 26.75, 3.8125]
[-10.1875, 6.5, 4.8125]
[-10.1875, 6.5, 4.8125]
[-2.25, 0.6875, 6.6875]
[-2.25, 0.6875, 6.6875]
[4.3125, 3.25, 9.3125]
[2.4375, 4.0, 11.6875]
[2.4375, 4.0, 11.6875]
[2.4375, 4.0, 11.6875]
[-3.25, 5.0625, 10.125]
[-3.25, 5.0625, 10.125]
[-1.625, 6.6875, 6.625]
[-1.625, 6.6875, 6.625]
[-2.8125, 4.625, 2.8125]
[-2.8125, 4.625, 2.8125]
[0.25, 3.0625, 0.3125]
[0.25, 3.0625, 0.3125]
[8.375, -0.625, 1.9375]
[8.375, -0.625, 1.9375]
