[-26.125, 8.5, 0.375]
[-16.1875, 8.5, -0.625]
[-2.1875, 8.3125, -2.9375]
[-2.1875, 8.3125, -2.9375]
[1.75, 6.125, -0.4375]
[1.75, 6.125, -0.4375]
[-3.75, 2.25, 1.8125]
[-3.75, 2.25, 1.8125]
[-6.3125, -2.5625, 1.75]
[-6.3125, -2.5625, 1.75]
[-5.8125, -2.4375, -1.0625]
[-5.8125, -2.4375, -1.0625]
[1.0625, -1.6875, -3.5625]
[1.0625, -1.6875, -3.5625]
[6.8125, 0.25, -0.1875]
[6.8125, 0.25, -0.1875]
[2.6875, -0.125, 2.5]
[2.6875, -0.125, 2.5]
[0.5, 0.375, 4.0]
[0.5, 0.375, 4.0]
[3.75, 0.625, 2.25]
[8.0625, 0.875, 0.125]
[8.0625, 0.875, 0.125]
[5.5625, 1.5, 0.0]
[-2.5, 1.5, 0.125]
[-2.5, 1.5, 0.125]
[-2.5, 1.5, 0.125]
[-4.0625, 1.5, 0.3125]
[-4.0625, 1.5, 0.3125]
[3.375, 0.3125, 0.125]
[3.375, 0.3125, 0.125]
[7.8125, 0.125, -0.4375]
[7.8125, 0.125, -0.4375]
[9.875, 0.375, 0.3125]
[9.875, 0.375, 0.3125]
[4.8125, -1.625, 1.25]
[4.8125, -1.625, 1.25]
[8.1875, -3.9375, 0.6875]
[15.0625, -5.4375, -0.0625]
[15.0625, -5.4375, -0.0625]
[15.0625, -5.4375, -0.0625]
[14.75, -5.9375, -2.25]
[12.25, -2.625, -7.25]
[12.25, -2.625, -7.25]
[3.0625, -0.6875, -14.1875]
[3.0625, -0.6875, -14.1875]
[3.0625, -0.6875, -14.1875]
[-10.125, 9.375, -20.5625]
[-8.25, 28.6875, -29.4375]
[-8.25, 28.6875, -29.4375]
[7.625, 52.9375, -39.875]
[7.625, 52.9375, -39.875]
[20.9375, 74.9375, -46.1875]
[20.9375, 74.9375, -46.1875]
[28.8125, 92.5, -49.5625]
[28.8125, 92.5, -49.5625]
[34.125, 106.5, -50.875]
[34.125, 106.5, -50.875]
[28.3125, 112.3125, -45.75]
[13.375, 122.125, -39.8125]
[13.375, 122.125, -39.8125]
[-13.1875, 128.125, -37.0625]
[-13.1875, 128.125, -37.0625]
[-41.0, 137.9375, -25.75]
[-41.0, 137.9375, -25.75]
[-41.0, 137.9375, -25.75]
[-44.5, 147.0625, -9.4375]
[-44.5, 147.0625, -9.4375]
[-37.9375, 143.4375, 2.75]
[-48.1875, 124.8125, 21.5625]
[-48.1875, 124.8125, 21.5625]
[-68.3125, 104.375, 47.8125]
[-68.3125, 104.375, 47.8125]
[-58.75, 92.625, 73.25]
[-58.75, 92.625, 73.25]
[-30.4375, 87.8125, 82.6875]
[-30.4375, 87.8125, 82.6875]
[20.1875, 78.75, 85.0625]
[20.1875, 78.75, 85.0625]
[23.75, 61.125, 108.8125]
[23.75, 61.125, 108.8125]
[0.8125, 33.9375, 136.6875]
[0.8125, 33.9375, 136.6875]
