[-20.875, 4.625, -5.3125]
[-20.75, 6.75, -3.6875]
[-20.75, 6.75, -3.6875]
[-20.75, 6.75, -3.6875]
[-9.125, 9.625, -3.25]
[-4.3125, 8.125, -1.3125]
[-4.3125, 8.125, -1.3125]
[-4.3125, 8.125, -1.3125]
[-9.5625, 3.3125, -1.6875]
[-13.5, -0.375, -2.0]
[-13.5, -0.375, -2.0]
[-5.125, 1.625, 0.3125]
[-5.125, 1.625, 0.3125]
[5.625, 3.875, 2.0]
[5.625, 3.875, 2.0]
[3.4375, 2.1875, 4.9375]
[3.4375, 2.1875, 4.9375]
[-2.875, 0.1875, 7.4375]
[-4.0625, 0.0625, 5.5]
[-4.0625, 0.0625, 5.5]
[-4.0625, 0.0625, 5.5]
[0.5625, 1.5625, 2.6875]
[0.5625, 1.5625, 2.6875]
[3.125, -0.0625, 1.3125]
[3.125, -0.0625, 1.3125]
[0.8125, -3.5, 1.6875]
[0.8125, -3.5, 1.6875]
[-2.25, -6.6875, 1.6875]
[-2.25, -6.6875, 1.6875]
[-0.6875, -7.75, 2.125]
[7.25, -8.6875, 1.125]
[7.25, -8.6875, 1.125]
[10.8125, -10.9375, 1.4375]
[10.8125, -10.9375, 1.4375]
[10.8125, -10.9375, 1.4375]
[15.125, -11.0, 4.8125]
[15.75, -10.875, 5.25]
[15.75, -10.875, 5.25]
[15.5625, -13.6875, 3.5]
[15.5625, -13.6875, 3.5]
[11.0, -14.75, 1.125]
[11.0, -14.75, 1.125]
[16.3125, -10.75, -0.625]
[16.3125, -10.75, -0.625]
[19.0, -1.3125, -0.8125]
[19.0, -1.3125, -0.8125]
[11.0625, 10.8125, -0.5625]
[11.0625, 10.8125, -0.5625]
[-1.75, 22.0, 1.9375]
[-1.75, 22.0, 1.9375]
[-9.625, 35.0, 5.1875]
[-9.625, 35.0, 5.1875]
[-9.6875, 53.375, 12.6875]
[-9.6875, 53.375, 12.6875]
[1.5, 72.6875, 21.125]
[1.5, 72.6875, 21.125]
[12.3125, 90.75, 31.125]
[12.3125, 90.75, 31.125]
[24.25, 111.25, 45.0]
[24.25, 111.25, 45.0]
[31.3125, 134.1875, 62.6875]
[31.3125, 134.1875, 62.6875]
[36.1875, 156.3125, 85.875]
[36.1875, 156.3125, 85.875]
[32.125, 180.0, 124.8125]
[27.875, 188.375, 171.1875]
[27.875, 188.375, 171.1875]
[37.5625, 191.375, 213.375]
[37.5625, 191.375, 213.375]
[49.5, 197.625, 231.5]
[49.5, 197.625, 231.5]
[56.875, 192.625, 238.4375]
[56.875, 192.625, 238.4375]
[64.3125, 175.75, 245.375]
[64.3125, 175.75, 245.375]
[83.1875, 158.4375, 246.6875]
[81.9375, 147.9375, 229.5625]
[81.9375, 147.9375, 229.5625]
[78.875, 138.3125, 195.6875]
[78.875, 138.3125, 195.6875]
[78.875, 138.3125, 195.6875]
[78.875, 138.3125, 195.6875]
[65.625, 100.5, 131.0]
[65.625, 100.5, 131.0]
[65.625, 100.5, 131.0]
[39.125, 72.875, 101.875]
[39.125, 72.875, 101.875]
[14.9375, 49.0, 68.3125]
[20.5625, 37.3125, 32.0]
[20.5625, 37.3125, 32.0]
[15.375, 16.0625, -23.5625]
[15.375, 16.0625, -23.5625]
[-9.9375, -9.25, -80.5625]
[-25.9375, -34.9375, -123.4375]
[-25.9375, -34.9375, -123.4375]
[-25.9375, -34.9375, -123.4375]
[-40.375, -58.8125, -157.6875]
[-40.375, -58.8125, -157.6875]
[-50.3125, -81.1875, -211.75]
[-50.3125, -81.1875, -211.75]
[-74.5, -114.875, -285.8125]
[-74.5, -114.875, -285.8125]
[-105.125, -129.5, -333.5625]
[-105.125, -129.5, -333.5625]
[-109.3125, -124.0, -339.125]
[-109.3125, -124.0, -339.125]
[-107.375, -108.0, -368.0625]
[-107.375, -108.0, -368.0625]
[-107.375, -108.0, -368.0625]
[-134.3125, -107.1875, -347.125]
[-175.625, -111.875, -344.5]
[-175.625, -111.875, -344.5]
[-82.25, -31.0, -295.625]
[-82.25, -31.0, -295.625]
[100.5625, 23.0625, -169.0]
[100.5625, 23.0625, -169.0]
[57.125, 4.4375, -111.75]
[57.125, 4.4375, -111.75]
[-100.1875, -20.625, -76.0625]
[-100.1875, -20.625, -76.0625]
[-114.8125, -10.5625, -42.625]
[-114.8125, -10.5625, -42.625]
[7.25, 7.1875, -10.1875]
[7.25, 7.1875, -10.1875]
[68.5, 9.625, 13.4375]
[68.5, 9.625, 13.4375]
[28.875, 1.875, 18.9375]
[28.875, 1.875, 18.9375]
[-3.9375, -3.875, 19.0]
[16.0625, -8.25, 20.0625]
[16.0625, -8.25, 20.0625]
[39.9375, -13.4375, 22.75]
[39.9375, -13.4375, 22.75]
[39.9375, -13.4375, 22.75]
[53.125, -18.4375, 29.1875]
[62.25, -26.5625, 35.3125]
[62.25, -26.5625, 35.3125]
[62.25, -26.5625, 35.3125]
[71.1875, -33.0625, 42.8125]
[71.1875, -33.0625, 42.8125]
[90.875, -43.5, 46.9375]
[90.875, -43.5, 46.9375]
[109.125, -57.625, 46.875]
[122.3125, -74.125, 44.625]
[122.3125, -74.125, 44.625]
[128.0625, -90.4375, 43.5625]
[128.0625, -90.4375, 43.5625]
[128.125, -102.5625, 47.0]
[128.125, -102.5625, 47.0]
[125.875, -114.125, 44.5]
[125.875, -114.125, 44.5]
[112.4375, -124.125, 42.6875]
[112.4375, -124.125, 42.6875]
[105.5, -128.3125, 41.0625]
[105.5, -128.3125, 41.0625]
[84.75, -133.75, 36.25]
[84.75, -133.75, 36.25]
[55.9375, -132.0625, 29.0]
[55.9375, -132.0625, 29.0]
[33.0, -130.75, 22.125]
[33.0, -130.75, 22.125]
[18.4375, -122.25, 18.8125]
[18.4375, -122.25, 18.8125]
[14.875, -104.1875, 8.5]
[14.875, -104.1875, 8.5]
[26.6875, -80.3125, 3.125]
[26.6875, -80.3125, 3.125]
[9.5625, -69.625, 8.5]
[-30.0625, -59.875, 8.4375]
[-30.0625, -59.875, 8.4375]
[-49.375, -43.4375, 5.4375]
[-49.375, -43.4375, 5.4375]
[-49.375, -43.4375, 5.4375]
[-47.875, -31.75, 10.625]
[-38.4375, -24.0, 12.25]
[-38.4375, -24.0, 12.25]
[-38.4375, -24.0, 12.25]
[-51.5625, -19.875, 7.6875]
[-58.5, -16.8125, 5.3125]
[-58.5, -16.8125, 5.3125]
[-46.375, -10.1875, 3.1875]
[-46.375, -10.1875, 3.1875]
[-31.5625, -4.625, -2.9375]
[-31.5625, -4.625, -2.9375]
[-38.3125, -1.375, -9.0]
[-52.5, 3.25, -13.5]
[-52.5, 3.25, -13.5]
[-52.5, 3.25, -13.5]
[-54.5, 11.125, -11.0]
[-54.5, 11.125, -11.0]
[-33.0625, 20.625, -7.3125]
[-18.625, 22.6875, -8.625]
[-18.625, 22.6875, -8.625]
[-18.625, 22.6875, -8.625]
[-16.125, 17.6875, -9.0]
[-21.1875, 8.4375, -3.625]
[-21.1875, 8.4375, -3.625]
[-18.75, 4.125, -0.625]
[-18.75, 4.125, -0.625]
[-18.75, 4.125, -0.625]
[-3.0625, 3.375, -0.1875]
[-0.0625, 1.3125, -0.1875]
[-0.0625, 1.3125, -0.1875]
[-8.3125, -2.5625, 1.0]
[-8.3125, -2.5625, 1.0]
[-8.25, -3.9375, 2.8125]
[-8.25, -3.9375, 2.8125]
[-6.25, -3.4375, 1.0]
[-0.25, 2.1875, 0.625]
[-0.25, 2.1875, 0.625]
[-0.25, 2.1875, 0.625]
[0.1875, 3.8125, 2.9375]
[0.1875, 3.8125, 2.9375]
[-1.9375, -0.8125, 4.25]
[-1.9375, -0.8125, 4.25]
[-1.25, -2.0625, 0.5625]
[-1.25, -2.0625, 0.5625]
[-1.25, -2.0625, 0.5625]
[-0.5625, 0.8125, 1.25]
[2.0, 2.5, 3.625]
[2.0, 2.5, 3.625]
[0.1875, -1.3125, 2.125]
[0.1875, -1.3125, 2.125]
[-1.5625, -2.875, 0.3125]
[1.8125, -1.4375, 0.875]
[1.8125, -1.4375, 0.875]
[1.8125, -1.4375, 0.875]
[9.125, -2.75, 1.5625]
[9.125, -2.75, 1.5625]
[12.5625, -7.0625, 2.5625]
[12.375, -9.625, 2.125]
[12.375, -9.625, 2.125]
[19.25, -9.8125, 1.8125]
[19.25, -9.8125, 1.8125]
[30.75, -8.375, 3.4375]
[30.75, -8.375, 3.4375]
[30.75, -8.375, 3.4375]
[37.5625, -10.25, -0.4375]
[37.5625, -10.25, -0.4375]
[37.5625, -10.25, -0.4375]
[29.125, 0.25, 1.625]
[29.125, 0.25, 1.625]
[23.125, 26.25, 12.4375]
[24.4375, 61.8125, 23.0625]
[24.4375, 61.8125, 23.0625]
[43.75, 104.375, 22.8125]
[43.75, 104.375, 22.8125]
[62.625, 136.875, 16.625]
[62.625, 136.875, 16.625]
[50.9375, 157.5, 17.9375]
[50.9375, 157.5, 17.9375]
[21.9375, 175.5625, 37.0]
[21.9375, 175.5625, 37.0]
[21.9375, 175.5625, 37.0]
[26.625, 202.5625, 64.9375]
[26.625, 202.5625, 64.9375]
[35.3125, 228.375, 92.1875]
[35.125, 238.3125, 120.5625]
[35.125, 238.3125, 120.5625]
[66.0625, 244.0, 145.25]
[66.0625, 244.0, 145.25]
[64.375, 236.6875, 162.0625]
[64.375, 236.6875, 162.0625]
[49.1875, 224.0, 177.8125]
[49.1875, 224.0, 177.8125]
[54.6875, 208.8125, 180.1875]
[54.6875, 208.8125, 180.1875]
[60.4375, 192.375, 171.3125]
[60.4375, 192.375, 171.3125]
[74.0625, 184.0, 156.6875]
[74.0625, 184.0, 156.6875]
[76.6875, 177.125, 144.875]
[76.6875, 177.125, 144.875]
[57.5625, 158.625, 143.5]
[18.4375, 129.875, 126.6875]
[18.4375, 129.875, 126.6875]
[18.4375, 129.875, 126.6875]
[0.3125, 106.0625, 93.375]
[0.3125, 106.0625, 93.375]
[13.625, 92.125, 66.25]
[13.625, 92.125, 66.25]
[17.75, 74.6875, 49.0625]
[17.75, 74.6875, 49.0625]
[-15.0, 43.5625, 27.875]
[-15.0, 43.5625, 27.875]
[-30.8125, 12.5, 1.5625]
[-30.8125, 12.5, 1.5625]
[-38.25, -16.5625, -40.0]
[-37.3125, -33.625, -84.625]
[-37.3125, -33.625, -84.625]
[-53.5, -54.0, -131.5]
