[-6.875, 9.0625, 4.25]
[-30.8125, -0.9375, 5.75]
[-25.875, -6.125, 7.1875]
[-8.25, -10.25, 6.125]
[-8.25, -10.25, 6.125]
[-8.25, -10.25, 6.125]
[8.4375, -13.875, 10.625]
[8.4375, -13.875, 10.625]
[13.375, -15.5625, 18.0]
[13.375, -15.5625, 18.0]
[7.6875, -12.4375, 16.6875]
[7.6875, -12.4375, 16.6875]
[2.375, -3.75, 3.8125]
[2.375, -3.75, 3.8125]
[-8.4375, -4.1875, -3.4375]
[-8.4375, -4.1875, -3.4375]
[-8.0, -8.8125, -0.6875]
[-8.0, -8.8125, -0.6875]
[-8.0, -8.8125, -0.6875]
[0.0, -5.1875, 2.6875]
[2.1875, -3.625, 3.125]
[2.1875, -3.625, 3.125]
[4.75, -3.875, 2.0]
[4.75, -3.875, 2.0]
[6.1875, -2.8125, 2.375]
[6.1875, -2.8125, 2.375]
[6.4375, -2.6875, 4.8125]
[6.4375, -2.6875, 4.8125]
[10.0, -0.375, 3.6875]
[10.0, -0.375, 3.6875]
[10.75, -2.125, 4.625]
[10.75, -2.125, 4.625]
[10.75, -2.125, 4.625]
[20.25, -9.875, 4.1875]
[20.25, -9.875, 4.1875]
[26.375, -11.625, 11.1875]
[26.375, -11.625, 11.1875]
[33.8125, -10.625, 16.625]
[33.8125, -10.625, 16.625]
[43.0625, -6.9375, 20.3125]
[43.0625, -6.9375, 20.3125]
[44.125, -4.625, 24.5625]
[44.125, -4.625, 24.5625]
[42.5625, -2.625, 31.1875]
[42.5625, -2.625, 31.1875]
[43.5, 5.125, 42.0]
[43.5, 5.125, 42.0]
[52.9375, 23.8125, 55.1875]
[52.9375, 23.8125, 55.1875]
[79.0625, 47.1875, 72.625]
[79.0625, 47.1875, 72.625]
[100.875, 71.5625, 89.6875]
[100.875, 71.5625, 89.6875]
[103.5, 91.6875, 102.9375]
[103.5, 91.6875, 102.9375]
[113.1875, 115.25, 120.125]
[113.1875, 115.25, 120.125]
[123.4375, 134.625, 129.875]
[123.4375, 134.625, 129.875]
[103.8125, 141.0625, 137.3125]
[103.8125, 141.0625, 137.3125]
[79.625, 145.25, 145.375]
[79.625, 145.25, 145.375]
[66.8125, 150.4375, 144.9375]
[66.8125, 150.4375, 144.9375]
[59.8125, 154.125, 142.25]
[59.8125, 154.125, 142.25]
[52.375, 152.8125, 139.125]
[52.375, 152.8125, 139.125]
[41.5625, 148.625, 137.125]
[41.5625, 148.625, 137.125]
[28.0625, 140.5625, 134.4375]
[28.0625, 140.5625, 134.4375]
[6.0, 132.5, 131.125]
[6.0, 132.5, 131.125]
[-16.6875, 120.375, 127.5]
[-16.6875, 120.375, 127.5]
[-10.3125, 110.75, 119.3125]
[-10.3125, 110.75, 119.3125]
[0.0, 102.5625, 107.8125]
[0.0, 102.5625, 107.8125]
[-1.9375, 93.6875, 105.4375]
[-1.9375, 93.6875, 105.4375]
[-17.25, 75.3125, 104.0]
[-17.25, 75.3125, 104.0]
[-24.0625, 57.5625, 101.125]
[-33.625, 43.75, 102.625]
[-33.625, 43.75, 102.625]
[-33.625, 43.75, 102.625]
[-49.4375, 26.3125, 108.9375]
[-49.4375, 26.3125, 108.9375]
[-54.3125, 11.25, 115.625]
[-54.3125, 11.25, 115.625]
[-32.625, 11.0625, 109.6875]
[-19.6875, 37.0, 79.0625]
[-19.6875, 37.0, 79.0625]
[-19.6875, 37.0, 79.0625]
[-91.8125, 31.0, 42.3125]
[-91.8125, 31.0, 42.3125]
[-113.375, -22.9375, 24.4375]
[-113.375, -22.9375, 24.4375]
[-79.0625, -62.6875, 86.75]
[-79.0625, -62.6875, 86.75]
[-16.75, -62.5, 156.6875]
[-16.75, -62.5, 156.6875]
[202.4375, -31.0625, 157.1875]
[202.4375, -31.0625, 157.1875]
[86.4375, -24.1875, 60.0]
[86.4375, -24.1875, 60.0]
[-86.875, -55.0625, 15.6875]
[-86.875, -55.0625, 15.6875]
[-79.875, -60.0625, 17.625]
[14.8125, -16.625, 13.5625]
[14.8125, -16.625, 13.5625]
[14.8125, -16.625, 13.5625]
[30.625, 4.1875, -15.1875]
[30.625, 4.1875, -15.1875]
[-10.4375, -9.5625, -28.3125]
[-10.4375, -9.5625, -28.3125]
[-41.0, -15.25, -20.1875]
[-41.0, -15.25, -20.1875]
[1.125, -2.625, -20.125]
[1.125, -2.625, -20.125]
[39.25, 4.125, -27.0625]
[36.125, -8.375, -35.4375]
[36.125, -8.375, -35.4375]
[7.625, -25.5625, -47.6875]
[7.625, -25.5625, -47.6875]
[-7.3125, -35.5625, -54.5625]
[-7.3125, -35.5625, -54.5625]
[-3.1875, -37.25, -59.0]
[17.0625, -35.125, -68.8125]
[17.0625, -35.125, -68.8125]
[17.0625, -35.125, -68.8125]
[17.0625, -35.125, -68.8125]
[23.3125, -66.3125, -98.6875]
[23.3125, -66.3125, -98.6875]
[2.125, -102.375, -109.3125]
[2.125, -102.375, -109.3125]
[-2.75, -132.25, -118.625]
[-2.75, -132.25, -118.625]
[-6.375, -155.75, -130.375]
[-6.375, -155.75, -130.375]
[-18.0625, -167.6875, -148.625]
[-18.0625, -167.6875, -148.625]
[-37.125, -169.8125, -172.4375]
[-37.125, -169.8125, -172.4375]
[-37.125, -169.8125, -172.4375]
[-53.625, -171.4375, -191.0]
[-70.5625, -174.375, -198.875]
[-70.5625, -174.375, -198.875]
[-89.6875, -175.25, -197.8125]
[-89.6875, -175.25, -197.8125]
[-89.6875, -175.25, -197.8125]
[-97.5, -162.5, -202.625]
[-88.5625, -137.0, -213.1875]
[-88.5625, -137.0, -213.1875]
[-63.3125, -115.8125, -198.0]
[-63.3125, -115.8125, -198.0]
[-68.375, -109.875, -158.1875]
[-68.375, -109.875, -158.1875]
[-80.5, -92.6875, -140.8125]
[-80.5, -92.6875, -140.8125]
[-78.5, -77.375, -131.125]
[-78.5, -77.375, -131.125]
[-76.4375, -62.5625, -108.3125]
[-76.4375, -62.5625, -108.3125]
[-116.0625, -58.8125, -85.875]
[-116.0625, -58.8125, -85.875]
[-138.1875, -42.5625, -73.6875]
[-138.1875, -42.5625, -73.6875]
[-96.875, -13.25, -62.3125]
[-57.625, 4.625, -52.5]
[-57.625, 4.625, -52.5]
[-54.8125, 7.0625, -40.4375]
[-54.8125, 7.0625, -40.4375]
[-54.8125, 7.0625, -40.4375]
[-63.1875, 9.1875, -35.6875]
[-67.4375, 11.5, -27.125]
[-67.4375, 11.5, -27.125]
[-63.3125, 14.625, -16.0]
[-63.3125, 14.625, -16.0]
[-49.6875, 13.4375, -11.3125]
[-49.6875, 13.4375, -11.3125]
[-32.625, 14.8125, -2.8125]
[-23.4375, 18.0625, -0.3125]
[-23.4375, 18.0625, -0.3125]
[-23.4375, 18.0625, -0.3125]
[-23.4375, 18.0625, -0.3125]
[-23.4375, 21.6875, -1.6875]
[-9.5625, 23.8125, 2.125]
[-9.5625, 23.8125, 2.125]
[-6.625, 13.0625, 7.3125]
[-6.625, 13.0625, 7.3125]
[-13.625, -3.4375, 5.625]
[-13.625, -3.4375, 5.625]
[-11.3125, -11.625, 5.5625]
[-11.3125, -11.625, 5.5625]
[4.5, -11.8125, 1.625]
[4.5, -11.8125, 1.625]
[4.5, -11.8125, 1.625]
[11.9375, -2.875, -2.875]
[2.1875, 5.3125, -5.8125]
[2.1875, 5.3125, -5.8125]
[-13.6875, 4.125, -5.9375]
[-13.6875, 4.125, -5.9375]
[-17.0, -0.8125, -0.9375]
[-17.0, -0.8125, -0.9375]
[-2.75, 0.9375, 0.8125]
[-2.75, 0.9375, 0.8125]
[9.9375, 2.4375, 1.875]
[9.9375, 2.4375, 1.875]
[6.875, 1.375, 1.375]
[6.875, 1.375, 1.375]
[-1.125, -3.8125, 1.25]
[-1.125, -3.8125, 1.25]
[5.0, -5.875, 0.0625]
[5.0, -5.875, 0.0625]
[12.8125, -4.3125, 2.0625]
[12.8125, -4.3125, 2.0625]
[11.5, -2.625, 3.5625]
[11.5, -2.625, 3.5625]
[5.3125, 4.375, 4.25]
[5.3125, 4.375, 4.25]
[2.4375, 3.8125, 9.625]
[5.5, 0.5625, 12.6875]
[5.5, 0.5625, 12.6875]
[5.5, 0.5625, 12.6875]
[17.5625, 3.9375, 18.4375]
[34.375, 14.375, 31.25]
[34.375, 14.375, 31.25]
[50.5625, 28.1875, 43.4375]
[50.5625, 28.1875, 43.4375]
[50.5625, 28.1875, 43.4375]
[61.625, 40.9375, 56.6875]
[52.0, 51.0625, 71.6875]
[52.0, 51.0625, 71.6875]
[48.6875, 60.4375, 85.25]
[48.6875, 60.4375, 85.25]
[58.0625, 80.0625, 94.75]
[58.0625, 80.0625, 94.75]
[58.0625, 80.0625, 94.75]
[89.125, 103.0, 109.25]
[104.625, 117.5, 114.625]
[104.625, 117.5, 114.625]
[80.1875, 120.3125, 118.125]
[67.0625, 121.5625, 128.5]
[67.0625, 121.5625, 128.5]
[67.0625, 121.5625, 128.5]
[64.9375, 125.3125, 133.8125]
[64.9375, 125.3125, 133.8125]
[51.0, 124.875, 135.0]
[51.0, 124.875, 135.0]
[46.6875, 128.625, 136.875]
[46.6875, 128.625, 136.875]
[55.125, 129.625, 135.75]
[55.125, 129.625, 135.75]
[50.25, 125.5, 135.6875]
[23.6875, 113.75, 134.6875]
[23.6875, 113.75, 134.6875]
[23.6875, 113.75, 134.6875]
[5.3125, 106.0, 127.5]
[5.3125, 106.0, 127.5]
[1.3125, 103.3125, 125.875]
[1.3125, 103.3125, 125.875]
[-2.375, 95.375, 127.875]
[-10.875, 82.0, 124.75]
[-10.875, 82.0, 124.75]
[-10.9375, 69.25, 115.625]
[-10.9375, 69.25, 115.625]
[-8.8125, 61.875, 110.3125]
[-8.8125, 61.875, 110.3125]
[-20.125, 51.5, 111.0625]
[-20.125, 51.5, 111.0625]
[-25.75, 37.25, 107.5]
[-25.75, 37.25, 107.5]
[-19.125, 26.1875, 102.75]
[-19.125, 26.1875, 102.75]
[-22.25, 12.8125, 101.6875]
[-22.25, 12.8125, 101.6875]
[-27.75, -1.0625, 98.5]
[-27.75, -1.0625, 98.5]
[-16.0625, -4.625, 88.0625]
[-16.0625, -4.625, 88.0625]
[-19.75, 5.8125, 65.375]
[-19.75, 5.8125, 65.375]
[-41.25, 5.4375, 30.3125]
[-41.25, 5.4375, 30.3125]
[-64.875, -11.9375, 12.875]
[-64.875, -11.9375, 12.875]
[-68.75, -25.5, 25.125]
[-9.6875, -22.9375, 61.1875]
[-9.6875, -22.9375, 61.1875]
[14.1875, -35.3125, 109.125]
[14.1875, -35.3125, 109.125]
[14.1875, -35.3125, 109.125]
[122.1875, -26.75, 112.625]
[38.4375, -25.375, 48.125]
[38.4375, -25.375, 48.125]
[-61.0, -29.75, 22.375]
[-61.0, -29.75, 22.375]
[-61.0, -29.75, 22.375]
[-24.375, -16.0, 20.125]
[44.9375, 4.3125, 15.5]
[44.9375, 4.3125, 15.5]
[27.5625, -0.8125, -6.5]
[27.5625, -0.8125, -6.5]
[-15.5, -14.0, -11.9375]
[-32.5625, -11.25, -11.625]
[-32.5625, -11.25, -11.625]
[-32.5625, -11.25, -11.625]
[16.6875, 6.125, -14.5]
[16.6875, 6.125, -14.5]
[39.0, 9.1875, -22.3125]
[39.0, 9.1875, -22.3125]
[16.4375, -2.5, -29.625]
[16.4375, -2.5, -29.625]
[-3.6875, -12.3125, -39.5625]
[-3.6875, -12.3125, -39.5625]
[-6.1875, -15.875, -51.9375]
[-6.1875, -15.875, -51.9375]
[0.375, -17.9375, -64.125]
[0.375, -17.9375, -64.125]
[0.375, -17.9375, -64.125]
[5.3125, -22.0625, -81.4375]
[3.625, -34.625, -97.5625]
[3.625, -34.625, -97.5625]
[-5.5625, -56.375, -112.1875]
[-10.625, -78.0625, -129.0625]
[-10.625, -78.0625, -129.0625]
[-10.9375, -95.5, -147.8125]
[-10.9375, -95.5, -147.8125]
[-17.6875, -109.875, -169.4375]
[-17.6875, -109.875, -169.4375]
[-38.625, -125.375, -191.75]
[-38.625, -125.375, -191.75]
[-73.5, -136.0, -216.0]
[-73.5, -136.0, -216.0]
[-89.0, -138.375, -222.875]
[-89.0, -138.375, -222.875]
[-65.8125, -131.375, -214.125]
[-65.8125, -131.375, -214.125]
[-48.3125, -126.1875, -202.875]
[-48.3125, -126.1875, -202.875]
[-53.375, -125.625, -200.9375]
[-57.5, -126.875, -187.125]
[-57.5, -126.875, -187.125]
[-57.5, -126.875, -187.125]
[-54.0, -121.8125, -170.5]
[-37.5, -107.25, -156.75]
[-37.5, -107.25, -156.75]
[-26.75, -96.125, -144.0]
[-26.75, -96.125, -144.0]
[-35.0625, -90.375, -120.125]
[-35.0625, -90.375, -120.125]
[-51.5625, -81.125, -94.0625]
[-51.5625, -81.125, -94.0625]
[-47.1875, -63.25, -78.9375]
[-47.1875, -63.25, -78.9375]
[-33.125, -50.8125, -68.5]
[-33.125, -50.8125, -68.5]
[-31.625, -44.875, -56.8125]
[-31.625, -44.875, -56.8125]
[-46.1875, -43.5625, -42.3125]
[-46.1875, -43.5625, -42.3125]
[-56.375, -41.75, -31.25]
[-56.375, -41.75, -31.25]
[-56.375, -41.75, -31.25]
[-41.875, -28.4375, -27.4375]
[-35.375, -14.75, -26.3125]
[-35.375, -14.75, -26.3125]
[-37.8125, -4.75, -17.25]
[-37.8125, -4.75, -17.25]
[-36.1875, 13.5625, -8.75]
[-36.1875, 13.5625, -8.75]
[-31.125, 30.125, -9.0625]
[-31.125, 30.125, -9.0625]
[-27.75, 38.25, -15.375]
[-27.75, 38.25, -15.375]
[-12.0625, 34.3125, -16.25]
[-16.1875, 20.25, -14.5625]
[-16.1875, 20.25, -14.5625]
[-19.3125, 4.8125, -10.5]
[-19.3125, 4.8125, -10.5]
[-19.3125, 4.8125, -10.5]
[-19.6875, -1.875, -6.4375]
[-19.6875, -1.875, -6.4375]
[-9.0, 0.8125, -0.75]
[-9.0, 0.8125, -0.75]
[-9.0, 0.8125, -0.75]
[3.3125, 11.375, 8.75]
[3.3125, 11.375, 8.75]
[-8.625, 4.375, 8.0625]
[-8.625, 4.375, 8.0625]
[-13.125, -0.75, 1.8125]
[-13.125, -0.75, 1.8125]
[-6.5625, 1.25, -2.8125]
[-6.5625, 1.25, -2.8125]
[-0.75, 0.625, -0.8125]
[-0.75, 0.625, -0.8125]
[2.3125, -2.6875, 4.0]
[2.3125, -2.6875, 4.0]
[2.3125, -2.6875, 4.0]
[2.375, -5.9375, 5.75]
[5.8125, -5.5625, 3.1875]
[5.8125, -5.5625, 3.1875]
[12.0, -3.9375, 3.8125]
[12.0, -3.9375, 3.8125]
[12.0, -3.9375, 3.8125]
[11.875, -3.75, 3.9375]
[3.5625, -3.25, 5.375]
[3.5625, -3.25, 5.375]
[-10.0, -0.75, 9.5]
[-10.0, -0.75, 9.5]
[-19.1875, 4.0625, 19.125]
[-19.1875, 4.0625, 19.125]
[-19.4375, 6.5625, 30.8125]
[-4.0, 13.6875, 44.75]
[-4.0, 13.6875, 44.75]
[-4.0, 13.6875, 44.75]
[30.4375, 31.6875, 52.875]
[30.4375, 31.6875, 52.875]
[63.3125, 50.875, 55.625]
[73.625, 60.8125, 63.4375]
[73.625, 60.8125, 63.4375]
[73.625, 60.8125, 63.4375]
[66.25, 67.75, 83.75]
[66.25, 67.75, 83.75]
[57.0, 77.875, 104.5625]
[59.25, 96.125, 106.25]
[59.25, 96.125, 106.25]
[69.25, 110.25, 98.0625]
[69.25, 110.25, 98.0625]
[76.5, 114.6875, 111.6875]
[76.5, 114.6875, 111.6875]
[67.5625, 113.9375, 122.0625]
[67.5625, 113.9375, 122.0625]
[44.125, 113.3125, 125.5]
[44.125, 113.3125, 125.5]
[41.25, 110.6875, 127.875]
[48.0, 111.0, 131.625]
[48.0, 111.0, 131.625]
[48.0, 111.0, 131.625]
[48.125, 113.75, 132.125]
[48.125, 113.75, 132.125]
[42.375, 111.625, 129.25]
[42.375, 111.625, 129.25]
[30.125, 107.5625, 129.625]
[30.125, 107.5625, 129.625]
[19.3125, 100.0, 127.0]
[19.3125, 100.0, 127.0]
[5.625, 93.5, 119.375]
[0.1875, 90.3125, 111.625]
[0.1875, 90.3125, 111.625]
[0.1875, 90.3125, 111.625]
[2.625, 85.0625, 110.25]
[2.625, 85.0625, 110.25]
[4.5, 73.1875, 106.375]
[1.0625, 56.0625, 100.5]
[1.0625, 56.0625, 100.5]
[1.0625, 56.0625, 100.5]
[-1.0, 46.25, 97.0625]
[-1.0, 46.25, 97.0625]
[-2.0625, 37.3125, 94.3125]
[0.75, 28.625, 91.875]
[0.75, 28.625, 91.875]
[0.75, 28.625, 91.875]
[1.5625, 17.875, 90.5625]
[-1.3125, 11.8125, 89.75]
[-1.3125, 11.8125, 89.75]
[-1.3125, 11.8125, 89.75]
[-1.6875, 7.4375, 86.0625]
[-1.6875, 7.4375, 86.0625]
[-9.1875, 1.9375, 83.25]
[-12.625, 2.75, 78.875]
[-12.625, 2.75, 78.875]
[-3.0625, 16.0625, 69.875]
[-3.0625, 16.0625, 69.875]
[-22.8125, 28.5625, 38.3125]
[-22.8125, 28.5625, 38.3125]
[-64.6875, 8.75, 1.6875]
[-64.6875, 8.75, 1.6875]
[-94.25, -20.75, 17.3125]
[-94.25, -20.75, 17.3125]
[-70.3125, -24.4375, 76.8125]
[-70.3125, -24.4375, 76.8125]
[18.0625, -14.1875, 107.0]
[18.0625, -14.1875, 107.0]
[139.1875, -3.5, 98.5625]
[139.1875, -3.5, 98.5625]
[31.3125, -17.4375, 38.25]
[31.3125, -17.4375, 38.25]
[-84.75, -29.875, 9.1875]
[-84.75, -29.875, 9.1875]
[-29.1875, -14.125, 14.4375]
