(55, 0, 3, -4, -3, 0, 78, -4, 0)
(-3, 5, 11, 2, 2, 8, -34, 1, 0)
(-6, -1, 3, 1, 0, 0, -21, 0, 0)
(-14, 0, -2, 1, 0, 6, 83, -2, 0)
(7, -1, -2, 1, 1, 2, 4, 0, 0)
(7, -1, -2, 1, 1, 2, 4, 0, 0)
(-2, -6, -3, -3, -4, -10, -2, -4, 0)
(-2, -6, -3, -3, -4, -10, -2, -4, 0)
(0, 0, -4, -3, -2, -1, 92, -2, 0)
(13, -1, -2, -4, -4, -7, -21, -1, 0)
(-7, -4, -3, -3, -4, -22, -38, -12, 0)
(-3, -3, -1, 2, 4, 11, -10, 4, 0)
(-4, -1, 3, -2, -2, -4, 6, 1, 0)
(-1, 1, -1, -1, -1, -4, -98, 1, 0)
(2, -1, 0, -4, -1, -2, -34, -2, 0)
(0, 1, -2, 0, 2, 6, 18, -2, 0)
(0, 1, -2, 0, 2, 6, 18, -2, 0)
(0, -2, 1, 1, -1, 7, 8, 0, 0)
(0, -2, 1, 1, -1, 7, 8, 0, 0)
(-2, -1, -1, -2, -3, -7, 1, -3, 0)
(0, 0, -1, 1, -3, 0, 2, 1, 0)
(1, 0, -4, -1, -2, -1, 30, -1, 0)
(-2, -1, -1, -2, -1, 0, -8, 0, 0)
(1, 3, 5, 0, -8, -4, -12, -2, 0)
(1, 3, 5, 0, -8, -4, -12, -2, 0)
(1, 0, 3, -1, 2, -1, -6, 2, 0)
(0, -2, -5, -8, -2, 1, 1, -1, 0)
(-1, 0, 14, 22, 1, 0, 2, 1, 0)
(2, -1, -19, 0, -1, 2, 0, 2, 0)
(-12, -11, 16, 20, 8, 6, 22, 9, 0)
(-12, -11, 16, 20, 8, 6, 22, 9, 0)
(10, 12, 11, 9, 2, 1, -2, 1, 0)
(-6, -6, 19, 5, 1, 6, 26, -2, 0)
(-5, -3, -42, -18, -2, -2, -6, -7, 0)
(5, -2, -19, -27, -5, -4, -11, -2, 0)
(11, 8, 10, 24, 5, 10, 15, 11, 0)
(11, 8, 10, 24, 5, 10, 15, 11, 0)
(-4, 3, 2, -7, -4, -13, -54, -14, 0)
(-4, 3, 2, -7, -4, -13, -54, -14, 0)
(0, 1, -5, 13, 7, 3, 33, -2, 0)
(0, 1, -5, 13, 7, 3, 33, -2, 0)
(-5, -7, -2, -2, -5, -5, -1, 2, 0)
(-5, -7, -2, -2, -5, -5, -1, 2, 0)
(-3, 0, 13, 4, 3, 3, 14, -6, 0)
(-3, 0, 13, 4, 3, 3, 14, -6, 0)
(-2, 2, -7, -38, -4, -2, -7, -14, 0)
(-10, -7, -8, 9, 6, 2, -3, -3, 0)
(-1, 1, 6, 14, -1, 2, 0, 1, 0)
(-1, 1, 6, 14, -1, 2, 0, 1, 0)
(0, -3, -3, 2, 3, 1, -3, -1, 0)
(0, -3, -3, 2, 3, 1, -3, -1, 0)
(-5, -6, -6, -29, 3, 8, 18, 2, 0)
(3, 0, 6, 28, 3, 3, -13, 7, 0)
(-2, -3, -13, -20, -4, -5, -12, -5, 0)
(-2, -3, -13, -20, -4, -5, -12, -5, 0)
(0, -3, -7, 4, -6, -1, 28, 0, 0)
(0, -3, -7, 4, -6, -1, 28, 0, 0)
(3, 0, 7, 8, -4, -8, -25, 10, 0)
(-1, -2, 5, 20, 15, 12, 5, 1, 0)
(-1, -2, 5, 20, 15, 12, 5, 1, 0)
(-1, -2, 5, 20, 15, 12, 5, 1, 0)
