(0, -2, -1, 7, 3, 11, -25, 4, 0)
(-1, 3, -4, -1, 5, 9, 39, 0, 0)
(-1, 3, -4, -1, 5, 9, 39, 0, 0)
(2, -3, -1, -3, 2, 32, 92, 2, 0)
(0, 4, 8, -5, 5, 24, -1, 8, 0)
(0, -9, -3, -6, -5, -37, -61, -10, 0)
(0, -9, -3, -6, -5, -37, -61, -10, 0)
(5, 5, 2, 3, 4, 16, -4, 4, 0)
(5, 5, 2, 3, 4, 16, -4, 4, 0)
(4, 6, 1, 0, -7, -41, -87, -6, 0)
(-5, -34, -5, 1, -2, 8, 2, -4, 0)
(1, 8, 0, -1, -4, -16, -84, -3, 0)
(1, 8, 0, -1, -4, -16, -84, -3, 0)
(0, 15, 1, 6, 7, 14, 101, -1, 0)
(4, -2, 5, 7, 1, 3, 16, 4, 0)
(-3, -2, -9, -11, -12, -15, -42, 2, 0)
(-13, -6, 3, 8, 2, -22, -35, -4, 0)
(-13, -6, 3, 8, 2, -22, -35, -4, 0)
(-6, 2, 2, -1, 0, -1, -17, -1, 0)
(-11, -1, 0, -4, -4, -12, 19, -7, 0)
(-11, -1, 0, -4, -4, -12, 19, -7, 0)
(2, -2, 1, 2, -2, 5, 70, -3, 0)
(-1, -11, -1, -4, -2, -19, -48, -2, 0)
(8, -1, 2, 0, 4, 33, -2, 2, 0)
(8, -1, 2, 0, 4, 33, -2, 2, 0)
(-2, -15, 0, 2, 2, -2, 38, 2, 0)
(-1, -2, -1, -4, -6, -25, -37, -3, 0)
(-4, 2, 4, -1, 2, -3, -15, 3, 0)
(-4, 2, 4, -1, 2, -3, -15, 3, 0)
(-9, -2, 1, 2, -1, 1, -31, -1, 0)
(-9, -2, 1, 2, -1, 1, -31, -1, 0)
(-2, -7, -4, 1, -2, -12, -8, -3, 0)
(-1, -8, -3, 0, 1, 0, -8, -3, 0)
(3, 8, 1, 2, 2, 4, 46, 0, 0)
(2, -6, -8, -9, -2, 0, 0, 0, 0)
(-2, -6, 0, -1, -3, -12, -32, -1, 0)
(1, -1, 0, 3, -1, 4, 20, 0, 0)
(1, 5, 1, -1, -2, -1, -3, 1, 0)
(-2, 6, 2, 1, -1, 3, 12, 0, 0)
(2, 5, 1, 4, 1, -1, -4, 0, 0)
(1, 0, 0, -3, 0, 1, 3, 2, 0)
(2, 0, -2, -2, 3, 1, -3, -3, 0)
(-3, -4, -2, -25, -3, -2, -3, -1, 0)
(-1, -2, -13, -17, -2, -1, 2, -1, 0)
(-1, 2, 1, 12, 2, 4, -9, -1, 0)
(1, -1, 4, 4, -2, -4, -13, -1, 0)
(-2, -3, -2, -1, -3, -1, 18, 2, 0)
(-2, -3, -2, -1, -3, -1, 18, 2, 0)
(1, 1, -3, 0, -1, -4, -13, -1, 0)
(0, 3, 3, 2, -7, 1, 20, 2, 0)
(5, -1, -3, -1, -3, -5, -50, 2, 0)
(-5, -7, -3, -2, -3, -7, -17, -4, 0)
(-1, -6, -4, 8, -11, -9, 21, 2, 0)
(10, 4, -5, -7, -28, -5, 19, 2, 0)
(10, 4, -5, -7, -28, -5, 19, 2, 0)
(-3, -9, -2, 12, 15, -6, -54, -14, 0)
(-7, -19, -11, 3, 61, 12, -43, -17, 0)
(0, -10, -3, 29, 14, -9, -52, -7, 0)
(-5, 17, 5, -2, -29, -15, -5, -3, 0)
(-5, 17, 5, -2, -29, -15, -5, -3, 0)
(17, -5, 25, 9, 12, 13, -21, 18, 0)
(-15, -1, -75, -13, -2, -18, -91, 12, 0)
(39, 15, 28, -5, -12, -23, -11, -26, 0)
(5, -18, 0, -2, 4, 23, 127, 8, 0)
(5, -18, 0, -2, 4, 23, 127, 8, 0)
(-18, -6, -6, 6, 10, 1, -6, 4, 0)
(-18, -6, -6, 6, 10, 1, -6, 4, 0)
(12, -19, 24, 24, 12, 2, 44, -1, 0)
(5, 11, 28, -14, -6, -13, -32, 31, 0)
(16, 4, 1, 11, 12, -1, -39, -1, 0)
(-34, 11, 52, 10, -1, -1, -10, -9, 0)
(2, 4, -6, 3, 7, -4, -12, 9, 0)
(2, 4, -6, 3, 7, -4, -12, 9, 0)
(-3, 3, -6, -1, 9, 2, -33, 2, 0)
(1, -24, -17, 6, 10, -10, -28, -6, 0)
(4, 18, -3, -1, -4, -4, -27, 6, 0)
(4, 18, -3, -1, -4, -4, -27, 6, 0)
(-8, -6, -4, 0, -2, 2, -18, 13, 0)
(-8, -6, -4, 0, -2, 2, -18, 13, 0)
(-8, -6, -4, 0, -2, 2, -18, 13, 0)
(-4, -16, 18, -2, 9, 4, 11, 2, 0)
(-1, -5, -11, -1, -4, -5, 23, -5, 0)
(4, 2, 27, 0, -4, -6, -16, 5, 0)
(-8, -1, 0, 0, 3, -1, 2, -1, 0)
(-8, -1, 0, 0, 3, -1, 2, -1, 0)
(10, -8, 4, 1, -1, 4, 12, 10, 0)
(2, 5, 2, -2, -1, -1, -8, -5, 0)
(-4, -9, -2, -1, 2, -2, -8, -4, 0)
(-9, -18, -29, -3, 1, 0, 3, -7, 0)
(-9, -18, -29, -3, 1, 0, 3, -7, 0)
(0, 2, 2, 0, 1, 5, 11, -5, 0)
(-1, 1, 4, 0, -2, 1, 7, 11, 0)
(9, -8, 1, 3, 1, 1, 6, -3, 0)
(-7, 0, -2, -6, 2, -2, 3, -2, 0)
(4, 2, 21, 0, 0, 1, 7, -1, 0)
(4, 2, 21, 0, 0, 1, 7, -1, 0)
(-44, -5, 11, 1, -3, -5, -21, -13, 0)
(-9, -3, -4, -2, -3, 0, -3, -13, 0)
(-9, -3, -4, -2, -3, 0, -3, -13, 0)
(1, -1, -2, 4, 4, 0, -24, 2, 0)
(4, 0, -15, -2, -3, 1, 28, -1, 0)
(4, 0, -15, -2, -3, 1, 28, -1, 0)
(-13, 6, 1, 2, -2, 2, 17, -3, 0)
(27, -11, -24, -8, -6, -7, -59, -18, 0)
(9, -12, -40, -1, -1, 3, 7, 1, 0)
(9, -12, -40, -1, -1, 3, 7, 1, 0)
(-3, 7, 28, -3, -3, 0, 6, 0, 0)
(-3, 7, 28, -3, -3, 0, 6, 0, 0)
(28, -19, -15, -7, -2, -1, 32, 4, 0)
(-5, 35, 26, -1, 0, -4, -57, -9, 0)
(-11, -57, 28, -9, -9, -5, 18, -5, 0)
(-26, 22, 72, 6, 3, 2, -22, 12, 0)
(23, -35, -14, 3, 4, -3, -31, -11, 0)
